GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
NA	HsaEX1000645	chr2:131611133-131611177	45	chr2:131609452,131611133-131611177,131611525	S	UP_EXONS_TAF2	chr2	131611133	131611177	+	131609452	131611525	ENSG00000204434
FIRRE	HsaEX0054866	chrX:131711651-131711720	70	chrX:131749306,131711651-131711720,131709556	C3	UP_EXONS_TAF2	chrX	131711651	131711720	-	131749306	131709556	ENSG00000213468
ANKRD33B	HsaEX0004471	chr5:10618333-10618462	130	chr5:10564833,10618333-10618462,10637958+10638028	C1	UP_EXONS_TAF2	chr5	10618333	10618462	+	10564833	10638028	ENSG00000164236
ZNF573	HsaEX0073977	chr19:37758476-37758596	121	chr19:37759047,37758476-37758596,37740180+37740194	C3	UP_EXONS_TAF2	chr19	37758476	37758596	-	37759047	37740180	ENSG00000189144
KCNC4	HsaEX0032957	chr1:110232221-110232597	377	chr1:110226178,110232221-110232597,110232911	C1	UP_EXONS_TAF2	chr1	110232221	110232597	+	110226178	110232911	ENSG00000116396
CTTNBP2	HsaEX0017953	chr7:117782862-117782961	100	chr7:117784251,117782862-117782961,117780591	S	UP_EXONS_TAF2	chr7	117782862	117782961	-	117784251	117780591	ENSG00000077063
RGS9	HsaEX1031199	chr17:65101207-65101296	90	chr17:65101042,65101207-65101296,65153422	C1	UP_EXONS_TAF2	chr17	65101207	65101296	+	65101042	65153422	ENSG00000108370
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	UP_EXONS_TAF2	chr15	55450222	55450367	-	55466930	55439581	NA
ARVCF	HsaEX0006128	chr22:19972358-19972411	54	chr22:19972737,19972358-19972411,19971971	S	UP_EXONS_TAF2	chr22	19972358	19972411	-	19972737	19971971	ENSG00000099889
RHOT1	HsaEX1031255	chr17:32172937-32173060	124	chr17:32171077+32171101,32172937-32173060,32173831	S	UP_EXONS_TAF2	chr17	32172937	32173060	+	32171077	32173831	ENSG00000126858
MTMR11	HsaEX6033327	chr1:149933406-149933525	120	chr1:149934191,149933406-149933525+149933530,149932330	C2	UP_EXONS_TAF2	chr1	149933406	149933525	-	149934191	149932330	ENSG00000014914
C4orf36	HsaEX0011042	chr4:86933395-86933542	148	chr4:86935988,86933395-86933542,86926326	C2	UP_EXONS_TAF2	chr4	86933395	86933542	-	86935988	86926326	ENSG00000163633
COA1	HsaEX0011453	chr7:43633279-43633408	130	chr7:43639449,43633279-43633408,43609495+43609641	C2	UP_EXONS_TAF2	chr7	43633279	43633408	-	43639449	43609495	ENSG00000106603
SSBP2	HsaEX0061834	chr5:81513628-81513686	59	chr5:81615473,81513628-81513686+81513717,81489309	S	UP_EXONS_TAF2	chr5	81513628	81513686	-	81615473	81489309	ENSG00000145687
ANKMY1	HsaEX0004243	chr2:240554866-240555055	190	chr2:240560731,240554866-240555055,240553057	C1	UP_EXONS_TAF2	chr2	240554866	240555055	-	240560731	240553057	ENSG00000144504
ZNF559	HsaEX0073931	chr19:9337796-9337858	63	chr19:9324780,9337796-9337858,9338494	ANN	UP_EXONS_TAF2	chr19	9337796	9337858	+	9324780	9338494	NA
FSTL1	HsaEX6057871	chr3:120441268-120441404	137	chr3:120450684,120441268-120441404,120424076	ANN	UP_EXONS_TAF2	chr3	120441268	120441404	-	120450684	120424076	ENSG00000163430
GTPBP1	HsaEX0029023	chr22:38736029-38736256	228	chr22:38734393+38734397,38736029-38736256,38737951	C1	UP_EXONS_TAF2	chr22	38736029	38736256	+	38734393	38737951	ENSG00000100226
MROH6	HsaEX0011560	chr8:143568552-143568719	168	chr8:143569441,143568470+143568552-143568719+143568840,143567888	C3	UP_EXONS_TAF2	chr8	143568552	143568719	-	143569441	143567888	ENSG00000204839
REL	HsaEX0053013	chr2:60920574-60920642	69	chr2:60920109,60920574-60920642,60921763+60921790	S	UP_EXONS_TAF2	chr2	60920574	60920642	+	60920109	60921790	ENSG00000162924
LRRFIP1	HsaEX0036739	chr2:237727876-237727935	60	chr2:237720822,237727876-237727935,237748364	C2	UP_EXONS_TAF2	chr2	237727876	237727935	+	237720822	237748364	ENSG00000124831
FKTN	HsaEX0025875	chr9:105618049-105618092	44	chr9:105607919+105607951,105617959+105618049-105618092,105635051	C3	UP_EXONS_TAF2	chr9	105618049	105618092	+	105607919	105635051	ENSG00000106692
ARMC4	HsaEX0005922	chr10:27968923-27969013	91	chr10:27971108,27968923-27969013+27969018,27961715	S	UP_EXONS_TAF2	chr10	27968923	27969013	-	27971108	27961715	ENSG00000169126
MTMR11	HsaEX0040570	chr1:149931944-149932014	71	chr1:149932264,149931944-149932014,149930965	C3	UP_EXONS_TAF2	chr1	149931944	149932014	-	149932264	149930965	ENSG00000014914
PODNL1	HsaEX0048803	chr19:13935980-13936044	65	chr19:13936367+13936433,13935980-13936044,13933993	C2	UP_EXONS_TAF2	chr19	13935980	13936044	-	13936433	13933993	ENSG00000132000
FAM221A	HsaEX0011460	chr7:23698192-23698299	108	chr7:23691596,23698192-23698299,23700786	C2	UP_EXONS_TAF2	chr7	23698192	23698299	+	23691596	23700786	ENSG00000188732
ZNF708	HsaEX0074239	chr19:21310501-21310627	127	chr19:21329210,21310501-21310627,21309320+21309341	C1	UP_EXONS_TAF2	chr19	21310501	21310627	-	21329210	21309320	ENSG00000182141
FBXO44	HsaEX0025339	chr1:11655328-11655699	372	chr1:11654952,11655328-11655699,11655806	ANN	UP_EXONS_TAF2	chr1	11655328	11655699	+	11654952	11655806	ENSG00000132879
FAM81A	HsaEX0024644	chr15:59439955-59440123	169	chr15:59402358,59439955-59440123,59458550	C3	UP_EXONS_TAF2	chr15	59439955	59440123	+	59402358	59458550	ENSG00000157470
PRELID1	HsaEX1029362	chr5:177305915-177305984	70	chr5:177304850,177305730+177305871+177305915-177305984,177306098+177306124	S	UP_EXONS_TAF2	chr5	177305915	177305984	+	177304850	177306124	ENSG00000169230
LRRC1	HsaEX0036495	chr6:53842110-53842227	118	chr6:53795415,53842110-53842227,53878993	ANN	UP_EXONS_TAF2	chr6	53842110	53842227	+	53795415	53878993	ENSG00000137269
RSRP1	HsaEX1035776	chr1:25306896-25306949	54	chr1:25315938,25306896-25306949,25304821	C3	UP_EXONS_TAF2	chr1	25306896	25306949	-	25315938	25304821	ENSG00000117616
RCBTB2	HsaEX0052871	chr13:48522308-48522398	91	chr13:48535683,48522308-48522398+48522403,48515741	C3	UP_EXONS_TAF2	chr13	48522308	48522398	-	48535683	48515741	ENSG00000136161
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	UP_EXONS_TAF2	chr15	71892965	71893011	-	71893679	71888116	ENSG00000066933
ZNF133	HsaEX0073026	chr20:18297985-18298062	78	chr20:18288604,18297985-18298062,18305668+18305681+18305723	C2	UP_EXONS_TAF2	chr20	18297985	18298062	+	18288604	18305723	ENSG00000125846
FAM35A	HsaEX1045920	chr10:87151655-87151832	178	chr10:87096989,87151591+87151655-87151832,87163979+87164003	C3	UP_EXONS_TAF2	chr10	87151655	87151832	+	87096989	87164003	ENSG00000122376
SORBS2	HsaEX0060986	chr4:185690562-185690611	50	chr4:185775227+185775231,185690562-185690611,185678822	C3	UP_EXONS_TAF2	chr4	185690562	185690611	-	185775231	185678822	ENSG00000154556
GNAS-AS1	HsaEX0027842	chr20:58848879-58848917	39	chr20:58850530,58848879-58848917,58842545	C1	UP_EXONS_TAF2	chr20	58848879	58848917	-	58850530	58842545	ENSG00000235590
SENP7	HsaEX0057235	chr3:101398861-101399055	195	chr3:101417593,101398861-101399055,101372126	C1	UP_EXONS_TAF2	chr3	101398861	101399055	-	101417593	101372126	ENSG00000138468
C15orf52	HsaEX0009594	chr15:40339512-40339619	108	chr15:40339905,40339512-40339619+40339689,40338903	S	UP_EXONS_TAF2	chr15	40339512	40339619	-	40339905	40338903	ENSG00000188549
WDR27	HsaEX0071046	chr6:169667982-169668095	114	chr6:169670569,169667982-169668095+169668160+169668182+169668185,169665540+169665556	C3	UP_EXONS_TAF2	chr6	169667982	169668095	-	169670569	169665540	ENSG00000184465
COL25A1	HsaEX0016470	chr4:108838098-108838178	81	chr4:108840867,108838098-108838178,108834390	C3	UP_EXONS_TAF2	chr4	108838098	108838178	-	108840867	108834390	ENSG00000188517
ACAD10	HsaEX0001744	chr12:111729806-111729956	151	chr12:111728143,111729806-111729956,111733923	C1	UP_EXONS_TAF2	chr12	111729806	111729956	+	111728143	111733923	ENSG00000111271
HSD17B14	HsaEX0030533	chr19:48813456-48813552	97	chr19:48813663,48813433+48813456-48813552,48813348	S	UP_EXONS_TAF2	chr19	48813456	48813552	-	48813663	48813348	ENSG00000087076
TEX9	HsaEX0064579	chr15:56383952-56384031	80	chr15:56373504,56383952-56384031,56388472	C2	UP_EXONS_TAF2	chr15	56383952	56384031	+	56373504	56388472	ENSG00000151575
SH3BP1	HsaEX0057951	chr22:37641126-37641168	43	chr22:37639846,37641126-37641168,37641374+37641378	S	UP_EXONS_TAF2	chr22	37641126	37641168	+	37639846	37641378	ENSG00000100092
CTTNBP2	HsaEX0017957	chr7:117745831-117745930	100	chr7:117756555,117745831-117745930,117735421	C2	UP_EXONS_TAF2	chr7	117745831	117745930	-	117756555	117735421	ENSG00000077063
ZNF283	HsaEX0073353	chr19:43830100-43830217	118	chr19:43828281,43830100-43830217,43833505	C3	UP_EXONS_TAF2	chr19	43830100	43830217	+	43828281	43833505	ENSG00000167637
NCF2	HsaEX0041994	chr1:183566920-183566988	69	chr1:183567204,183566920-183566988,183565779+183565896	S	UP_EXONS_TAF2	chr1	183566920	183566988	-	183567204	183565779	ENSG00000116701
PPP1R12B	HsaEX0049579	chr1:202430731-202430794	64	chr1:202428929,202430731-202430794+202430810,202431480	S	UP_EXONS_TAF2	chr1	202430731	202430794	+	202428929	202431480	ENSG00000077157
STOX2	HsaEX0062596	chr4:184011587-184011635	49	chr4:184011423,184011587-184011635,184013252	C3	UP_EXONS_TAF2	chr4	184011587	184011635	+	184011423	184013252	ENSG00000173320
STK33	HsaEX0062508	chr11:8480534-8480614	81	chr11:8593744+8594083,8480410+8480483+8480534-8480614,8474816+8475066	C2	UP_EXONS_TAF2	chr11	8480534	8480614	-	8594083	8474816	ENSG00000130413
COX6B2	HsaEX7109024	chr19:55352533-55352736	204	chr19:55353607,55352533-55352736,55352326	ANN	UP_EXONS_TAF2	chr19	55352533	55352736	-	55353607	55352326	NA
LRRC37B	HsaEX0036591	chr17:32020697-32020803	107	chr17:32008132,32020697-32020803,32024711	C3	UP_EXONS_TAF2	chr17	32020697	32020803	+	32008132	32024711	ENSG00000185158
FAR2	HsaEX1014199	chr12:29332845-29332908	64	chr12:29332727,29332845-29332908,29333632	S	UP_EXONS_TAF2	chr12	29332845	29332908	+	29332727	29333632	ENSG00000064763
N4BP2	HsaEX0041427	chr4:40100036-40100126	91	chr4:40097569,40099946+40100036-40100126,40102075+40102102	C2	UP_EXONS_TAF2	chr4	40100036	40100126	+	40097569	40102102	ENSG00000078177
DENND1B	HsaEX0019116	chr1:197658300-197658369	70	chr1:197672037,197658300-197658369,197652315	S	UP_EXONS_TAF2	chr1	197658300	197658369	-	197672037	197652315	ENSG00000213047
MOV10L1	HsaEX0039874	chr22:50128416-50128507	92	chr22:50126272,50128416-50128507,50134007	C1	UP_EXONS_TAF2	chr22	50128416	50128507	+	50126272	50134007	ENSG00000073146
FRYL	HsaEX0026476	chr4:48710519-48710698	180	chr4:48780078,48710519-48710698,48684795	S	UP_EXONS_TAF2	chr4	48710519	48710698	-	48780078	48684795	ENSG00000075539
RAPGEF6	HsaEX0052293	chr5:131592383-131592466	84	chr5:131603271,131592383-131592466,131562047	C1	UP_EXONS_TAF2	chr5	131592383	131592466	-	131603271	131562047	NA
PAICS	HsaEX7002603	chr4:56450619-56450702	84	chr4:56446873,56450619-56450702,56459372	ANN	UP_EXONS_TAF2	chr4	56450619	56450702	+	56446873	56459372	ENSG00000128050
POLN	HsaEX0048999	chr4:2157858-2157911	54	chr4:2170679+2170682,2157858-2157911,2131290	C3	UP_EXONS_TAF2	chr4	2157858	2157911	-	2170682	2131290	ENSG00000130997
CAPRIN2	HsaEX0012408	chr12:30753344-30753559	216	chr12:30754335+30754439+30754583+30754681+30754689+30754726+30754751,30753344-30753559+30753609,30751133	S	UP_EXONS_TAF2	chr12	30753344	30753559	-	30754751	30751133	ENSG00000110888
ADGRA2	HsaEX0028262	chr8:37840760-37840849	90	chr8:37840266,37840760-37840849,37841086	S	UP_EXONS_TAF2	chr8	37840760	37840849	+	37840266	37841086	ENSG00000020181
CARD8	HsaEX0012454	chr19:48238383-48238526	144	chr19:48240962+48241030,48238218+48238292+48238383-48238526+48238532,48234493+48234534+48234543	S	UP_EXONS_TAF2	chr19	48238383	48238526	-	48241030	48234493	ENSG00000105483
NPAS2	HsaEX0043470	chr2:100949367-100949480	114	chr2:100948355,100949367-100949480,100964058	C1	UP_EXONS_TAF2	chr2	100949367	100949480	+	100948355	100964058	ENSG00000170485
IL6R	HsaEX0031511	chr1:154435969-154436110	142	chr1:154435156,154435969-154436110+154436164,154448125	S	UP_EXONS_TAF2	chr1	154435969	154436110	+	154435156	154448125	ENSG00000160712
ISL2	HsaEX0032262	chr15:76338252-76338514	263	chr15:76337967,76338252-76338514,76340276	S	UP_EXONS_TAF2	chr15	76338252	76338514	+	76337967	76340276	ENSG00000159556
TLR4	HsaEX0065160	chr9:117708563-117708729	167	chr9:117704565,117708563-117708729+117708760,117712389	C2	UP_EXONS_TAF2	chr9	117708563	117708729	+	117704565	117712389	ENSG00000136869
PAX8-AS1	HsaEX1027135	chr2:113236513-113236613	101	chr2:113235570,113236513-113236613,113255390	C3	UP_EXONS_TAF2	chr2	113236513	113236613	+	113235570	113255390	ENSG00000189223
SSBP2	HsaEX0061835	chr5:81489250-81489309	60	chr5:81513628,81489250-81489309,81474562	S	UP_EXONS_TAF2	chr5	81489250	81489309	-	81513628	81474562	ENSG00000145687
DMTN	HsaEX1011825	chr8:22080795-22080799	5	chr8:22080460,22080795-22080799,22080802+22080805+22081113	MIC	UP_EXONS_TAF2	chr8	22080795	22080799	+	22080460	22081113	ENSG00000158856
ARHGAP27P1-BPTFP1-KPNA2P3	HsaEX1004490	chr17:64779263-64779334	72	chr17:64779415,64779184+64779263-64779334,64764548	C2	UP_EXONS_TAF2	chr17	64779263	64779334	-	64779415	64764548	ENSG00000214176
C3orf18	HsaEX0010853	chr3:50565466-50565861	396	chr3:50567463,50565466-50565861,50561747	C1	UP_EXONS_TAF2	chr3	50565466	50565861	-	50567463	50561747	ENSG00000088543
CLHC1	HsaEX0010746	chr2:55205605-55205728	124	chr2:55206270,55205605-55205728,55181744	C2	UP_EXONS_TAF2	chr2	55205605	55205728	-	55206270	55181744	ENSG00000162994
KANTR	HsaEX1018259	chrX:53099472-53099608	137	chrX:53094474,53099472-53099608,53141848	C1	UP_EXONS_TAF2	chrX	53099472	53099608	+	53094474	53141848	ENSG00000232593
CORO6	HsaEX0016877	chr17:29621224-29621423	200	chr17:29622688+29622718,29621224-29621423+29621484,29619769+29619773	C1	UP_EXONS_TAF2	chr17	29621224	29621423	-	29622718	29619769	ENSG00000167549
IDUA	HsaEX0030916	chr4:1003345-1003470	126	chr4:1003157,1003345-1003470,1003549	S	UP_EXONS_TAF2	chr4	1003345	1003470	+	1003157	1003549	ENSG00000127415
GABRE	HsaEX0026806	chrX:151957283-151957326	44	chrX:151959839+151959843,151957283-151957326+151957349,151955860	C3	UP_EXONS_TAF2	chrX	151957283	151957326	-	151959843	151955860	ENSG00000102287
ZNF518A	HsaEX0073842	chr10:96155326-96155376	51	chr10:96151566,96155326-96155376+96155398,96155924	C2	UP_EXONS_TAF2	chr10	96155326	96155376	+	96151566	96155924	ENSG00000177853
NUP50	HsaEX1026425	chr22:45178800-45178900	101	chr22:45171683,45178591+45178800-45178900,45183402	C3	UP_EXONS_TAF2	chr22	45178800	45178900	+	45171683	45183402	ENSG00000093000
CD44	HsaEX0013859	chr11:35209965-35210054	90	chr11:35208206,35209965-35210054,35211246	C1	UP_EXONS_TAF2	chr11	35209965	35210054	+	35208206	35211246	ENSG00000026508
PCBP1-AS1	HsaEX0001613	chr2:70083538-70083634	97	chr2:70085547,70083507+70083538-70083634+70083687,70051305	C1	UP_EXONS_TAF2	chr2	70083538	70083634	-	70085547	70051305	ENSG00000179818
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	UP_EXONS_TAF2	chr13	20643455	20643605	+	20641398	20653876	ENSG00000032742
DDX58	HsaEX0019006	chr9:32492391-32492479	89	chr9:32493761,32492391-32492479+32492510+32492523+32492538+32492551,32491420	S	UP_EXONS_TAF2	chr9	32492391	32492479	-	32493761	32491420	ENSG00000107201
ST6GAL1	HsaEX0062017	chr3:186963785-186963926	142	chr3:186930834,186963785-186963926,187038742	C1	UP_EXONS_TAF2	chr3	186963785	186963926	+	186930834	187038742	ENSG00000073849
PLA2G4C	HsaEX0047946	chr19:48077771-48077824	54	chr19:48085059,48077771-48077824,48074874	S	UP_EXONS_TAF2	chr19	48077771	48077824	-	48085059	48074874	ENSG00000105499
FCHSD1	HsaEX0025442	chr5:141647968-141648096	129	chr5:141648957,141647968-141648096+141648426,141647520	S	UP_EXONS_TAF2	chr5	141647968	141648096	-	141648957	141647520	ENSG00000197948
ZSCAN21	HsaEX0074565	chr7:100051481-100051610	130	chr7:100049841,100051478+100051481-100051610+100051646,100056911+100056971	S	UP_EXONS_TAF2	chr7	100051481	100051610	+	100049841	100056971	ENSG00000166529
NCF2	HsaEX0041993	chr1:183567204-183567345	142	chr1:183569142,183567204-183567345,183566988	S	UP_EXONS_TAF2	chr1	183567204	183567345	-	183569142	183566988	ENSG00000116701
TRPC1	HsaEX0067368	chr3:142791019-142791158	140	chr3:142784785+142784811+142785040,142791019-142791158,142802169	C3	UP_EXONS_TAF2	chr3	142791019	142791158	+	142784785	142802169	ENSG00000144935
TULP4	HsaEX1042577	chr6:158282263-158282378	116	chr6:158232303,158282263-158282378,158312051	C1	UP_EXONS_TAF2	chr6	158282263	158282378	+	158232303	158312051	ENSG00000130338
SYT7	HsaEX0063284	chr11:61556104-61556207	104	chr11:61580790,61556104-61556207,61551463	S	UP_EXONS_TAF2	chr11	61556104	61556207	-	61580790	61551463	ENSG00000011347
MPHOSPH9	HsaEX0039927	chr12:123162115-123162218	104	chr12:123163014,123162115-123162218,123161383	S	UP_EXONS_TAF2	chr12	123162115	123162218	-	123163014	123161383	ENSG00000051825
TRAF3IP2-AS1	HsaEX1041797	chr6:111574621-111574802	182	chr6:111484861,111574621-111574802,111576362	C2	UP_EXONS_TAF2	chr6	111574621	111574802	+	111484861	111576362	ENSG00000231889
DDX58	HsaEX6060950	chr9:32487945-32488109	165	chr9:32500805,32487945-32488109+32488197+32488203,32473065	C3	UP_EXONS_TAF2	chr9	32487945	32488109	-	32500805	32473065	ENSG00000107201
MTMR11	HsaEX0040567	chr1:149933855-149933942	88	chr1:149934191,149933855-149933942,149932330	C2	UP_EXONS_TAF2	chr1	149933855	149933942	-	149934191	149932330	ENSG00000014914
C1RL	HsaEX0010064	chr12:7099901-7100026	126	chr12:7101898,7099901-7100026,7099760+7099807	S	UP_EXONS_TAF2	chr12	7099901	7100026	-	7101898	7099760	ENSG00000139178
PRDM15	HsaEX6006284	chr21:41835437-41835524	88	chr21:41836113,41835437-41835524,41828333	ANN	UP_EXONS_TAF2	chr21	41835437	41835524	-	41836113	41828333	ENSG00000141956
ISL2	HsaEX6075925	chr15:76337778-76337967	190	chr15:76336941,76337778-76337967,76340276	C3	UP_EXONS_TAF2	chr15	76337778	76337967	+	76336941	76340276	ENSG00000159556
ADAM11	HsaEX0002277	chr17:44776127-44776207	81	chr17:44775465,44776127-44776207,44776745	C3	UP_EXONS_TAF2	chr17	44776127	44776207	+	44775465	44776745	ENSG00000073670
ATAD2B	HsaEX0006440	chr2:23827798-23827860	63	chr2:23828849,23827798-23827860,23823569	S	UP_EXONS_TAF2	chr2	23827798	23827860	-	23828849	23823569	ENSG00000119778
COL27A1	HsaEX0016502	chr9:114194404-114194457	54	chr9:114183075,114194404-114194457,114195959	S	UP_EXONS_TAF2	chr9	114194404	114194457	+	114183075	114195959	ENSG00000196739
PAPPA	HsaEX0045458	chr9:116211639-116211932	294	chr9:116207601,116211639-116211932,116219937	S	UP_EXONS_TAF2	chr9	116211639	116211932	+	116207601	116219937	ENSG00000182752
EEF1D	HsaEX0021625	chr8:143593893-143594071	179	chr8:143597348,143593893-143594071,143590738	ANN	UP_EXONS_TAF2	chr8	143593893	143594071	-	143597348	143590738	ENSG00000104529
CAMTA1	HsaEX1006901	chr1:6874115-6874172	58	chr1:6871840,6874115-6874172+6874423,7091304	C3	UP_EXONS_TAF2	chr1	6874115	6874172	+	6871840	7091304	ENSG00000171735
ZNF17	HsaEX7109033	chr19:57413596-57413636	41	chr19:57411651,57413596-57413636,57417912	ANN	UP_EXONS_TAF2	chr19	57413596	57413636	+	57411651	57417912	NA
ZBTB49	HsaEX0072191	chr4:4315636-4315718	83	chr4:4313114,4315636-4315718,4320267+4320640	C3	UP_EXONS_TAF2	chr4	4315636	4315718	+	4313114	4320640	ENSG00000168826
ARHGAP32	HsaEX0005500	chr11:129123888-129123929	42	chr11:129124803,129123888-129123929,129123530	S	UP_EXONS_TAF2	chr11	129123888	129123929	-	129124803	129123530	ENSG00000134909
DDHD2	HsaEX0018836	chr8:38261538-38261599	62	chr8:38260147,38261538-38261599,38270820	ANN	UP_EXONS_TAF2	chr8	38261538	38261599	+	38260147	38270820	ENSG00000085788
LRRC23	HsaEX0036546	chr12:6907315-6907445	131	chr12:6906662,6907315-6907445,6909890	C1	UP_EXONS_TAF2	chr12	6907315	6907445	+	6906662	6909890	ENSG00000010626
ARMC2	HsaEX0005903	chr6:108858199-108858271	73	chr6:108854485,108858199-108858271,108868824	C1	UP_EXONS_TAF2	chr6	108858199	108858271	+	108854485	108868824	ENSG00000118690
