GENE	EVENT	AS_TYPE	dPSI_TAF2	dPSI_TAF2dIDR	direction_TAF2	direction_TAF2dIDR
ZNF618	HsaALTA0009865-1/2	Alt. Acceptor	19.740000000000002	24.050000000000004	UP	UP
MAP3K9	HsaALTA1000595-1/2	Alt. Acceptor	15.790000000000006	15.790000000000006	UP	UP
ZNF207	HsaALTA1001090-3/3	Alt. Acceptor	20.830000000000005	21.050000000000004	UP	UP
LAMA3	HsaALTA1003339-1/2	Alt. Acceptor	15.8	-0.33000000000000007	UP	NONE
SYNE2	HsaALTA1003439-1/2	Alt. Acceptor	74.72	66.35	UP	UP
DHX8	HsaALTA1004788-1/4	Alt. Acceptor	19.86	12.039999999999992	UP	NONE
GRAMD4	HsaALTA1006050-1/2	Alt. Acceptor	30.21	2.2300000000000004	UP	NONE
RBMS2	HsaALTA1006244-2/3	Alt. Acceptor	17.12	0	UP	NONE
ZNF213	HsaALTA1007768-1/3	Alt. Acceptor	17.5	16.17	UP	UP
USP40	HsaALTA1007836-1/2	Alt. Acceptor	18.23	0	UP	NONE
SNX5	HsaALTA1008424-2/2	Alt. Acceptor	17.89999999999999	15.769999999999996	UP	UP
PITPNM2	HsaALTA1008883-3/3	Alt. Acceptor	27.42	20.849999999999994	UP	UP
DDT	HsaALTA1009900-2/2	Alt. Acceptor	27.54	18.46	UP	UP
NINL	HsaALTA1010940-2/2	Alt. Acceptor	21.009999999999998	11.77	UP	NONE
CENPT	HsaALTA1011892-2/2	Alt. Acceptor	15.409999999999997	33.04	UP	UP
HAGHL	HsaALTA1012126-2/2	Alt. Acceptor	36.97	5.340000000000002	UP	NONE
RPL18A	HsaALTA1013474-2/3	Alt. Acceptor	21.799999999999997	15.579999999999998	UP	UP
CNTNAP3	HsaALTA1014084-1/2	Alt. Acceptor	18.64	0.9000000000000057	UP	NONE
CCNJ	HsaALTA1014350-3/3	Alt. Acceptor	23.810000000000002	19.22	UP	UP
MDM1	HsaALTA1016161-1/2	Alt. Acceptor	15.439999999999998	9.920000000000002	UP	NONE
ARFGEF3	HsaALTA1016744-2/2	Alt. Acceptor	18.75	18.75	UP	UP
XRN1	HsaALTA1017473-1/2	Alt. Acceptor	19.11	17.13	UP	UP
INO80D	HsaALTA1017871-1/4	Alt. Acceptor	35.82	32.63	UP	UP
GTF3C2	HsaALTA1018013-3/3	Alt. Acceptor	22.480000000000004	17.35	UP	UP
USP34	HsaALTA1018246-3/3	Alt. Acceptor	40.7	0	UP	NONE
ALMS1	HsaALTA1018633-3/3	Alt. Acceptor	31.1	5.890000000000001	UP	NONE
CAPZA1	HsaALTA1018794-2/3	Alt. Acceptor	17.150000000000002	-3.96	UP	NONE
RSRP1	HsaALTA1019377-1/2	Alt. Acceptor	25.03000000000001	15.43	UP	UP
RCOR3	HsaALTA1019387-1/4	Alt. Acceptor	37.459999999999994	39.45	UP	UP
USP35	HsaALTA1019597-3/3	Alt. Acceptor	29.32	-8.629999999999999	UP	NONE
ELF1	HsaALTA1020423-1/2	Alt. Acceptor	22.549999999999997	12.549999999999997	UP	NONE
KIAA0922	HsaALTA1020650-2/3	Alt. Acceptor	18.23	0	UP	NONE
ZSCAN20	HsaALTA1020849-2/2	Alt. Acceptor	16.470000000000006	14.949999999999996	UP	NONE
EIF2S2	HsaALTA1022535-2/2	Alt. Acceptor	15.920000000000002	15.79	UP	UP
PRKRIP1	HsaALTA1023284-1/3	Alt. Acceptor	24.169999999999995	2.819999999999993	UP	NONE
DOCK6	HsaALTA1023933-2/2	Alt. Acceptor	22.53	8.249999999999998	UP	NONE
HIP1R	HsaALTA1024479-2/3	Alt. Acceptor	20.439999999999998	14.670000000000002	UP	NONE
ZNF227	HsaALTA1024719-1/3	Alt. Acceptor	41.11	6.810000000000002	UP	NONE
ZSCAN5A	HsaALTA1025027-1/2	Alt. Acceptor	15.32	34.3	UP	UP
RPS15A	HsaALTA1026461-2/2	Alt. Acceptor	15.38	20	UP	UP
FAM127A	HsaALTA1026576-1/5	Alt. Acceptor	20.320000000000007	-2.9399999999999977	UP	NONE
ARMC9	HsaALTA1027517-1/2	Alt. Acceptor	19.42	-1.9100000000000001	UP	NONE
SLC2A8	HsaALTA1028145-1/3	Alt. Acceptor	29.88	36.46	UP	UP
SLC2A8	HsaALTA1028148-1/3	Alt. Acceptor	30	-7.93	UP	NONE
PARP9	HsaALTA1029469-2/2	Alt. Acceptor	15.450000000000003	20	UP	UP
PARP9	HsaALTA1029472-1/3	Alt. Acceptor	34.74	0	UP	NONE
LARP1B	HsaALTA1029657-4/4	Alt. Acceptor	17.18	19.300000000000004	UP	UP
LMBR1L	HsaALTA1030104-4/4	Alt. Acceptor	43.18	21.35	UP	UP
GREB1L	HsaALTA1031113-1/2	Alt. Acceptor	25.37	3.500000000000001	UP	NONE
HSPD1	HsaALTA1032776-4/4	Alt. Acceptor	16.949999999999996	24.009999999999998	UP	UP
HSPD1	HsaALTA1032779-1/3	Alt. Acceptor	35.27	19.92	UP	UP
CENPC	HsaALTA1033153-1/2	Alt. Acceptor	20.539999999999996	29.52	UP	UP
GIGYF1	HsaALTA1033826-3/3	Alt. Acceptor	19.599999999999994	14.739999999999995	UP	NONE
HERC4	HsaALTA1034474-2/2	Alt. Acceptor	15.560000000000002	9.600000000000001	UP	NONE
ZNF827	HsaALTA1035490-1/2	Alt. Acceptor	20.73	15.53	UP	UP
CAPSL	HsaALTA1035971-1/2	Alt. Acceptor	31.43	25.28	UP	UP
EEF1A1	HsaALTA1037464-2/2	Alt. Acceptor	29.42	19.150000000000006	UP	UP
RRP1B	HsaALTA1038794-1/2	Alt. Acceptor	18.86	24.5	UP	UP
ZNF714	HsaALTA1038937-1/2	Alt. Acceptor	21.56	14.989999999999998	UP	NONE
RECQL4	HsaALTA1039223-2/2	Alt. Acceptor	27.95	25.41	UP	UP
RAVER1	HsaALTA1039457-6/6	Alt. Acceptor	31.450000000000003	19.5	UP	UP
LBHD1	HsaALTA1039566-1/6	Alt. Acceptor	20.97	14.879999999999995	UP	NONE
TPCN2	HsaALTA1039617-2/2	Alt. Acceptor	16.909999999999997	12.879999999999995	UP	NONE
MEGF6	HsaALTA1039804-1/3	Alt. Acceptor	17.619999999999997	14.199999999999996	UP	NONE
ZNF326	HsaALTA1039896-3/4	Alt. Acceptor	16.12	8.48	UP	NONE
MRPS18C	HsaALTA1040283-3/4	Alt. Acceptor	19.680000000000003	17.52	UP	UP
BRD7	HsaALTA1042599-2/2	Alt. Acceptor	24.179999999999993	10.280000000000001	UP	NONE
TRIM66	HsaALTA1042819-2/4	Alt. Acceptor	46.12	18.75	UP	UP
CCDC68	HsaALTA1042894-1/2	Alt. Acceptor	16.48	15.669999999999998	UP	UP
KMT2D	HsaALTA1043532-2/2	Alt. Acceptor	23.03	23.03	UP	UP
RPSA	HsaALTA1043983-4/5	Alt. Acceptor	23.049999999999997	31.78	UP	UP
ANKS3	HsaALTA1044072-2/3	Alt. Acceptor	17.269999999999996	6.679999999999993	UP	NONE
PRELID1	HsaALTA1044727-3/3	Alt. Acceptor	17.93	1.8100000000000005	UP	NONE
PTK2	HsaALTA1044814-1/2	Alt. Acceptor	20.89	25.090000000000003	UP	UP
TPST1	HsaALTA1045061-5/5	Alt. Acceptor	18.1	8.220000000000006	UP	NONE
CNTROB	HsaALTA1045152-2/4	Alt. Acceptor	23.269999999999996	16.58	UP	UP
STAT2	HsaALTA1045412-1/2	Alt. Acceptor	16.38000000000001	3.230000000000004	UP	NONE
TRMT61B	HsaALTA1045634-2/2	Alt. Acceptor	42.58	6	UP	NONE
C20orf196	HsaALTA1046082-2/2	Alt. Acceptor	20.450000000000003	16.11	UP	UP
RAD9A	HsaALTA1046358-1/2	Alt. Acceptor	19.599999999999998	-11.71	UP	NONE
DMXL1	HsaALTA1046463-1/3	Alt. Acceptor	26.15	14.05	UP	NONE
MIR4435-2HG	HsaALTA1046544-1/2	Alt. Acceptor	15.090000000000003	17.42	UP	UP
HECTD4	HsaALTA1046587-2/2	Alt. Acceptor	16.989999999999995	13.449999999999996	UP	NONE
HECTD4	HsaALTA1046607-1/4	Alt. Acceptor	15.39	9.030000000000001	UP	NONE
ADCK5	HsaALTA1046644-1/2	Alt. Acceptor	21.05	10	UP	NONE
CXorf23	HsaALTA1046919-1/2	Alt. Acceptor	33.480000000000004	6.57	UP	NONE
TNK1	HsaALTA1047209-1/2	Alt. Acceptor	20.959999999999994	20.959999999999994	UP	UP
DENND4A	HsaALTA1047281-2/2	Alt. Acceptor	24.489999999999995	16.139999999999993	UP	UP
FAM219B	HsaALTA1048850-1/4	Alt. Acceptor	27.990000000000002	33.14	UP	UP
FAM156B	HsaALTA1049092-1/2	Alt. Acceptor	20	20	UP	UP
TRIM52	HsaALTA1050488-3/3	Alt. Acceptor	22	5.329999999999998	UP	NONE
PCDH9	HsaALTA1050687-2/2	Alt. Acceptor	17.310000000000002	15.480000000000004	UP	UP
WDR27	HsaALTA1050787-1/5	Alt. Acceptor	17.499999999999996	14.010000000000002	UP	NONE
XPOT	HsaALTA1050829-2/2	Alt. Acceptor	16.129999999999995	12.349999999999994	UP	NONE
APOO	HsaALTA1050928-2/5	Alt. Acceptor	18.42	4.920000000000002	UP	NONE
ADSSL1	HsaALTA1051084-1/2	Alt. Acceptor	17.48	-3.6999999999999993	UP	NONE
ZFP69	HsaALTA1052242-1/2	Alt. Acceptor	17.08	5.289999999999999	UP	NONE
PTAR1	HsaALTA1052530-1/2	Alt. Acceptor	16.220000000000006	-5.25	UP	NONE
ERI2	HsaALTA1053419-1/3	Alt. Acceptor	15.530000000000001	12.11	UP	NONE
HHLA3	HsaALTA1054159-1/2	Alt. Acceptor	19.18	0	UP	NONE
RYR2	HsaALTA1055018-1/3	Alt. Acceptor	17.88	0.28000000000000025	UP	NONE
LINC01270	HsaALTA1055689-1/3	Alt. Acceptor	16.650000000000006	10.940000000000012	UP	NONE
FBXO48	HsaALTA1056188-1/2	Alt. Acceptor	16.939999999999998	-3.5700000000000003	UP	NONE
PRR13	HsaALTA1056309-3/3	Alt. Acceptor	18.609999999999992	14.059999999999995	UP	NONE
C1RL-AS1	HsaALTA1056443-1/5	Alt. Acceptor	31.109999999999996	28.91	UP	UP
H1FX-AS1	HsaALTA1056505-6/7	Alt. Acceptor	26.88	6.85	UP	NONE
ZNF611	HsaALTA1056636-2/3	Alt. Acceptor	41.13	21.660000000000004	UP	UP
ZNF888	HsaALTA1056764-2/2	Alt. Acceptor	21.290000000000003	12.8	UP	NONE
METTL12	HsaALTA1056958-2/3	Alt. Acceptor	17.79	17.279999999999998	UP	UP
RP11-248G5.8	HsaALTA1057187-2/2	Alt. Acceptor	15.899999999999999	12.32	UP	NONE
LINC00863	HsaALTA1057537-2/2	Alt. Acceptor	15.600000000000001	5.249999999999999	UP	NONE
CTD-3184A7.4	HsaALTA1058527-2/3	Alt. Acceptor	16.29	9.06	UP	NONE
LINC01518	HsaALTA1058683-1/2	Alt. Acceptor	16.860000000000014	1.8600000000000136	UP	NONE
LINC00106	HsaALTA1059128-3/4	Alt. Acceptor	17.54	13.259999999999998	UP	NONE
RP11-656D10.3	HsaALTA1059332-2/2	Alt. Acceptor	20.450000000000003	20.450000000000003	UP	UP
RASSF8-AS1	HsaALTA1059899-1/2	Alt. Acceptor	25.65	30.07	UP	UP
ADNP-AS1	HsaALTA1061450-2/3	Alt. Acceptor	18.91	14.529999999999998	UP	NONE
RP11-156P1.3	HsaALTA1061892-1/3	Alt. Acceptor	21.19	5.75	UP	NONE
BAHCC1	HsaALTA1062122-1/2	Alt. Acceptor	25.380000000000003	14.33	UP	NONE
CTD-2325M2.1	HsaALTA1062343-3/5	Alt. Acceptor	17.33	-0.3800000000000008	UP	NONE
EIF4B	HsaALTA1063436-4/4	Alt. Acceptor	26.189999999999998	20.61	UP	UP
RPL14	HsaALTA1063685-2/3	Alt. Acceptor	24.7	25.48	UP	UP
RBMS3	HsaALTA1064094-2/2	Alt. Acceptor	18.130000000000003	15.839999999999996	UP	UP
RPS3A	HsaALTA1064103-1/2	Alt. Acceptor	27.489999999999995	17.47	UP	UP
RP11-400N13.2	HsaALTA1064390-2/3	Alt. Acceptor	18.810000000000002	-3.030000000000001	UP	NONE
AGER	HsaALTD0000198-1/2	Alt. Donor	16.86	18.269999999999996	UP	UP
ARHGEF33	HsaALTD0000446-1/3	Alt. Donor	15.219999999999999	7.689999999999998	UP	NONE
ASAP3	HsaALTD0000502-1/2	Alt. Donor	15.150000000000006	11.300000000000011	UP	NONE
BAZ2B	HsaALTD0000667-2/2	Alt. Donor	15.950000000000003	-9.230000000000004	UP	NONE
CEP250	HsaALTD0001377-1/2	Alt. Donor	22.14	-1.1900000000000013	UP	NONE
CNOT6	HsaALTD0001508-1/2	Alt. Donor	16.689999999999998	7.309999999999999	UP	NONE
CYLD	HsaALTD0001770-1/2	Alt. Donor	16.659999999999997	-4.670000000000002	UP	NONE
EEF1B2	HsaALTD0002120-4/4	Alt. Donor	15.100000000000001	3.41	UP	NONE
ELMOD3	HsaALTD0002200-1/4	Alt. Donor	33.34	20.750000000000004	UP	UP
EPHA7	HsaALTD0002259-1/2	Alt. Donor	18.94	22.44	UP	UP
ERC1	HsaALTD0002279-1/2	Alt. Donor	18.64	-2.2200000000000024	UP	NONE
GART	HsaALTD0002718-3/5	Alt. Donor	17.39	13.97	UP	NONE
GORAB	HsaALTD0002834-1/2	Alt. Donor	25.92	14.700000000000003	UP	NONE
H3F3A	HsaALTD0002958-4/5	Alt. Donor	27.04	39.74	UP	UP
HDAC6	HsaALTD0002982-2/4	Alt. Donor	15.32	3.6899999999999977	UP	NONE
HHLA3	HsaALTD0003030-1/3	Alt. Donor	16.21	8.449999999999996	UP	NONE
HSF2BP	HsaALTD0003127-1/2	Alt. Donor	21.67	4.069999999999993	UP	NONE
IL6ST	HsaALTD0003241-3/3	Alt. Donor	29.12	16.95	UP	UP
SPIDR	HsaALTD0003429-2/3	Alt. Donor	19.229999999999997	14.31	UP	NONE
CEP44	HsaALTD0003466-2/2	Alt. Donor	15.96	4.729999999999997	UP	NONE
LTB4R	HsaALTD0003683-1/2	Alt. Donor	51.47	30.64	UP	UP
MADD	HsaALTD0003709-1/2	Alt. Donor	25.369999999999997	15.840000000000003	UP	UP
MRE11	HsaALTD0004002-1/2	Alt. Donor	33.14	5.739999999999995	UP	NONE
MST1	HsaALTD0004056-1/4	Alt. Donor	25.169999999999987	6.11999999999999	UP	NONE
NUDT9	HsaALTD0004438-2/2	Alt. Donor	16.67	2.8299999999999983	UP	NONE
PAXIP1	HsaALTD0004595-1/2	Alt. Donor	26.61	12.670000000000002	UP	NONE
PHB	HsaALTD0004707-4/5	Alt. Donor	15.700000000000003	9.280000000000001	UP	NONE
PLEKHA1	HsaALTD0004833-1/2	Alt. Donor	27.5	14.29	UP	NONE
PRKCE	HsaALTD0005050-2/2	Alt. Donor	22.92	17.5	UP	UP
PRPSAP2	HsaALTD0005082-3/4	Alt. Donor	18.340000000000003	2.6500000000000057	UP	NONE
PRRT1	HsaALTD0005084-2/2	Alt. Donor	31.130000000000003	18.249999999999993	UP	UP
SLC50A1	HsaALTD0005270-1/3	Alt. Donor	18.21	7.960000000000001	UP	NONE
SCAPER	HsaALTD0005684-2/2	Alt. Donor	17.71	4.460000000000001	UP	NONE
SGCE	HsaALTD0005854-3/3	Alt. Donor	22.65	3.0700000000000003	UP	NONE
SH3TC1	HsaALTD0005881-1/3	Alt. Donor	16.83	10.18	UP	NONE
SMUG1	HsaALTD0006091-1/2	Alt. Donor	20.809999999999995	14.669999999999995	UP	NONE
TC2N	HsaALTD0006417-3/3	Alt. Donor	20.85	18.700000000000003	UP	UP
TCF4	HsaALTD0006433-2/3	Alt. Donor	26.57	23.110000000000007	UP	UP
THAP9	HsaALTD0006499-1/2	Alt. Donor	17.989999999999995	11.64	UP	NONE
TMEM80	HsaALTD0006652-1/3	Alt. Donor	25	7.69	UP	NONE
TXNDC9	HsaALTD0006935-2/2	Alt. Donor	22.519999999999996	1.6700000000000017	UP	NONE
ZBTB49	HsaALTD0007297-2/2	Alt. Donor	15.019999999999996	10.789999999999992	UP	NONE
ZNF155	HsaALTD0007378-3/5	Alt. Donor	17.4	12.94	UP	NONE
ZNF783	HsaALTD0007511-2/2	Alt. Donor	35.31	0	UP	NONE
CDKL5	HsaALTD1000647-2/2	Alt. Donor	17.67	15.100000000000009	UP	UP
MAP4K5	HsaALTD1001094-1/2	Alt. Donor	18.009999999999998	-5.21	UP	NONE
WDR37	HsaALTD1002070-2/2	Alt. Donor	18.91000000000001	23.930000000000007	UP	UP
PTCD2	HsaALTD1002296-3/3	Alt. Donor	17.22	15.319999999999993	UP	UP
CTTN	HsaALTD1005714-2/3	Alt. Donor	26.15	16.61	UP	UP
ARVCF	HsaALTD1007309-2/2	Alt. Donor	18.72	14.829999999999998	UP	NONE
RPL3	HsaALTD1007651-2/2	Alt. Donor	25.58	14.759999999999998	UP	NONE
COCH	HsaALTD1007842-2/2	Alt. Donor	16.67	4.55	UP	NONE
NFATC4	HsaALTD1008118-3/3	Alt. Donor	16.86	17.650000000000006	UP	UP
TRPS1	HsaALTD1009527-2/2	Alt. Donor	31.819999999999993	43.099999999999994	UP	UP
CCDC130	HsaALTD1009765-2/4	Alt. Donor	21.97	6.969999999999999	UP	NONE
GCDH	HsaALTD1010157-2/3	Alt. Donor	16.89	28.799999999999997	UP	UP
RPL18A	HsaALTD1010195-2/6	Alt. Donor	30	14.599999999999998	UP	NONE
NOD1	HsaALTD1010477-2/2	Alt. Donor	35.05	-7.8000000000000025	UP	NONE
ANKRD26	HsaALTD1011066-2/2	Alt. Donor	15.790000000000006	15.790000000000006	UP	UP
UBE2S	HsaALTD1011164-2/2	Alt. Donor	41.38	37.75000000000001	UP	UP
C17orf75	HsaALTD1011399-2/2	Alt. Donor	22.42	18.57	UP	UP
CAPRIN2	HsaALTD1012110-1/5	Alt. Donor	27.92000000000001	33.18	UP	UP
KIAA1217	HsaALTD1015564-2/3	Alt. Donor	19.049999999999997	11.36	UP	NONE
ELF1	HsaALTD1015612-2/2	Alt. Donor	22.549999999999997	12.64	UP	NONE
SMAD9	HsaALTD1015616-1/2	Alt. Donor	25	18.33	UP	UP
C16orf70	HsaALTD1016927-1/3	Alt. Donor	25.560000000000002	13.170000000000002	UP	NONE
FRMD8	HsaALTD1017380-1/2	Alt. Donor	43.3	36.519999999999996	UP	UP
UBR4	HsaALTD1017638-1/2	Alt. Donor	28.53	14.370000000000005	UP	NONE
RHBDF2	HsaALTD1018332-2/3	Alt. Donor	26.25	9.599999999999994	UP	NONE
HIP1R	HsaALTD1018874-3/3	Alt. Donor	19.64	13.409999999999997	UP	NONE
KDM6B	HsaALTD1019642-1/2	Alt. Donor	22.28	17.5	UP	UP
CHST12	HsaALTD1021372-1/3	Alt. Donor	15.659999999999997	0.45000000000000284	UP	NONE
SLC2A8	HsaALTD1021700-2/2	Alt. Donor	19.120000000000005	-6.849999999999994	UP	NONE
PARP6	HsaALTD1022260-1/2	Alt. Donor	17.840000000000003	7.13000000000001	UP	NONE
MAPK8IP3	HsaALTD1022942-2/3	Alt. Donor	16.62	-6.91	UP	NONE
NLRC5	HsaALTD1023675-1/2	Alt. Donor	17.429999999999993	5.6199999999999974	UP	NONE
KRBOX4	HsaALTD1026142-1/4	Alt. Donor	17.97999999999999	19.58	UP	UP
RPL7A	HsaALTD1026507-1/5	Alt. Donor	46.53	75.33	UP	UP
CCT5	HsaALTD1027159-2/2	Alt. Donor	18.45	-16.28	UP	DOWN
ANO4	HsaALTD1027427-2/3	Alt. Donor	18.570000000000004	2.870000000000001	UP	NONE
TGOLN2	HsaALTD1027661-3/8	Alt. Donor	19.169999999999987	12.069999999999993	UP	NONE
SPEF2	HsaALTD1027746-1/3	Alt. Donor	20.02	8.510000000000002	UP	NONE
ANKRD29	HsaALTD1028165-2/3	Alt. Donor	16.86	7.22	UP	NONE
OBSCN	HsaALTD1028287-2/4	Alt. Donor	19.72	11.020000000000003	UP	NONE
CDK20	HsaALTD1028869-2/4	Alt. Donor	21.05	0	UP	NONE
HK2	HsaALTD1029809-2/2	Alt. Donor	15.590000000000003	14.819999999999993	UP	NONE
RRP1B	HsaALTD1030031-2/2	Alt. Donor	19.019999999999996	24.5	UP	UP
DIP2A	HsaALTD1030129-1/2	Alt. Donor	22.580000000000005	20.03	UP	UP
LSM12	HsaALTD1030558-3/8	Alt. Donor	18.89	11.31	UP	NONE
SYCE2	HsaALTD1030596-1/2	Alt. Donor	24.189999999999998	38.22	UP	UP
MEMO1	HsaALTD1031094-1/4	Alt. Donor	17.86	14.299999999999997	UP	NONE
H3F3A	HsaALTD1031138-3/4	Alt. Donor	17.14	15.069999999999999	UP	UP
PRRT3	HsaALTD1031616-2/2	Alt. Donor	19.89	23.849999999999994	UP	UP
PLXNB1	HsaALTD1031898-2/3	Alt. Donor	15.119999999999997	16.57	UP	UP
USP54	HsaALTD1033213-1/3	Alt. Donor	20.310000000000002	16.739999999999995	UP	UP
PYGO1	HsaALTD1035534-3/3	Alt. Donor	15.11	-5.63	UP	NONE
CHST11	HsaALTD1035628-1/3	Alt. Donor	24.259999999999998	0	UP	NONE
PLEKHG5	HsaALTD1035789-1/4	Alt. Donor	19.08	19.08	UP	UP
CFL1	HsaALTD1036249-2/4	Alt. Donor	16.869999999999997	-3.0400000000000063	UP	NONE
PDP2	HsaALTD1036300-1/5	Alt. Donor	17.879999999999995	11.780000000000001	UP	NONE
ZNF266	HsaALTD1036963-2/4	Alt. Donor	30	1.6700000000000017	UP	NONE
NPM1	HsaALTD1038699-1/2	Alt. Donor	38	5.63	UP	NONE
ZSCAN22	HsaALTD1038994-3/3	Alt. Donor	18.159999999999997	5.280000000000001	UP	NONE
KMT5A	HsaALTD1039523-1/2	Alt. Donor	15.750000000000002	19.119999999999997	UP	UP
C19orf68	HsaALTD1040028-1/5	Alt. Donor	23.53	24.990000000000002	UP	UP
ADAMTSL5	HsaALTD1040173-1/2	Alt. Donor	71.43	17.58	UP	UP
MORF4L1	HsaALTD1040183-1/3	Alt. Donor	17.380000000000003	14.020000000000003	UP	NONE
