EXPERIMENT	TYPE	EVENT	DIRECTION	GENE	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_TAF2_B	100	N	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_TAF2_C	100	VLOW	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_FRT	25.02	VLOW	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_FRT_A	26.11	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_FRT_B	7.87	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_FRT_C	51.28	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_NLSTAF2dIDR	58.42	VLOW	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_NLSTAF2dIDR_A	60.93	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_NLSTAF2dIDR_B	51.09	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_NLSTAF2dIDR_C	63.36	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_TAF2	57.63	VLOW	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_TAF2_A	31.04	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_TAF2_B	65.73	N	S1
TAF2	Exon	HsaEX1030778	UP	RBBP4	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	HeLa_TAF2_C	100	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_FRT	68.42	VLOW	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_FRT_A	69.23	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_FRT_B	80	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_FRT_C	60	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_NLSTAF2dIDR	100	VLOW	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_NLSTAF2dIDR_A	100	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_NLSTAF2dIDR_B	100	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_NLSTAF2dIDR_C	100	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_TAF2	100	VLOW	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_TAF2_A	100	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_TAF2_B	100	N	S1
TAF2	Exon	HsaEX0035017	UP	KREMEN1	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	HeLa_TAF2_C	100	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_FRT	11.76	LOW	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_FRT_A	25	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_FRT_B	0	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_FRT_C	20	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_NLSTAF2dIDR	35	VLOW	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_NLSTAF2dIDR_A	38.46	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_NLSTAF2dIDR_B	22.22	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_NLSTAF2dIDR_C	55.56	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_TAF2	42.86	VLOW	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_TAF2_A	53.85	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_TAF2_B	57.14	N	S1
TAF2	Exon	HsaEX1020927	UP	LINC01446	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	HeLa_TAF2_C	20	N	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_FRT	42.83	OK	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_FRT_A	41.33	N	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_FRT_B	45.58	VLOW	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_FRT_C	41.07	VLOW	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_NLSTAF2dIDR	68.23	SOK	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_NLSTAF2dIDR_A	79.95	OK	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_NLSTAF2dIDR_B	62.09	VLOW	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_NLSTAF2dIDR_C	60.12	VLOW	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_TAF2	73.73	OK	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_TAF2_A	100	VLOW	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_TAF2_B	77.73	VLOW	S1
TAF2	Exon	HsaEX0035530	UP	LCORL	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	HeLa_TAF2_C	51.76	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_FRT	61.96	LOW	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_FRT_A	83.25	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_FRT_B	49.52	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_FRT_C	64.41	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_NLSTAF2dIDR	90.37	VLOW	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_NLSTAF2dIDR_A	100	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_NLSTAF2dIDR_B	100	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_NLSTAF2dIDR_C	71.19	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_TAF2	92.78	LOW	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_TAF2_A	100	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_TAF2_B	100	N	S1
TAF2	Exon	HsaEX0074411	UP	ZNF821	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	HeLa_TAF2_C	74.91	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_FRT	24.48	VLOW	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_FRT_A	65.76	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_FRT_B	0	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_FRT_C	0	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_NLSTAF2dIDR	39.51	VLOW	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_NLSTAF2dIDR_A	0	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_NLSTAF2dIDR_B	6.72	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_NLSTAF2dIDR_C	87.95	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_TAF2	52.59	VLOW	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_TAF2_A	45.95	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_TAF2_B	57.45	N	S1
TAF2	Exon	HsaEX0055118	UP	RP11-69E11.4	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	HeLa_TAF2_C	53.12	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_FRT	44.56	VLOW	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_FRT_A	76.19	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_FRT_B	47.19	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_FRT_C	28.29	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_NLSTAF2dIDR	85	VLOW	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_NLSTAF2dIDR_A	100	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_NLSTAF2dIDR_B	64.56	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_NLSTAF2dIDR_C	83.08	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_TAF2	72.55	VLOW	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_TAF2_A	80.24	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_TAF2_B	70.48	N	S1
TAF2	Exon	HsaEX0014404	UP	CDKN2B-AS1	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	HeLa_TAF2_C	69.65	N	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_FRT	52.9	VLOW	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_FRT_A	45.33	N	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_FRT_B	70	N	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_FRT_C	48.86	N	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_NLSTAF2dIDR	90.9	OK	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_NLSTAF2dIDR_A	92.66	VLOW	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_NLSTAF2dIDR_B	92	N	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_NLSTAF2dIDR_C	89.01	N	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_TAF2	80.77	OK	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_TAF2_A	92.57	N	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_TAF2_B	77.78	VLOW	S1
TAF2	Exon	HsaEX0073100	UP	ZNF17	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	HeLa_TAF2_C	72.73	N	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_FRT	55.28	LOW	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_FRT_A	28.57	N	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_FRT_B	65.52	VLOW	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_FRT_C	59.46	N	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_NLSTAF2dIDR	71.01	OK	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_NLSTAF2dIDR_A	71.7	VLOW	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_NLSTAF2dIDR_B	87.8	VLOW	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_NLSTAF2dIDR_C	54.55	N	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_TAF2	83.05	OK	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_TAF2_A	68.75	N	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_TAF2_B	88.89	VLOW	S1
TAF2	Exon	HsaEX0036592	UP	LRRC37B	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	HeLa_TAF2_C	87.8	VLOW	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_FRT	72.27	VLOW	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_FRT_A	49.26	N	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_FRT_B	100	N	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_FRT_C	82.51	N	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_NLSTAF2dIDR	93.55	LOW	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_NLSTAF2dIDR_A	100	N	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_NLSTAF2dIDR_B	100	N	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_NLSTAF2dIDR_C	77.78	N	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_TAF2	100	OK	S1
TAF2	Exon	HsaEX0028144	UP	GPC2	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	HeLa_TAF2_A	100	N	S1
