GENE	EVENT	dPSI	MVdPSIat95
ZCCHC14	HsaINT0184966	0.141086	0.2
ACAD8	HsaINT0002132	0.140788	0.2
TAF6L	HsaINT0163527	0.133938	0.18
PHC3	HsaALTA0006229-1/2	0.132347	0.21
CTH	HsaINT0042753	0.131982	0.2
TMEM41A	HsaEX0065806	0.129443	0.19
XPO1	HsaALTA1007360-2/6	0.129158	0.21
MYO9A	HsaALTA1004660-2/2	0.128158	0.16
WDR13	HsaALTA0009479-3/3	0.127915	0.21
UBXN11	HsaINT0177050	0.126389	0.17
UMAD1	HsaEX0000892	0.125283	0.19
YBEY	HsaALTD0000946-1/2	0.122723	0.18
TIMM9	HsaALTD1053405-2/2	0.122196	0.19
ELFN1-AS1	HsaALTA1059020-2/6	0.122127	0.17
TDRKH-AS1	HsaINT1043958	0.121684	0.19
VEGFB	HsaINT0180114	0.121526	0.16
TINAGL1	HsaINT0167267	0.116316	0.17
CCDC84	HsaALTA1051600-2/2	0.113885	0.16
SNRNP70	HsaALTD0006106-3/4	0.112720	0.25
EML3	HsaINT0055976	0.111583	0.15
MBNL2	HsaINT0100452	0.111375	0.15
DDR1	HsaINT1010775	0.111008	0.2
FHAD1	HsaEX0025724	0.110601	0.16
ARHGEF17	HsaINT0011948	0.107433	0.15
TET1	HsaEX1040459	0.104872	0.16
LARP1B	HsaALTA1029657-4/4	0.101407	0.15
PIP5K1C	HsaINT0125407	0.098677	0.17
PDE4D	HsaEX0046227	0.096164	0.15
TSPAN17	HsaEX1046441	0.091819	0.15
AOC2	HsaALTD0000365-2/3	0.091544	0.17
ELFN1-AS1	HsaALTA1059020-4/6	0.083971	0.18
PKM	HsaEX7008563	0.083750	0.15
LARP4	HsaALTD1030589-1/3	0.079549	0.16
PPM1M	HsaINT0130484	0.077359	0.15
MED12	HsaINT0101365	0.069171	0.15
ACOT11	HsaINT1002620	0.068873	0.18
SLC25A23	HsaEX0059040	0.065918	0.15
KIAA1551	HsaEX0009157	0.042298	0.15
AGTPBP1	HsaEX0003184	0.029929	0.15
PCSK1	HsaINT0121539	-0.053094	0.15
FBXL6	HsaINT0062713	-0.053227	0.16
SLC9B2	HsaINT0113397	-0.056524	0.16
MED24	HsaALTA0005109-2/4	-0.085081	0.15
GLP2R	HsaINT0069587	-0.089020	0.17
ARHGEF4	HsaEX0005700	-0.090671	0.17
ARAP3	HsaINT0011002	-0.093323	0.15
ZNF81	HsaEX6051570	-0.096953	0.15
PKN3	HsaALTA1038976-2/2	-0.099459	0.16
MAGI1	HsaALTA0004920-2/2	-0.100993	0.19
CTAGE5	HsaALTD0001715-1/2	-0.102126	0.22
FAM109B	HsaINT0059502	-0.110279	0.17
PLEKHA1	HsaINT0127121	-0.117267	0.16
TMC7	HsaALTD0006572-1/2	-0.120937	0.15
AP3B2	HsaEX0004949	-0.122489	0.18
RPS6KL1	HsaINT0143169	-0.127070	0.23
CCNDBP1	HsaINT0030403	-0.127941	0.17
TTC23	HsaEX0067854	-0.130636	0.22
LINC01184	HsaEX0017683	-0.134917	0.21
KIAA1191	HsaALTD0003452-1/2	-0.135599	0.22
RIN1	HsaINT0140843	-0.135663	0.18
TACC1	HsaEX0063366	-0.136478	0.23
AP3M2	HsaINT0010200	-0.139674	0.2
USP49	HsaALTD1054113-1/2	-0.142743	0.17
STAT2	HsaEX0062330	-0.147131	0.23
THAP3	HsaINT0166601	-0.152396	0.23
TRIM3	HsaALTD0006777-2/2	-0.153165	0.15
RP11-6J21.2	HsaEX7000782	-0.159191	0.2
KAT2A	HsaINT0084048	-0.163887	0.16
CHTF18	HsaINT0035334	-0.163888	0.16
SIX2	HsaALTD1053108-2/2	-0.165180	0.23
CARMIL2	HsaEX6044426	-0.167833	0.18
STARD10	HsaEX0062256	-0.170176	0.16
METAP1D	HsaEX0001112	-0.177768	0.3
ZNF484	HsaINT0187379	-0.178923	0.17
DGKE	HsaINT0047259	-0.187332	0.15
ZNF45	HsaEX0073721	-0.195040	0.27
SSH1	HsaEX0061848	-0.202029	0.15
EPS8L1	HsaALTA1024669-1/3	-0.207486	0.27
L1CAM	HsaEX0035105	-0.209011	0.15
OXSM	HsaEX1026799	-0.214374	0.21
ADGRE5	HsaEX7010347	-0.215010	0.21
CUL9	HsaINT0043488	-0.220374	0.22
HACE1	HsaEX0029199	-0.221964	0.21
CENPX	HsaEX0062599	-0.223905	0.18
BEND6	HsaALTA1035711-2/2	-0.223933	0.22
CRTC2	HsaINT0041725	-0.227268	0.23
TUBGCP6	HsaEX1042564	-0.228697	0.29
HERC2	HsaEX7008355	-0.229349	0.31
PLEKHG4	HsaINT0127330	-0.234276	0.22
RWDD3	HsaINT1040748	-0.235617	0.18
TYMP	HsaEX0068524	-0.242447	0.15
USP10	HsaALTA1012052-2/2	-0.251177	0.17
KLHL24	HsaALTD1051628-1/3	-0.252250	0.2
ZNF519	HsaINT0187510	-0.252600	0.15
DOK1	HsaEX0020679	-0.253380	0.25
RPL32P3	HsaEX0055507	-0.253457	0.21
DGKZ	HsaINT1010978	-0.257832	0.22
SLC26A11	HsaEX0059176	-0.259497	0.15
TUBGCP4	HsaALTA0009152-1/2	-0.263756	0.26
POLM	HsaALTD0004928-1/3	-0.264325	0.25
ARAP1	HsaEX0005276	-0.265706	0.19
SH3BP2	HsaEX0057966	-0.273505	0.27
PTBP2	HsaALTA0006795-2/2	-0.276278	0.36
FSTL3	HsaEX0026508	-0.280899	0.21
DGKE	HsaALTD1028132-1/2	-0.283284	0.23
TNFRSF12A	HsaEX0066187	-0.291809	0.18
RPS6KL1	HsaEX0055664	-0.320289	0.39
PIF1	HsaINT0124710	-0.331115	0.22
RPARP-AS1	HsaINT1040292	-0.377839	0.35
RP5-1198O20.4	HsaINT1040028	-0.380291	0.38
FSTL3	HsaEX0026509	-0.396247	0.27
MYL6B	HsaALTD1041552-1/2	-0.400727	0.33
AHDC1	HsaEX0003232	-0.415939	0.4
PRR14	HsaEX0050427	-0.477161	0.21
KRI1	HsaEX0035021	-0.551976	0.48
NAV1	HsaALTD1020417-1/2	-0.585869	0.29
NAV2	HsaINT1024490	-0.698324	0.5
