GENE	EVENT	dPSI	MVdPSIat95
CXorf23	HsaEX0018136	0.111391	0.2
HECTD4	HsaINT1015344	0.109995	0.16
TMEM248	HsaALTA1014025-1/3	0.109976	0.19
DOPEY2	HsaINT0051575	0.107794	0.15
PCAT7	HsaALTD1045753-3/3	0.106315	0.18
GOLGB1	HsaINT0070698	0.104676	0.16
CXorf23	HsaALTA1046919-2/2	0.104636	0.19
BBS7	HsaINT0016931	0.104572	0.15
SP4	HsaEX0061130	0.103892	0.17
HNRNPLL	HsaEX1017041	0.103740	0.15
SPEN	HsaALTD1003161-2/2	0.102500	0.15
PRDM15	HsaINT1027932	0.102137	0.15
SIPA1L1	HsaALTD1053107-3/3	0.101544	0.16
PEAK1	HsaEX0001548	0.101147	0.2
CHD3	HsaALTA0001846-1/2	0.100495	0.16
TTC25	HsaINT0174248	0.099777	0.22
H1FX-AS1	HsaEX0055223	0.097739	0.15
TMEM169	HsaEX0065575	0.096890	0.16
FES	HsaALTD0002543-2/3	0.095387	0.16
BBOF1	HsaINT0020757	0.094782	0.15
CCDC78	HsaEX0013446	0.094095	0.18
DNHD1	HsaINT1047844	0.080215	0.18
SENP7	HsaEX0057218	0.079519	0.15
SLC12A5	HsaEX1037105	0.072602	0.15
SH3D21	HsaINT0022078	0.072134	0.17
RP13-20L14.6	HsaEX1035102	0.062568	0.15
RPL3	HsaALTD1007651-1/2	0.059324	0.17
THADA	HsaALTD1014113-2/2	0.054905	0.26
PTPN4	HsaEX0051051	0.048573	0.15
H1FX-AS1	HsaEX0055222	0.037434	0.21
RP11-677M14.3	HsaINT1037313	-0.017544	0.15
RP5-848E13.4	HsaEX1035400	-0.022929	0.15
PLXNB3	HsaINT0128112	-0.024380	0.15
HNF1A-AS1	HsaEX1017004	-0.030509	0.16
FAM229B	HsaALTA1055625-2/2	-0.036914	0.22
BAIAP3	HsaINT0016553	-0.037705	0.18
EVA1A	HsaEX1013547	-0.040662	0.15
AC104667.3	HsaEX1002280	-0.041061	0.17
PLXNB3	HsaINT0128123	-0.041531	0.15
KRT8	HsaALTD1035296-3/4	-0.043049	0.16
RHPN1	HsaALTA1038035-2/2	-0.046397	0.16
LINC01273	HsaINT1019738	-0.048585	0.15
FBLIM1	HsaALTD0002488-2/2	-0.051197	0.15
RAB26	HsaINT0136039	-0.053522	0.15
FCHO1	HsaALTD1018622-2/2	-0.053677	0.15
DICER1-AS1	HsaEX0003548	-0.054667	0.18
C12orf76	HsaEX1006082	-0.060375	0.17
GBP2	HsaINT0068107	-0.063263	0.15
CAPN3	HsaALTA1063912-2/2	-0.065892	0.23
NUP50-AS1	HsaALTD1052156-3/3	-0.068165	0.15
ACY3	HsaALTA1025580-2/2	-0.069089	0.17
RGS14	HsaINT0140128	-0.077461	0.2
CEP89	HsaALTA1020681-2/2	-0.077660	0.16
HPX	HsaEX0030469	-0.078867	0.18
CDC42BPG	HsaINT0031730	-0.079886	0.19
C19orf54	HsaALTD1050492-2/2	-0.080520	0.15
CATSPER2	HsaEX0012659	-0.080681	0.15
TOMM40L	HsaINT0170814	-0.082250	0.17
PDIA2	HsaEX0046362	-0.085091	0.19
TMC8	HsaINT0168067	-0.085579	0.25
IDNK	HsaALTD0001074-4/4	-0.085939	0.17
SLC5A2	HsaEX0059877	-0.087228	0.18
CFD	HsaINT0034109	-0.087598	0.17
MAP3K6	HsaINT0099225	-0.088110	0.2
MPV17	HsaALTD1013660-2/2	-0.092374	0.27
NARF	HsaALTD1024062-2/2	-0.092533	0.27
UNC5D	HsaALTD1028981-1/2	-0.095283	0.22
NME4	HsaALTA1012090-3/4	-0.097315	0.24
RP11-432J24.5	HsaALTD1052745-1/2	-0.097970	0.18
UBA7	HsaINT0176117	-0.099037	0.22
RIPPLY3	HsaINT0052399	-0.100560	0.22
MYO15B	HsaALTA1062171-1/2	-0.100835	0.15
SUCLG2-AS1	HsaALTA1059462-4/5	-0.102400	0.24
LA16c-313D11.9	HsaINT1017880	-0.103404	0.16
SERPINI1	HsaALTD0005807-2/3	-0.103733	0.15
ZNF91	HsaEX1045584	-0.106717	0.15
GMFG	HsaINT0069901	-0.107012	0.15
RP11-295G20.2	HsaALTA1058678-3/4	-0.107240	0.15
ZSCAN5A	HsaALTA1025027-2/2	-0.107865	0.2
LMNTD2	HsaALTD0000797-1/2	-0.108214	0.17
PLXNB3	HsaALTA1055237-2/2	-0.109198	0.23
SUFU	HsaALTA1014558-1/2	-0.110803	0.15
VWA7	HsaINT1046473	-0.110977	0.34
AC103564.7	HsaALTA1058131-1/2	-0.111052	0.17
TBC1D10C	HsaINT0163969	-0.111080	0.22
NME4	HsaALTA1012090-4/4	-0.111608	0.27
C21orf2	HsaEX0010540	-0.111849	0.15
WDR73	HsaINT0182574	-0.112466	0.15
LINC01806	HsaEX0000987	-0.112812	0.18
BRSK2	HsaINT0018743	-0.113454	0.18
SNCG	HsaALTA0008070-5/7	-0.113766	0.18
PLXNB3	HsaINT0128124	-0.114998	0.17
PLXNB3	HsaINT0128111	-0.115916	0.16
QTRT1	HsaINT0135832	-0.118306	0.15
RP11-104N10.1	HsaINT1030114	-0.118845	0.21
UAP1	HsaALTA1019166-1/3	-0.119264	0.15
TBC1D10C	HsaALTA1047731-3/5	-0.119631	0.22
PAGE1	HsaALTA1004985-1/2	-0.120328	0.15
RP11-736N17.8	HsaINT1037826	-0.120884	0.2
UBE3B	HsaALTD0006990-3/3	-0.122231	0.15
SNHG14	HsaEX1038177	-0.122464	0.16
ELOA-AS1	HsaINT1012481	-0.122606	0.18
CD27-AS1	HsaEX1007697	-0.123878	0.24
GPT	HsaINT1014802	-0.124091	0.16
CLK4	HsaINT0036463	-0.124810	0.15
MIR210HG	HsaINT1023038	-0.125341	0.16
CROCC	HsaINT1008419	-0.126850	0.16
TBX10	HsaINT0164679	-0.127234	0.26
HSCB	HsaEX0030514	-0.127554	0.17
BAIAP3	HsaINT0016548	-0.128581	0.23
SLC45A3	HsaINT0153239	-0.128990	0.19
MARCH2	HsaALTA1009791-3/3	-0.129725	0.22
CATSPER2	HsaALTA0001499-1/2	-0.130025	0.15
CATSPER2	HsaINT1006429	-0.130513	0.21
BTBD19	HsaINT0018995	-0.130749	0.15
MYO9B	HsaALTD0004139-1/3	-0.131060	0.15
AC113189.5	HsaALTD1045910-1/2	-0.131213	0.16
C1orf159	HsaEX0010159	-0.132133	0.21
RP11-296I10.3	HsaINT1032816	-0.132384	0.26
ATP5S	HsaINT0015024	-0.132408	0.16
FDPS	HsaALTD0002539-3/3	-0.133325	0.15
ZNF133	HsaALTA0009734-3/4	-0.133776	0.15
TTC32	HsaINT0174384	-0.133786	0.16
VAMP2	HsaINT0179812	-0.134064	0.16
C16orf86	HsaEX0009719	-0.134140	0.15
ACADVL	HsaALTD1004123-2/3	-0.134298	0.15
UCKL1	HsaINT0177172	-0.134464	0.15
C1orf159	HsaEX0010157	-0.135267	0.19
ADPRM	HsaALTD0000853-2/2	-0.135684	0.15
PROSER3	HsaINT0021807	-0.136270	0.15
PQLC2	HsaINT0131229	-0.136493	0.15
URI1	HsaEX0009929	-0.137670	0.15
KLHL17	HsaINT0088643	-0.137945	0.15
MOK	HsaALTA1007090-2/2	-0.138009	0.15
WARS	HsaEX0070830	-0.138015	0.15
PLEKHH3	HsaINT0127473	-0.138119	0.15
ACBD4	HsaALTA1049697-1/2	-0.138486	0.27
KRCC1	HsaALTA1046166-1/3	-0.138802	0.15
PIP5K1A	HsaALTA0006323-2/2	-0.139032	0.15
MYO9B	HsaALTA0005513-2/2	-0.139093	0.16
PLEKHN1	HsaEX0048428	-0.140384	0.3
ZNF248	HsaEX0073240	-0.141876	0.16
CATSPER2	HsaEX0012656	-0.142043	0.19
TMEM8B	HsaEX0066003	-0.142172	0.15
POLD1	HsaINT0128888	-0.142293	0.15
ZNF692	HsaINT0188142	-0.142555	0.15
CENPT	HsaINT0033466	-0.143419	0.15
WDR20	HsaEX1046478	-0.143587	0.17
FAM20A	HsaINT0060711	-0.143623	0.15
SH2D5	HsaEX0057933	-0.143732	0.22
XRCC3	HsaINT0183879	-0.143806	0.16
SKP2	HsaEX1037066	-0.143821	0.15
EML2-AS1	HsaINT1012524	-0.143912	0.16
DCAF8	HsaALTD0001816-2/2	-0.144359	0.16
JSRP1	HsaINT0083879	-0.144375	0.15
RHPN1	HsaINT0140593	-0.144417	0.19
SSR2	HsaALTD1031372-2/4	-0.145231	0.15
ZNF789	HsaINT0188404	-0.145645	0.15
FRG1	HsaINT1013891	-0.146537	0.15
DCAF11	HsaEX0018598	-0.146837	0.15
SLTM	HsaALTA0008022-5/5	-0.147342	0.15
CAPRIN2	HsaALTA0001466-2/3	-0.147536	0.16
SDCBP2	HsaINT1041078	-0.147645	0.25
SOAT2	HsaEX6066770	-0.147834	0.15
MIGA2	HsaINT0061435	-0.148179	0.15
UBA7	HsaINT0176103	-0.148243	0.25
CNTD2	HsaINT1007991	-0.148314	0.17
ACAD10	HsaINT0002093	-0.149083	0.15
KLHL17	HsaALTA0004612-3/3	-0.149141	0.15
INVS	HsaINT0081405	-0.149346	0.16
PLK3	HsaINT0127646	-0.149348	0.15
LAMA5	HsaINT0090322	-0.149373	0.17
BAIAP3	HsaINT0016549	-0.149492	0.15
THYN1	HsaINT0167025	-0.150186	0.15
C11orf80	HsaEX0009081	-0.150254	0.15
SPAG4	HsaINT0157228	-0.150381	0.15
SMUG1	HsaALTD0006091-1/2	-0.150480	0.2
RAB17	HsaINT0135986	-0.150675	0.15
ZDHHC8	HsaINT0185294	-0.150732	0.15
RPARP-AS1	HsaINT1040292	-0.150785	0.15
ASPDH	HsaEX0006311	-0.150934	0.15
STAP2	HsaINT1043139	-0.150993	0.17
GAPDH	HsaEX6064747	-0.151042	0.16
POLG	HsaINT1027505	-0.151239	0.15
SLC25A10	HsaINT0151613	-0.151351	0.16
DLG4	HsaINT0048571	-0.151377	0.16
C14orf159	HsaINT0020606	-0.151422	0.16
EME2	HsaINT1012511	-0.151636	0.18
POLM	HsaINT0129090	-0.151749	0.15
FMNL2	HsaINT0065139	-0.151781	0.15
IKBKB	HsaINT0079728	-0.152161	0.15
ANKMY1	HsaINT0008350	-0.152168	0.16
MST1	HsaINT1023630	-0.152184	0.15
CDK5RAP3	HsaINT0032633	-0.152553	0.15
FAM8A1	HsaALTA1028588-1/2	-0.152702	0.15
ORC2	HsaINT0118438	-0.152752	0.17
MRPS26	HsaALTD0004042-4/7	-0.152908	0.15
PISD	HsaEX0047732	-0.153024	0.16
SERPINA1	HsaINT1041309	-0.153087	0.15
TERT	HsaINT1044026	-0.153747	0.18
SIK3	HsaALTA0007805-2/3	-0.153815	0.16
FBXO25	HsaEX0025272	-0.154046	0.15
SMIM19	HsaALTD0001069-2/3	-0.154121	0.16
SCMH1	HsaEX0056512	-0.154124	0.16
BRD1	HsaINT0018481	-0.154204	0.15
PLEKHN1	HsaEX0048429	-0.154270	0.21
MEGF8	HsaEX0038767	-0.154529	0.17
GLI4	HsaINT0069496	-0.154739	0.15
RPS25	HsaALTD1014865-2/4	-0.155024	0.18
TNS2	HsaEX1041562	-0.155198	0.15
OSGEPL1	HsaINT1025718	-0.155251	0.15
FADS3	HsaINT0059339	-0.155543	0.16
MSTO1	HsaINT1023654	-0.155597	0.15
ZNF114	HsaALTA1048716-2/2	-0.155597	0.15
C15orf39	HsaALTD0000834-2/3	-0.155684	0.15
TWNK	HsaEX1042596	-0.155730	0.16
ZNF839	HsaINT0188529	-0.155870	0.15
CHRD	HsaINT0035110	-0.155887	0.19
LINC01137	HsaINT1019475	-0.156060	0.17
RECQL5	HsaINT1029105	-0.156285	0.18
TLE3	HsaALTD0006549-1/2	-0.156554	0.16
LENG8	HsaINT0091317	-0.156873	0.17
RAP1GAP	HsaEX0052207	-0.157153	0.16
RP11-34P13.8	HsaINT1033553	-0.157455	0.16
IFFO1	HsaINT1016168	-0.157568	0.17
OSGEPL1	HsaALTA0005984-2/3	-0.157922	0.21
NEIL1	HsaINT0112441	-0.158008	0.18
SVIL-AS1	HsaEX0054985	-0.158060	0.15
RHPN1	HsaINT0140583	-0.158071	0.17
BCL2L1	HsaALTD1035720-1/4	-0.158134	0.15
EPN2	HsaALTA1005516-3/3	-0.158375	0.15
NAGK	HsaINT0109793	-0.158379	0.18
TRIP12	HsaALTA0009007-3/3	-0.158527	0.18
MTERF1	HsaEX1024421	-0.158546	0.2
PPIL2	HsaALTA1009945-2/2	-0.158592	0.17
LAMP2	HsaEX0035314	-0.159066	0.15
ZNF232	HsaALTA0009767-2/2	-0.159166	0.15
LINC01979	HsaINT1021230	-0.159180	0.15
PCBP2	HsaALTA1064314-1/2	-0.159210	0.15
PPP6R2	HsaINT0131120	-0.159275	0.16
CD79A	HsaALTD0001281-2/4	-0.159282	0.15
MZF1	HsaINT0109445	-0.159301	0.19
HDAC10	HsaINT1015293	-0.159557	0.16
RAB24	HsaINT0136031	-0.159645	0.15
TONSL	HsaINT0113190	-0.159961	0.17
LINC00355	HsaEX0054971	-0.159971	0.3
MOGAT2	HsaINT0104261	-0.159992	0.17
TBC1D10C	HsaINT0163970	-0.160150	0.15
EXTL3	HsaEX0023570	-0.160177	0.16
RNF207	HsaINT0141559	-0.160197	0.2
LYRM1	HsaEX0037076	-0.160325	0.17
GS1-124K5.4	HsaALTD1046414-1/4	-0.160401	0.17
ACAD8	HsaINT0002129	-0.160520	0.15
COA1	HsaEX0011453	-0.160554	0.15
ZNF512B	HsaALTD1053798-2/2	-0.160578	0.16
NSMF	HsaALTD1032916-2/2	-0.160622	0.16
ZSWIM5	HsaINT0188873	-0.160696	0.16
ZNF692	HsaINT0188137	-0.160749	0.17
POLR2H	HsaALTA0006527-1/3	-0.160854	0.17
RCN3	HsaALTD1024402-2/2	-0.160942	0.15
VWA7	HsaALTA0001341-4/5	-0.161002	0.16
NACC1	HsaEX1025044	-0.161030	0.16
CEP78	HsaALTA0001812-1/2	-0.161109	0.16
FAM110A	HsaINT1012979	-0.161129	0.25
NSMF	HsaALTA0005681-1/2	-0.161165	0.17
MCM8	HsaALTD0003828-2/2	-0.161171	0.18
EPS8L2	HsaINT0057359	-0.161290	0.17
PISD	HsaEX0047731	-0.161391	0.16
RP11-96A15.1	HsaEX1035039	-0.161415	0.25
SLC22A18AS	HsaINT1041819	-0.161532	0.15
METTL12	HsaALTA1056958-2/3	-0.161755	0.16
TRIM37	HsaINT1045206	-0.161837	0.16
ZNF544	HsaALTA1064320-2/2	-0.162143	0.17
RPL35A	HsaALTD0005539-1/11	-0.162273	0.15
DNAH17	HsaEX6025154	-0.162278	0.17
FBXO44	HsaINT0062948	-0.162309	0.17
SHANK3	HsaINT0149547	-0.162343	0.17
MIOS	HsaINT0103077	-0.162428	0.15
TP53I13	HsaEX1041673	-0.162891	0.19
KLHL17	HsaALTA1052286-2/4	-0.162985	0.15
DPM2	HsaINT0051723	-0.163314	0.16
N4BP2L2	HsaINT0109483	-0.163904	0.15
PPP4R3A	HsaALTD0006079-1/2	-0.164035	0.15
LINC02193	HsaINT1021699	-0.164288	0.17
METTL26	HsaEX0009601	-0.164315	0.15
TRAPPC2L	HsaEX0066929	-0.164397	0.15
PRELID2	HsaEX0049988	-0.164563	0.17
SNHG12	HsaINT0155937	-0.164610	0.16
PLEKHN1	HsaINT0127528	-0.164794	0.22
MAPK12	HsaINT0099582	-0.164879	0.15
FAM229A	HsaINT0092722	-0.164930	0.17
KLC2	HsaINT1017494	-0.165216	0.16
CLASRP	HsaINT0035787	-0.165346	0.17
SOX13	HsaALTA1032534-2/3	-0.165638	0.17
PLXNB3	HsaINT0128127	-0.165645	0.27
TAOK2	HsaINT1043664	-0.166620	0.17
CSGALNACT2	HsaEX0017480	-0.166628	0.16
ZKSCAN5	HsaINT0185876	-0.166829	0.17
HIST1H2AC	HsaALTD1038573-2/2	-0.166990	0.16
COA1	HsaEX0011454	-0.167183	0.17
AP003068.23	HsaINT1004112	-0.167575	0.16
MYO9B	HsaINT1024326	-0.167602	0.17
ABCG5	HsaALTA1029132-2/2	-0.167687	0.16
SYTL1	HsaINT0163076	-0.167879	0.15
ACIN1	HsaALTD0000111-1/5	-0.167907	0.17
AC002116.7	HsaINT1000329	-0.168277	0.15
CUL9	HsaINT0043466	-0.168392	0.15
ZNF692	HsaINT0188138	-0.168544	0.17
ENTPD1-AS1	HsaEX1013152	-0.168712	0.18
TROAP	HsaINT0172907	-0.168799	0.17
MICALL2	HsaINT0102934	-0.168976	0.17
NCBP2	HsaALTD0004197-3/3	-0.169044	0.17
TMEM106A	HsaINT0168243	-0.169079	0.16
YBX3	HsaEX0017421	-0.169175	0.15
PHKA2	HsaINT0124209	-0.169513	0.17
SNHG4	HsaINT1048047	-0.169883	0.17
AMDHD2	HsaINT0007578	-0.169895	0.17
PPCDC	HsaINT0130000	-0.169977	0.15
CRTC1	HsaINT1008458	-0.170264	0.17
TMEM218	HsaALTD0006633-2/2	-0.170429	0.15
TMPRSS6	HsaALTA1051909-2/2	-0.170431	0.17
CROCC	HsaINT1008417	-0.170458	0.19
FOXJ1	HsaINT0065584	-0.170571	0.21
FAM118A	HsaINT1012985	-0.170624	0.16
ACTR3B	HsaEX0002174	-0.170836	0.2
RP3-460G2.2	HsaEX0055245	-0.170945	0.17
RPS25	HsaALTA1019519-2/2	-0.170958	0.15
TMEM251	HsaALTD1054073-2/2	-0.171111	0.19
ZNF644	HsaEX0074122	-0.171379	0.18
DLGAP4-AS1	HsaEX0055384	-0.171467	0.17
RP13-314C10.5	HsaEX1035115	-0.171578	0.19
RP11-539L10.3	HsaALTA1060484-2/2	-0.171607	0.17
CDKL1	HsaEX0014372	-0.171622	0.21
RP11-705C15.5	HsaALTD1049548-3/3	-0.171767	0.38
GS1-124K5.4	HsaINT1014932	-0.171783	0.21
INTS14	HsaALTD0000836-1/4	-0.171851	0.19
RBM5	HsaINT0138606	-0.172044	0.18
RAB17	HsaINT0135985	-0.172440	0.17
LINC01138	HsaALTA1062780-2/2	-0.172471	0.17
XRRA1	HsaEX0071890	-0.172672	0.19
AC091729.9	HsaALTA1058114-2/2	-0.172912	0.18
MKNK2	HsaEX0039398	-0.173002	0.18
KLHL17	HsaINT0088649	-0.173242	0.17
BTBD16	HsaEX0008633	-0.173350	0.17
AHSA2	HsaALTA0000308-2/3	-0.173441	0.16
APOA5	HsaALTA1015655-2/3	-0.173657	0.26
ZDHHC8	HsaINT0185295	-0.174381	0.17
RP11-111M22.3	HsaINT1030366	-0.174521	0.17
ST5	HsaEX0062015	-0.174943	0.18
KIAA0895L	HsaALTD0003444-1/3	-0.175073	0.18
OSBPL7	HsaALTA1000521-2/2	-0.175267	0.17
TMEM161B-AS1	HsaEX0017695	-0.175397	0.15
