GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_CNTRL	HeLa_CNTRL-Q	HeLa_CNTRL_A	HeLa_CNTRL_A-Q	HeLa_CNTRL_B	HeLa_CNTRL_B-Q	HeLa_CNTRL_C	HeLa_CNTRL_C-Q	HeLa_SON	HeLa_SON-Q	HeLa_SON_A	HeLa_SON_A-Q	HeLa_SON_B	HeLa_SON_B-Q	HeLa_SON_C	HeLa_SON_C-Q	HeLa_SRRM2	HeLa_SRRM2-Q	HeLa_SRRM2_A	HeLa_SRRM2_A-Q	HeLa_SRRM2_B	HeLa_SRRM2_B-Q	HeLa_SRRM2_C	HeLa_SRRM2_C-Q	HepG2_CNTRL	HepG2_CNTRL-Q	HepG2_CNTRL_A	HepG2_CNTRL_A-Q	HepG2_CNTRL_B	HepG2_CNTRL_B-Q	HepG2_CNTRL_C	HepG2_CNTRL_C-Q	HepG2_MARS	HepG2_MARS-Q	HepG2_MARS_Aa	HepG2_MARS_Aa-Q	HepG2_MARS_Ab	HepG2_MARS_Ab-Q	HepG2_MARS_Ba	HepG2_MARS_Ba-Q	HepG2_MARS_Bb	HepG2_MARS_Bb-Q	HepG2_MARS_Ca	HepG2_MARS_Ca-Q	HepG2_MARS_Cb	HepG2_MARS_Cb-Q	HepG2_RARS	HepG2_RARS-Q	HepG2_RARS_A	HepG2_RARS_A-Q	HepG2_RARS_B	HepG2_RARS_B-Q	HepG2_RARS_C	HepG2_RARS_C-Q	HepG2_SRRM2	HepG2_SRRM2-Q	HepG2_SRRM2_Aa	HepG2_SRRM2_Aa-Q	HepG2_SRRM2_Ab	HepG2_SRRM2_Ab-Q	HepG2_SRRM2_Ba	HepG2_SRRM2_Ba-Q	HepG2_SRRM2_Bb	HepG2_SRRM2_Bb-Q	HepG2_SRRM2_Ca	HepG2_SRRM2_Ca-Q	HepG2_SRRM2_Cb	HepG2_SRRM2_Cb-Q	dPSI
FBF1	HsaEX0024991	chr17:75929997-75930040	44	chr17:75931229,75929997-75930040+75930047+75930352,75928193	S	66.67	VLOW,VLOW,10=14=6,OK,S@20.00,10.00	66.67	N,N,2=6=2,B1,S@6.67,3.33	57.14	N,N,4=4=3,OK,S@6.29,4.71	80.00	N,N,4=4=1,OK,S@7.20,1.80	90.48	VLOW,VLOW,8=11=1,OK,S@18.10,1.90	100.00	N,N,1=4=0,B1,S@5.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	80.00	N,N,4=4=1,OK,S@7.20,1.80	100.00	VLOW,VLOW,7=20=0,B1,S@27.00,0.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	100.00	N,N,0=6=0,Bn,S@6.00,0.00	100.00	N,N,2=9=0,B1,S@11.00,0.00	100.00	OK,OK,25=35=0,OK,S@60.00,0.00	100.00	VLOW,VLOW,9=15=0,OK,S@24.00,0.00	100.00	VLOW,VLOW,10=5=0,OK,S@15.00,0.00	100.00	VLOW,VLOW,6=15=0,B1,S@21.00,0.00	100.00	OK,OK,23=23=0,OK,S@46.00,0.00	100.00	N,N,1=3=0,B1,S@4.00,0.00	100.00	N,N,0=5=0,Bn,S@5.00,0.00	100.00	N,N,7=5=0,OK,S@12.00,0.00	100.00	N,N,3=1=0,B1,S@4.00,0.00	100.00	N,N,6=6=0,OK,S@12.00,0.00	100.00	N,N,6=3=0,OK,S@9.00,0.00	100.00	OK,OK,30=32=0,OK,S@62.00,0.00	100.00	VLOW,VLOW,11=8=0,OK,S@19.00,0.00	100.00	VLOW,VLOW,17=9=0,OK,S@26.00,0.00	100.00	N,N,2=15=0,B2,S@17.00,0.00	91.11	OK,OK,19=22=2,OK,S@39.18,3.82	100.00	N,N,3=1=0,B1,S@4.00,0.00	50.00	N,N,1=3=2,B1,S@3.00,3.00	100.00	N,N,5=3=0,OK,S@8.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	N,N,3=5=0,OK,S@8.00,0.00	100.00	N,N,4=7=0,OK,S@11.00,0.00	33.33
SYCP2	HsaEX0063095	chr20:59907364-59907424	61	chr20:59911750,59907364-59907424,59901810	S	90.48	LOW,LOW,13=25=2,OK,S@36.19,3.81	85.71	N,N,4=8=1,OK,S@11.14,1.86	86.67	N,N,4=9=1,B1,S@12.13,1.87	100.00	N,N,5=8=0,OK,S@13.00,0.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	100.00	N,N,2=1=0,OK,S@3.00,0.00	100.00	N,N,1=2=0,OK,S@3.00,0.00	100.00	N,N,2=2=0,OK,S@4.00,0.00	74.47	OK,OK,15=20=6,OK,S@30.53,10.47	45.45	N,N,1=4=3,B1,S@3.64,4.36	70.00	N,N,6=8=3,OK,S@11.90,5.10	100.00	N,N,8=8=0,OK,S@16.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	-16.01
NBPF4	HsaEX1025208	chr1:108243899-108244054	156	chr1:108246602,108243899-108244054,108243796	S	38.46	OK,OK,9=31=32,B1,S@27.69,44.31	46.67	N,N,2=12=8,B2,S@10.27,11.73	27.27	VLOW,VLOW,3=6=12,OK,S@5.73,15.27	41.46	VLOW,VLOW,4=13=12,B1,S@12.02,16.98	67.50	OK,OK,16=38=13,B1,S@45.23,21.77	72.73	VLOW,VLOW,5=11=3,B1,S@13.82,5.18	78.38	VLOW,VLOW,8=21=4,B1,S@25.87,7.13	42.86	N,N,3=6=6,OK,S@6.43,8.57	59.38	LOW,LOW,14=24=13,OK,S@30.28,20.72	60.00	N,N,4=8=4,OK,S@9.60,6.40	54.55	N,N,7=5=5,OK,S@9.27,7.73	63.64	N,N,3=11=4,B1,S@11.46,6.54	0.00	N,N,0=0=1,Bn,S@0.00,1.00	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	0.00	N,N,0=0=2,Bn,S@0.00,2.00	0.00	N,N,0=0=1,Bn,S@0.00,1.00	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	20.92
HELZ	HsaEX0029677	chr17:67160261-67160362	102	chr17:67160897,67160261-67160362+67160365,67151136+67151224	S	100.00	LOW,LOW,10=22=0,B1,S@32.00,0.00	100.00	N,N,4=6=0,OK,S@10.00,0.00	100.00	N,N,5=8=0,OK,S@13.00,0.00	100.00	N,N,1=8=0,B2,S@9.00,0.00	93.10	LOW,LOW,12=15=1,OK,S@26.07,1.93	77.78	N,N,3=4=1,OK,S@6.22,1.78	100.00	N,N,5=6=0,OK,S@11.00,0.00	100.00	N,N,4=5=0,OK,S@9.00,0.00	81.82	VLOW,VLOW,8=10=2,OK,S@16.36,3.64	100.00	N,N,4=2=0,OK,S@6.00,0.00	66.67	N,N,3=5=2,OK,S@6.67,3.33	100.00	N,N,1=3=0,B1,S@4.00,0.00	97.97	SOK,SOK,256=227=5,OK,S@478.09,9.91	96.69	SOK,SOK,94=81=3,OK,S@172.11,5.89	97.69	SOK,SOK,99=70=2,OK,S@167.05,3.95	100.00	SOK,SOK,63=76=0,OK,S@139.00,0.00	98.66	SOK,SOK,75=72=1,OK,S@146.02,1.98	100.00	N,N,7=5=0,OK,S@12.00,0.00	100.00	N,N,4=5=0,OK,S@9.00,0.00	100.00	N,N,4=8=0,OK,S@12.00,0.00	100.00	N,N,7=5=0,OK,S@12.00,0.00	100.00	OK,OK,33=24=0,OK,S@57.00,0.00	95.74	OK,OK,20=25=1,OK,S@44.04,1.96	99.41	SOK,SOK,210=127=1,OK,S@336.01,1.99	100.00	SOK,SOK,87=51=0,OK,S@138.00,0.00	100.00	SOK,SOK,66=35=0,OK,S@101.00,0.00	98.00	OK,OK,57=41=1,OK,S@97.02,1.98	98.72	SOK,SOK,90=64=1,OK,S@153.02,1.98	100.00	LOW,LOW,15=18=0,OK,S@33.00,0.00	100.00	LOW,LOW,17=15=0,OK,S@32.00,0.00	100.00	N,N,7=4=0,OK,S@11.00,0.00	100.00	N,N,6=5=0,OK,S@11.00,0.00	100.00	LOW,LOW,19=11=0,OK,S@30.00,0.00	94.87	LOW,LOW,26=11=1,B1,S@36.05,1.95	-18.18
L1CAM	HsaEX0035105	chrX:153863883-153864017	135	chrX:153864322,153863711+153863883-153864017,153863549	S	57.95	SOK,SOK,301=1372=607,B1,S@1321.26,958.74	57.98	SOK,SOK,108=499=220,B1,S@479.49,347.51	57.93	SOK,SOK,92=500=215,B2,S@467.50,339.50	57.95	SOK,SOK,101=373=172,B1,S@374.36,271.64	24.43	SOK,SOK,116=603=1112,B2,S@447.31,1383.69	22.47	SOK,SOK,45=195=414,B1,S@146.95,507.05	24.52	SOK,SOK,34=185=337,B2,S@136.33,419.67	26.48	SOK,SOK,37=223=361,B2,S@164.44,456.56	37.23	SOK,SOK,256=1242=1263,B1,S@1027.92,1733.08	40.13	SOK,SOK,83=413=370,B1,S@347.53,518.47	35.85	SOK,SOK,78=350=383,B1,S@290.74,520.26	36.01	SOK,SOK,95=479=510,B2,S@390.35,693.65	82.52	OK,OK,44=41=9,OK,S@77.57,16.43	76.00	VLOW,VLOW,9=10=3,OK,S@16.72,5.28	83.33	OK,OK,26=24=5,OK,S@45.83,9.17	88.89	N,N,9=7=1,OK,S@15.11,1.89	78.95	N,N,8=7=2,OK,S@13.42,3.58	33.33	N,N,0=1=1,Bn,S@0.67,1.33	71.43	N,N,2=3=1,OK,S@4.29,1.71	100.00	N,N,1=0=0,Bn,S@1.00,0.00	100.00	N,N,3=1=0,B1,S@4.00,0.00	100.00	N,N,2=1=0,OK,S@3.00,0.00	100.00	N,N,0=1=0,Bn,S@1.00,0.00	83.33	LOW,LOW,27=13=4,B1,S@36.67,7.33	75.00	N,N,9=3=2,B1,S@10.50,3.50	91.30	VLOW,VLOW,14=7=1,OK,S@20.09,1.91	77.78	N,N,4=3=1,OK,S@6.22,1.78	98.11	SOK,SOK,63=41=1,OK,S@103.02,1.98	100.00	N,N,8=3=0,B1,S@11.00,0.00	100.00	N,N,18=2=0,B2,S@20.00,0.00	100.00	N,N,3=14=0,B1,S@17.00,0.00	92.86	LOW,LOW,15=11=1,OK,S@25.07,1.93	100.00	VLOW,VLOW,10=7=0,OK,S@17.00,0.00	100.00	N,N,9=4=0,B1,S@13.00,0.00	-20.72
L1CAM	HsaEX0035102	chrX:153865088-153865210	123	chrX:153865299,153865088-153865210,153864994	S	92.50	SOK,SOK,91=131=9,OK,S@213.68,17.32	91.58	OK,OK,32=55=4,OK,S@83.34,7.66	91.43	OK,OK,23=41=3,OK,S@61.26,5.74	94.67	OK,OK,36=35=2,OK,S@69.11,3.89	45.54	SOK,SOK,42=60=61,OK,S@74.23,88.77	48.94	OK,OK,21=25=24,OK,S@34.26,35.74	43.33	LOW,LOW,7=19=17,B1,S@18.63,24.37	42.86	OK,OK,14=16=20,OK,S@21.43,28.57	73.87	SOK,SOK,64=100=29,OK,S@142.57,50.43	69.62	OK,OK,20=35=12,OK,S@46.65,20.35	80.00	OK,OK,18=30=6,OK,S@43.20,10.80	73.49	OK,OK,26=35=11,OK,S@52.91,19.09	100.00	OK,OK,44=48=0,OK,S@92.00,0.00	100.00	VLOW,VLOW,8=13=0,OK,S@21.00,0.00	100.00	OK,OK,23=18=0,OK,S@41.00,0.00	100.00	LOW,LOW,13=17=0,OK,S@30.00,0.00	100.00	VLOW,VLOW,11=7=0,OK,S@18.00,0.00	100.00	N,N,2=0=0,Bn,S@2.00,0.00	100.00	N,N,1=0=0,Bn,S@1.00,0.00	100.00	N,N,2=0=0,Bn,S@2.00,0.00	100.00	N,N,2=1=0,OK,S@3.00,0.00	100.00	N,N,2=4=0,OK,S@6.00,0.00	100.00	N,N,2=2=0,OK,S@4.00,0.00	100.00	OK,OK,17=21=0,OK,S@38.00,0.00	100.00	N,N,4=3=0,OK,S@7.00,0.00	100.00	VLOW,VLOW,8=13=0,OK,S@21.00,0.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	100.00	OK,OK,54=36=0,OK,S@90.00,0.00	100.00	N,N,8=6=0,OK,S@14.00,0.00	100.00	N,N,6=5=0,OK,S@11.00,0.00	100.00	VLOW,VLOW,13=7=0,OK,S@20.00,0.00	100.00	N,N,12=2=0,B2,S@14.00,0.00	100.00	VLOW,VLOW,9=11=0,OK,S@20.00,0.00	100.00	N,N,6=5=0,OK,S@11.00,0.00	-18.63
COL15A1	HsaEX0016326	chr9:99015417-99015566	150	chr9:99005050,99015417-99015566,99015976	S	75.29	LOW,LOW,13=18=5,OK,S@27.10,8.90	86.40	N,N,3=10=1,B1,S@12.10,1.90	68.95	N,N,5=4=2,OK,S@7.58,3.42	68.95	N,N,5=4=2,OK,S@7.58,3.42	29.05	VLOW,VLOW,4=6=12,OK,S@6.39,15.61	24.73	N,N,2=2=6,OK,S@2.47,7.53	59.53	N,N,1=2=1,OK,S@2.38,1.62	22.73	N,N,1=2=5,OK,S@1.82,6.18	46.53	VLOW,VLOW,10=13=13,OK,S@16.75,19.25	77.41	N,N,2=5=1,B1,S@6.19,1.81	32.94	N,N,2=3=5,OK,S@3.29,6.71	43.67	N,N,6=5=7,OK,S@7.86,10.14	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	-28.76
HERC2P9	HsaEX1016722	chr15:28629266-28629441	176	chr15:28618655,28629266-28629441,28632637	S	100.00	VLOW,VLOW,5=54=0,B2,S@59.00,0.00	100.00	N,N,2=18=0,B2,S@20.00,0.00	100.00	N,N,1=19=0,B2,S@20.00,0.00	100.00	N,N,2=17=0,B2,S@19.00,0.00	94.74	N,N,1=35=1,B2,S@35.05,1.95	85.71	N,N,0=12=1,Bl,S@11.14,1.86	100.00	N,N,1=7=0,B2,S@8.00,0.00	100.00	N,N,0=16=0,B3,S@16.00,0.00	80.00	LOW,LOW,12=44=7,B1,S@50.40,12.60	100.00	VLOW,VLOW,5=18=0,B1,S@23.00,0.00	66.67	N,N,2=10=3,B1,S@10.00,5.00	72.41	VLOW,VLOW,5=16=4,B1,S@18.10,6.90	93.61	SOK,SOK,73=220=10,B1,S@283.64,19.36	87.16	SOK,SOK,17=78=7,B1,S@88.90,13.10	96.19	SOK,SOK,26=75=2,B1,S@99.08,3.92	97.98	OK,OK,30=67=1,B1,S@96.02,1.98	91.58	OK,OK,18=69=4,B1,S@83.34,7.66	100.00	N,N,4=9=0,B1,S@13.00,0.00	100.00	N,N,3=10=0,B1,S@13.00,0.00	100.00	N,N,1=7=0,B2,S@8.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	76.92	VLOW,VLOW,5=15=3,B1,S@17.69,5.31	93.33	N,N,3=25=1,B2,S@27.07,1.93	99.21	SOK,SOK,66=186=1,B1,S@251.00,2.00	100.00	OK,OK,20=54=0,B1,S@74.00,0.00	100.00	OK,OK,15=53=0,B1,S@68.00,0.00	98.21	SOK,SOK,31=79=1,B1,S@109.01,1.99	97.16	SOK,SOK,30=107=2,B1,S@135.05,3.95	100.00	LOW,LOW,10=27=0,B1,S@37.00,0.00	94.44	LOW,LOW,11=23=1,B1,S@33.05,1.95	100.00	N,N,0=9=0,Bn,S@9.00,0.00	100.00	N,N,1=8=0,B2,S@9.00,0.00	92.00	N,N,3=20=1,B2,S@22.08,1.92	100.00	VLOW,VLOW,5=20=0,B1,S@25.00,0.00	-20.00
AC091878.1	HsaEX0001381	chr5:17182370-17182432	63	chr5:17216077,17182370-17182432,17162565	S	70.57	LOW,LOW,15=13=6,OK,S@23.99,10.01	73.86	N,N,6=5=2,OK,S@9.60,3.40	56.43	N,N,2=3=2,OK,S@3.95,3.05	75.46	N,N,7=5=2,OK,S@10.56,3.44	59.40	VLOW,VLOW,12=8=7,OK,S@16.04,10.96	64.22	N,N,4=3=2,OK,S@5.78,3.22	84.89	N,N,7=4=1,OK,S@10.19,1.81	20.48	N,N,1=1=4,OK,S@1.23,4.77	94.41	LOW,LOW,20=13=1,OK,S@32.10,1.90	100.00	VLOW,VLOW,10=5=0,OK,S@15.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	86.07	N,N,6=6=1,OK,S@11.19,1.81	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	23.84
FNIP1	HsaEX0026177	chr5:131710578-131710661	84	chr5:131716565,131710578-131710661,131709272	S	50.87	LOW,LOW,16=16=15,OK,S@23.91,23.09	35.32	N,N,2=7=8,B1,S@6.00,11.00	70.82	N,N,11=4=3,B1,S@12.75,5.25	49.26	N,N,3=5=4,OK,S@5.91,6.09	45.19	OK,OK,32=24=33,OK,S@40.22,48.78	51.67	VLOW,VLOW,12=10=10,OK,S@16.53,15.47	45.63	VLOW,VLOW,13=6=11,B1,S@13.69,16.31	37.78	VLOW,VLOW,7=8=12,OK,S@10.20,16.80	32.09	OK,OK,14=22=37,OK,S@23.43,49.57	30.96	VLOW,VLOW,8=4=13,OK,S@7.74,17.26	39.29	N,N,3=5=6,OK,S@5.50,8.50	30.15	LOW,LOW,3=13=18,B1,S@10.25,23.75	15.84	SOK,SOK,19=24=111,OK,S@24.39,129.61	14.58	OK,OK,3=10=37,B1,S@7.29,42.71	19.54	OK,OK,6=11=34,OK,S@9.97,41.03	13.63	OK,OK,10=3=40,B1,S@7.22,45.78	33.77	OK,OK,7=14=20,OK,S@13.85,27.15	49.26	N,N,0=2=1,Bn,S@1.48,1.52	49.26	N,N,0=2=1,Bn,S@1.48,1.52	100.00	N,N,0=1=0,Bn,S@1.00,0.00	44.72	N,N,2=3=3,OK,S@3.58,4.42	17.76	N,N,0=4=9,Bn,S@2.31,10.69	36.16	N,N,5=2=6,B1,S@4.70,8.30	9.17	OK,OK,10=6=77,OK,S@8.53,84.47	3.14	OK,OK,2=0=30,Bn,S@1.00,31.00	18.60	LOW,LOW,6=2=17,B1,S@4.65,20.35	8.85	OK,OK,2=4=30,OK,S@3.19,32.81	33.28	OK,OK,18=20=37,OK,S@24.96,50.04	26.69	N,N,3=3=8,OK,S@3.74,10.26	18.09	VLOW,VLOW,2=3=11,OK,S@2.89,13.11	32.68	N,N,1=1=2,OK,S@1.31,2.69	0.00	N,N,0=0=1,Bn,S@0.00,1.00	54.82	N,N,4=6=4,OK,S@7.67,6.33	39.85	VLOW,VLOW,8=7=11,OK,S@10.36,15.64	-18.78
RUSC1-AS1	HsaEX1035862	chr1:155322243-155322437	195	chr1:155324078,155322243-155322437,155321695	S	100.00	VLOW,VLOW,5=11=0,B1,S@16.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	100.00	N,N,3=6=0,OK,S@9.00,0.00	100.00	N,N,0=2=0,Bn,S@2.00,0.00	50.00	N,N,2=2=2,OK,S@3.00,3.00	0.00	N,N,0=0=1,Bn,S@0.00,1.00	100.00	N,N,1=1=0,OK,S@2.00,0.00	50.00	N,N,1=1=1,OK,S@1.50,1.50	58.82	VLOW,VLOW,7=13=7,OK,S@15.88,11.12	57.14	N,N,4=4=3,OK,S@6.29,4.71	42.86	N,N,2=4=4,OK,S@4.29,5.71	100.00	N,N,1=5=0,B1,S@6.00,0.00	50.00	N,N,1=7=4,B2,S@6.00,6.00	33.33	N,N,0=1=1,Bn,S@0.67,1.33	20.00	N,N,0=1=2,Bn,S@0.60,2.40	75.00	N,N,1=5=1,B1,S@5.25,1.75	66.67	N,N,0=8=2,Bn,S@6.67,3.33	0.00	N,N,0=0=1,Bn,S@0.00,1.00	100.00	N,N,0=1=0,Bn,S@1.00,0.00	100.00	N,N,0=1=0,Bn,S@1.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	66.67	N,N,0=4=1,Bn,S@3.33,1.67	100.00	N,N,0=2=0,Bn,S@2.00,0.00	100.00	N,N,1=1=0,OK,S@2.00,0.00	100.00	N,N,0=1=0,Bn,S@1.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	100.00	N,N,1=0=0,Bn,S@1.00,0.00	87.50	N,N,1=13=1,B2,S@13.12,1.88	100.00	N,N,0=4=0,Bn,S@4.00,0.00	100.00	N,N,0=2=0,Bn,S@2.00,0.00	100.00	N,N,1=2=0,OK,S@3.00,0.00	100.00	N,N,0=4=0,Bn,S@4.00,0.00	100.00	N,N,0=1=0,Bn,S@1.00,0.00	0.00	N,N,0=0=1,Bn,S@0.00,1.00	-41.18
LINC01806	HsaEX0000987	chr2:161245424-161245467	44	chr2:161244895,161245424-161245467,161246771+161246875	S	90.00	LOW,LOW,17=19=2,OK,S@34.20,3.80	77.78	N,N,6=8=2,OK,S@12.44,3.56	100.00	N,N,3=6=0,OK,S@9.00,0.00	100.00	N,N,8=5=0,OK,S@13.00,0.00	81.82	VLOW,VLOW,6=12=2,OK,S@16.36,3.64	100.00	N,N,3=2=0,OK,S@5.00,0.00	66.67	N,N,3=5=2,OK,S@6.67,3.33	100.00	N,N,0=5=0,Bn,S@5.00,0.00	69.37	OK,OK,55=22=17,B1,S@65.21,28.79	80.65	VLOW,VLOW,14=11=3,OK,S@22.58,5.42	70.37	VLOW,VLOW,14=5=4,B1,S@16.19,6.81	62.26	VLOW,VLOW,27=6=10,B1,S@26.77,16.23	81.82	LOW,LOW,10=17=3,OK,S@24.55,5.45	84.62	N,N,6=5=1,OK,S@10.15,1.85	73.33	N,N,3=8=2,B1,S@9.53,3.47	100.00	N,N,1=4=0,B1,S@5.00,0.00	75.76	VLOW,VLOW,8=17=4,B1,S@21.97,7.03	66.67	N,N,1=3=1,B1,S@3.33,1.67	100.00	N,N,4=3=0,OK,S@7.00,0.00	100.00	N,N,1=1=0,OK,S@2.00,0.00	60.00	N,N,0=3=1,Bn,S@2.40,1.60	63.64	N,N,1=6=2,B2,S@5.73,3.27	100.00	N,N,1=1=0,OK,S@2.00,0.00	66.04	LOW,LOW,18=17=9,OK,S@29.06,14.94	61.54	N,N,9=7=5,OK,S@12.92,8.08	84.62	N,N,5=6=1,OK,S@10.15,1.85	57.14	N,N,4=4=3,OK,S@6.29,4.71	64.95	OK,OK,32=31=17,OK,S@51.96,28.04	75.00	VLOW,VLOW,11=7=3,OK,S@15.75,5.25	39.13	N,N,4=5=7,OK,S@6.26,9.74	66.67	N,N,5=7=3,OK,S@10.00,5.00	71.43	N,N,5=5=2,OK,S@8.57,3.43	100.00	N,N,3=2=0,OK,S@5.00,0.00	69.23	N,N,4=5=2,OK,S@7.62,3.38	-20.63
MCIDAS	HsaEX0054981	chr5:55226576-55226667	92	chr5:55226835,55226576-55226667,55223023	S	65.96	LOW,LOW,15=16=8,OK,S@25.72,13.28	70.00	N,N,6=8=3,OK,S@11.90,5.10	60.00	N,N,3=6=3,OK,S@7.20,4.80	66.67	N,N,6=2=2,B1,S@6.67,3.33	29.41	VLOW,VLOW,5=5=12,OK,S@6.47,15.53	33.33	N,N,2=1=3,OK,S@2.00,4.00	20.00	N,N,2=1=6,OK,S@1.80,7.20	40.00	N,N,1=3=3,B1,S@2.80,4.20	36.67	LOW,LOW,11=11=19,OK,S@15.03,25.97	36.84	N,N,1=6=6,B2,S@4.79,8.21	0.00	N,N,0=0=9,Bn,S@0.00,9.00	65.22	VLOW,VLOW,10=5=4,OK,S@12.39,6.61	0.00	N,N,0=0=3,Bn,S@0.00,3.00	NA	N,N,0=0=0,Bn,S@0,0	0.00	N,N,0=0=3,Bn,S@0.00,3.00	NA	N,N,0=0=0,Bn,S@0,0	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	-29.29
