GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_CNTRL	HeLa_CNTRL-Q	HeLa_CNTRL_A	HeLa_CNTRL_A-Q	HeLa_CNTRL_B	HeLa_CNTRL_B-Q	HeLa_CNTRL_C	HeLa_CNTRL_C-Q	HeLa_SON	HeLa_SON-Q	HeLa_SON_A	HeLa_SON_A-Q	HeLa_SON_B	HeLa_SON_B-Q	HeLa_SON_C	HeLa_SON_C-Q	HeLa_SRRM2	HeLa_SRRM2-Q	HeLa_SRRM2_A	HeLa_SRRM2_A-Q	HeLa_SRRM2_B	HeLa_SRRM2_B-Q	HeLa_SRRM2_C	HeLa_SRRM2_C-Q	HepG2_CNTRL	HepG2_CNTRL-Q	HepG2_CNTRL_A	HepG2_CNTRL_A-Q	HepG2_CNTRL_B	HepG2_CNTRL_B-Q	HepG2_CNTRL_C	HepG2_CNTRL_C-Q	HepG2_MARS	HepG2_MARS-Q	HepG2_MARS_Aa	HepG2_MARS_Aa-Q	HepG2_MARS_Ab	HepG2_MARS_Ab-Q	HepG2_MARS_Ba	HepG2_MARS_Ba-Q	HepG2_MARS_Bb	HepG2_MARS_Bb-Q	HepG2_MARS_Ca	HepG2_MARS_Ca-Q	HepG2_MARS_Cb	HepG2_MARS_Cb-Q	HepG2_RARS	HepG2_RARS-Q	HepG2_RARS_A	HepG2_RARS_A-Q	HepG2_RARS_B	HepG2_RARS_B-Q	HepG2_RARS_C	HepG2_RARS_C-Q	HepG2_SRRM2	HepG2_SRRM2-Q	HepG2_SRRM2_Aa	HepG2_SRRM2_Aa-Q	HepG2_SRRM2_Ab	HepG2_SRRM2_Ab-Q	HepG2_SRRM2_Ba	HepG2_SRRM2_Ba-Q	HepG2_SRRM2_Bb	HepG2_SRRM2_Bb-Q	HepG2_SRRM2_Ca	HepG2_SRRM2_Ca-Q	HepG2_SRRM2_Cb	HepG2_SRRM2_Cb-Q	dPSI
LSM12	HsaEX1022392	chr17:44038089-44038184	96	chr17:44040147,44038046+44038089-44038184,44036300	C3	24.74	OK,OK,7=18=38,B1,C3@15.59,47.41	18.89	LOW,LOW,2=5=15,B1,C3@4.16,17.84	25.71	VLOW,VLOW,2=7=13,B1,C2@5.66,16.34	31.03	VLOW,VLOW,3=6=10,OK,C3@5.90,13.10	19.05	OK,OK,6=10=34,OK,C2@9.53,40.48	25.00	VLOW,VLOW,2=6=12,B1,C3@5.00,15.00	6.25	LOW,LOW,1=1=15,OK,C3@1.06,15.94	30.00	N,N,3=3=7,OK,C2@3.90,9.10	34.38	OK,OK,8=14=21,OK,C3@14.78,28.22	53.85	N,N,3=4=3,OK,C2@5.38,4.62	20.00	VLOW,VLOW,3=3=12,OK,C3@3.60,14.40	42.86	N,N,2=7=6,B1,C3@6.43,8.57	17.01	OK,OK,16=9=61,OK,C2@14.63,71.37	13.64	LOW,LOW,4=2=19,OK,C2@3.41,21.59	29.41	VLOW,VLOW,7=3=12,B1,C2@6.47,15.53	13.04	OK,OK,5=4=30,OK,C3@5.09,33.91	44.68	VLOW,VLOW,9=12=13,OK,C3@15.19,18.81	14.29	N,N,0=1=3,Bn,C3@0.57,3.43	71.43	N,N,2=3=1,OK,C3@4.29,1.71	50.00	N,N,3=1=2,B1,C2@3.00,3.00	100.00	N,N,2=0=0,Bn,S@2.00,0.00	33.33	N,N,0=4=4,Bn,C3@2.67,5.33	45.45	N,N,2=3=3,OK,C3@3.64,4.36	13.23	SOK,SOK,11=14=82,OK,C3@14.16,92.84	6.25	OK,OK,2=2=30,OK,C3@2.12,31.88	13.89	OK,OK,4=6=31,OK,C3@5.69,35.31	20.75	OK,OK,5=6=21,OK,C3@6.64,25.36	36.11	OK,OK,12=14=23,OK,C3@17.69,31.31	28.57	N,N,2=2=5,OK,C2@2.57,6.43	60.00	N,N,3=3=2,OK,C3@4.80,3.20	28.57	N,N,1=3=5,B1,C3@2.57,6.43	45.45	N,N,4=1=3,B1,C2@3.64,4.36	25.00	N,N,2=2=6,OK,C3@2.50,7.50	42.86	N,N,0=3=2,Bn,C3@2.14,2.86	19.10
LSM12	HsaEX0036840	chr17:44036862-44037102	241	chr17:44037412+44037424,44036862-44037102,44036300	C1	38.07	OK,OK,9=36=42,B1,C2@33.12,53.88	30.57	VLOW,VLOW,2=8=13,B1,C2@7.03,15.97	36.57	LOW,LOW,3=13=16,B2,C2@11.70,20.30	45.55	VLOW,VLOW,4=15=13,B1,C1@14.58,17.42	27.34	OK,OK,8=27=53,B1,C2@24.06,63.94	20.90	OK,OK,1=9=22,B2,C2@6.69,25.31	31.67	LOW,LOW,3=10=16,B1,C2@9.18,19.82	30.92	LOW,LOW,4=8=15,B1,C1@8.35,18.65	35.95	OK,OK,3=25=29,B2,C1@20.49,36.51	32.13	VLOW,VLOW,1=8=11,B2,C1@6.43,13.57	42.13	N,N,0=11=9,Bl,C2@8.43,11.57	33.48	N,N,2=6=9,B1,C1@5.69,11.31	47.14	SOK,SOK,41=59=62,OK,C1@76.37,85.63	36.07	OK,OK,7=16=23,B1,C2@16.59,29.41	54.25	OK,OK,17=20=17,OK,C1@29.29,24.71	50.15	OK,OK,17=23=22,OK,C1@31.09,30.91	59.61	SOK,SOK,35=46=30,OK,C1@66.17,44.83	57.60	N,N,5=5=4,OK,C1@8.06,5.94	88.50	N,VLOW,5=9=1,B1,S@13.28,1.72	45.50	N,N,2=4=4,B1,C1@4.55,5.45	77.34	N,N,1=5=1,B2,S@5.41,1.59	57.14	VLOW,VLOW,10=12=9,OK,C1@17.71,13.29	52.85	VLOW,VLOW,12=11=11,OK,S@17.97,16.03	42.22	SOK,SOK,45=40=63,OK,C2@62.49,85.51	36.06	OK,OK,18=6=22,B1,C1@16.59,29.41	48.98	OK,OK,17=18=20,OK,C2@26.94,28.06	40.77	OK,OK,10=16=21,OK,C2@19.16,27.84	70.78	SOK,SOK,64=57=27,OK,C1@104.75,43.25	55.99	VLOW,VLOW,10=11=9,OK,C1@16.80,13.20	91.01	VLOW,VLOW,10=9=1,OK,S@18.20,1.80	50.18	N,N,5=6=6,OK,C1@8.53,8.47	75.22	VLOW,LOW,14=14=5,OK,C1@24.82,8.18	68.56	VLOW,VLOW,10=10=5,OK,C1@17.14,7.86	92.14	VLOW,VLOW,15=7=1,OK,S@21.19,1.81	23.64
DBF4B	HsaEX0018562	chr17:44732178-44732265	88	chr17:44731015,44732178-44732265+44732349+44732406,44734090	S	40.89	SOK,SOK,70=120=137,OK,S@133.71,193.29	39.59	SOK,SOK,26=45=54,OK,S@49.49,75.51	38.27	SOK,SOK,24=38=50,OK,S@42.86,69.14	46.21	OK,OK,20=37=33,OK,S@41.59,48.41	40.83	SOK,SOK,52=98=108,OK,S@105.34,152.66	47.66	OK,OK,16=35=28,B1,S@37.65,41.35	40.81	OK,OK,24=33=41,OK,S@39.99,58.01	34.80	OK,OK,12=30=39,B1,S@28.19,52.81	46.84	SOK,SOK,60=130=107,B1,S@139.11,157.89	48.87	OK,OK,22=43=34,OK,S@48.38,50.62	46.63	OK,OK,17=43=34,B1,S@43.83,50.17	45.14	SOK,SOK,21=44=39,B1,S@46.95,57.05	33.29	SOK,SOK,35=46=81,OK,S@53.93,108.07	36.84	LOW,LOW,11=10=18,OK,S@14.37,24.63	28.93	OK,OK,11=16=33,OK,S@17.36,42.64	35.48	OK,OK,13=20=30,OK,S@22.35,40.65	48.02	SOK,SOK,28=65=50,B1,S@68.67,74.33	86.67	N,N,3=10=1,B1,S@12.13,1.87	73.33	N,N,3=8=2,B1,S@9.53,3.47	45.56	N,N,3=9=7,B1,C1@8.66,10.34	71.43	N,N,4=6=2,OK,S@8.57,3.43	37.14	OK,OK,9=17=22,OK,S@17.83,30.17	39.37	LOW,LOW,6=15=16,B1,S@14.57,22.43	27.80	SOK,SOK,27=30=73,OK,C1@36.14,93.86	18.43	OK,OK,12=6=39,OK,C1@10.51,46.49	28.87	OK,OK,10=8=22,OK,S@11.55,28.45	46.67	VLOW,VLOW,5=16=12,B1,S@15.40,17.60	59.69	SOK,SOK,37=55=31,OK,S@73.42,49.58	49.99	VLOW,VLOW,11=11=11,OK,C1@16.50,16.50	66.67	N,N,2=14=4,B2,S@13.33,6.67	66.67	N,N,7=5=3,OK,S@10.00,5.00	58.33	N,N,6=8=5,OK,S@11.08,7.92	70.00	N,N,7=7=3,OK,S@11.90,5.10	58.33	N,N,4=10=5,B1,S@11.08,7.92	26.40
NEXN	HsaEX0042625	chr1:77926414-77926611	198	chr1:77918273,77926414-77926611,77929316	C3	85.21	SOK,SOK,2787=1118=339,B1,C3@3616.31,627.69	84.60	SOK,SOK,971=413=126,B1,C3@1277.46,232.54	86.54	SOK,SOK,845=312=90,B1,C3@1079.15,167.85	84.72	SOK,SOK,971=393=123,B1,C3@1259.79,227.21	88.72	SOK,SOK,2888=1187=259,B1,C3@3845.12,488.88	89.25	SOK,SOK,1026=435=88,B1,C3@1382.48,166.52	88.71	SOK,SOK,886=371=80,B1,C3@1186.05,150.95	88.17	SOK,SOK,976=381=91,B1,C3@1276.70,171.30	86.50	SOK,SOK,2622=1056=287,B1,C3@3429.72,535.28	86.66	SOK,SOK,844=325=90,B1,C3@1091.05,167.95	86.18	SOK,SOK,681=279=77,B1,C3@893.69,143.31	86.58	SOK,SOK,1097=452=120,B1,C3@1445.02,223.98	83.53	OK,OK,28=43=7,OK,C3@65.15,12.85	86.21	VLOW,VLOW,12=13=2,OK,C3@23.28,3.72	77.78	LOW,LOW,11=17=4,OK,C3@24.89,7.11	90.00	VLOW,VLOW,5=13=1,B1,C3@17.10,1.90	85.71	LOW,LOW,12=24=3,OK,C3@33.43,5.57	60.00	N,N,2=4=2,OK,C3@4.80,3.20	100.00	N,N,1=4=0,B1,C3@5.00,0.00	100.00	N,N,1=1=0,OK,C3@2.00,0.00	100.00	N,N,2=4=0,OK,C3@6.00,0.00	83.33	N,N,6=4=1,OK,C3@9.17,1.83	100.00	N,N,0=7=0,Bn,C3@7.00,0.00	94.74	LOW,LOW,18=18=1,OK,C3@35.05,1.95	89.47	N,N,9=8=1,OK,C3@16.10,1.90	100.00	N,N,6=9=0,OK,C3@15.00,0.00	100.00	N,N,3=1=0,B1,C2@4.00,0.00	68.18	LOW,LOW,12=18=7,OK,C3@25.23,11.77	60.00	N,N,3=3=2,OK,C3@4.80,3.20	57.14	N,N,3=5=3,OK,C3@6.29,4.71	100.00	N,N,1=3=0,B1,C3@4.00,0.00	100.00	N,N,3=3=0,OK,C3@6.00,0.00	66.67	N,N,1=3=1,B1,C3@3.33,1.67	50.00	N,N,1=1=1,OK,C3@1.50,1.50	-15.35
CLHC1	HsaEX0010748	chr2:55180510-55180564	55	chr2:55181570,55180510-55180564+55180712,55177781	C1	100.00	VLOW,VLOW,19=7=0,B1,C2@26.00,0.00	100.00	N,N,5=2=0,B1,C2@7.00,0.00	100.00	N,N,6=4=0,OK,S@10.00,0.00	100.00	N,N,8=1=0,B2,C2@9.00,0.00	100.00	VLOW,VLOW,34=7=0,B2,C2@41.00,0.00	100.00	N,N,11=3=0,B1,C1@14.00,0.00	100.00	N,N,9=2=0,B1,S@11.00,0.00	100.00	N,N,14=2=0,B2,C2@16.00,0.00	100.00	N,N,27=3=0,B2,C1@30.00,0.00	100.00	N,N,8=0=0,Bn,C2@8.00,0.00	100.00	N,N,7=2=0,B1,S@9.00,0.00	100.00	N,N,12=1=0,B2,S@13.00,0.00	76.74	OK,OK,29=51=11,OK,C1@69.83,21.17	61.98	N,N,3=15=5,B1,C1@14.26,8.74	94.27	OK,OK,17=20=1,OK,C1@35.82,2.18	69.48	VLOW,VLOW,9=16=5,OK,C1@20.84,9.16	67.10	OK,OK,26=46=17,OK,C1@59.72,29.28	30.00	N,N,2=4=7,OK,C1@3.90,9.10	83.33	N,N,0=10=1,Bl,S@9.17,1.83	67.87	N,N,4=5=2,OK,C1@7.47,3.53	73.80	N,N,3=9=2,B1,C1@10.33,3.67	59.75	N,N,7=9=5,OK,C1@12.55,8.45	100.00	VLOW,VLOW,10=9=0,OK,S@19.00,0.00	75.00	OK,OK,33=51=13,OK,C1@72.75,24.25	50.51	N,N,4=7=5,OK,C2@8.08,7.92	74.66	LOW,LOW,14=17=5,OK,C1@26.88,9.12	86.17	OK,OK,15=27=3,OK,C1@38.78,6.22	60.84	LOW,LOW,14=35=15,B1,C1@38.94,25.06	52.68	N,N,5=7=5,OK,C1@8.96,8.04	80.00	N,N,4=4=1,OK,S@7.20,1.80	77.78	N,N,1=6=1,B2,S@6.22,1.78	44.80	N,N,3=2=3,OK,C2@3.58,4.42	39.95	N,N,1=6=5,B2,C1@4.79,7.21	100.00	N,N,0=10=0,Bl,S@10.00,0.00	-15.90
CLHC1	HsaEX0010742	chr2:55212673-55212806	134	chr2:55217811,55212673-55212806,55209831	C1	97.64	OK,OK,54=28=1,OK,S@81.04,1.96	100.00	LOW,LOW,21=12=0,OK,S@33.00,0.00	92.36	VLOW,VLOW,18=6=1,B1,C1@23.09,1.91	100.00	LOW,LOW,15=10=0,OK,S@25.00,0.00	93.73	OK,OK,31=28=2,OK,C1@57.18,3.82	91.03	VLOW,VLOW,10=10=1,OK,C1@19.12,1.88	92.07	VLOW,VLOW,16=7=1,B1,C1@22.10,1.90	100.00	VLOW,VLOW,5=11=0,B1,S@16.00,0.00	100.00	LOW,LOW,33=14=0,B1,C1@47.00,0.00	100.00	N,N,7=2=0,B1,C1@9.00,0.00	100.00	VLOW,VLOW,12=5=0,B1,S@17.00,0.00	100.00	VLOW,VLOW,14=7=0,OK,C1@21.00,0.00	78.36	OK,OK,19=31=7,OK,C1@44.67,12.33	65.30	N,N,1=10=3,B2,C2@9.14,4.86	83.33	VLOW,VLOW,10=10=2,OK,C2@18.33,3.67	82.85	VLOW,VLOW,8=11=2,OK,C1@17.40,3.60	82.13	VLOW,VLOW,8=19=3,B1,C2@24.64,5.36	50.37	N,N,2=2=2,OK,S@3.02,2.98	100.00	N,N,1=1=0,OK,S@2.00,0.00	100.00	N,N,0=6=0,Bn,C3@6.00,0.00	100.00	N,N,0=2=0,Bn,S@2.00,0.00	100.00	N,N,2=2=0,OK,S@4.00,0.00	82.11	N,N,3=6=1,B1,C2@8.21,1.79	60.72	LOW,LOW,11=28=12,B1,C1@30.97,20.03	25.37	N,N,0=6=9,Bn,C2@3.81,11.19	74.82	N,N,5=9=2,OK,C1@11.97,4.03	87.39	VLOW,VLOW,6=13=1,B1,C1@17.48,2.52	94.24	VLOW,VLOW,9=23=1,B1,C1@31.10,1.90	100.00	N,N,4=6=0,OK,C2@10.00,0.00	71.79	N,N,2=3=1,OK,C1@4.31,1.69	100.00	N,N,1=2=0,B1,S@3.00,0.00	100.00	N,N,2=2=0,OK,C2@4.00,0.00	100.00	N,N,0=4=0,Bn,S@4.00,0.00	100.00	N,N,0=6=0,Bn,S@6.00,0.00	15.88
PACRGL	HsaEX0045171	chr4:20707803-20707870	68	chr4:20704814,20707803-20707870,20713432	C2	44.83	N,N,4=9=8,B1,C3@9.41,11.59	53.85	N,N,4=3=3,OK,C2@5.38,4.62	33.33	N,N,0=3=3,Bn,C3@2.00,4.00	42.86	N,N,0=3=2,Bn,C3@2.14,2.86	62.57	VLOW,VLOW,8=12=6,OK,C3@16.27,9.73	42.86	N,N,2=4=4,OK,C3@4.29,5.71	100.00	N,N,4=6=0,OK,C2@10.00,0.00	50.00	N,N,2=2=2,OK,C3@3.00,3.00	28.57	VLOW,VLOW,6=2=10,B1,C3@5.14,12.86	33.33	N,N,2=1=3,OK,C3@2.00,4.00	20.00	N,N,1=1=4,OK,C2@1.20,4.80	33.33	N,N,3=0=3,Bn,C2@2.00,4.00	58.78	SOK,SOK,103=88=67,OK,C3@151.65,106.35	49.45	OK,OK,20=25=23,OK,C3@33.63,34.37	64.36	OK,OK,36=29=18,OK,C3@53.42,29.58	60.92	SOK,SOK,47=34=26,OK,C2@65.18,41.82	62.33	SOK,SOK,68=51=36,OK,C2@96.61,58.39	52.63	VLOW,VLOW,8=12=9,OK,C3@15.26,13.74	50.08	VLOW,VLOW,10=8=9,OK,C2@13.52,13.48	55.56	N,N,6=4=4,OK,C2@7.78,6.22	54.55	N,N,8=4=5,OK,C2@9.27,7.73	76.51	VLOW,VLOW,14=12=4,OK,C2@22.95,7.05	76.74	LOW,LOW,22=11=5,OK,C2@29.16,8.84	70.94	SOK,SOK,133=106=49,OK,C2@204.31,83.69	72.46	SOK,SOK,50=34=16,OK,C2@72.46,27.54	72.82	OK,OK,36=39=14,OK,C3@64.81,24.19	67.80	OK,OK,47=33=19,OK,C2@67.12,31.88	77.89	SOK,SOK,83=65=21,OK,C2@131.63,37.37	68.89	LOW,LOW,17=14=7,OK,C2@26.18,11.82	77.78	LOW,LOW,23=12=5,OK,C2@31.11,8.89	87.50	N,N,12=2=1,B2,C1@13.12,1.88	100.00	N,N,5=5=0,OK,C2@10.00,0.00	77.78	VLOW,VLOW,9=19=4,B1,C3@24.89,7.11	78.95	LOW,LOW,17=13=4,OK,C2@26.84,7.16	19.11
PACRGL	HsaEX0045172	chr4:20709683-20709773	91	chr4:20704814,20709377+20709683-20709773,20712788	C3	50.00	N,N,9=7=8,OK,C3@12.00,12.00	50.00	N,N,3=3=3,OK,C2@4.50,4.50	50.00	N,N,3=3=3,OK,C3@4.50,4.50	50.00	N,N,3=1=2,B1,C3@3.00,3.00	56.90	N,N,12=4=6,B1,C3@12.52,9.48	42.86	N,N,4=2=4,OK,C3@4.29,5.71	49.26	N,N,4=0=2,Bn,C3@2.96,3.04	100.00	N,N,4=2=0,OK,C2@6.00,0.00	25.93	VLOW,VLOW,2=5=10,B1,C2@4.41,12.59	25.00	N,N,1=1=3,OK,C1@1.25,3.75	27.27	N,N,1=2=4,OK,C3@1.91,5.09	25.00	N,N,0=2=3,Bn,C1@1.25,3.75	43.33	SOK,SOK,72=55=83,OK,C3@90.99,119.01	29.79	OK,OK,15=13=33,OK,C3@18.17,42.83	60.87	OK,OK,29=27=18,OK,C2@45.04,28.96	40.14	OK,OK,28=15=32,OK,C3@30.10,44.90	51.89	SOK,SOK,44=49=43,OK,C3@70.57,65.43	43.59	VLOW,VLOW,10=7=11,OK,C3@12.21,15.79	41.97	VLOW,VLOW,6=10=11,OK,C2@11.33,15.67	33.33	N,N,3=2=5,OK,C3@3.33,6.67	50.00	N,N,5=3=4,OK,C3@6.00,6.00	72.74	LOW,LOW,11=16=5,OK,C2@23.28,8.72	58.82	VLOW,VLOW,9=11=7,OK,C3@15.88,11.12	52.57	SOK,SOK,83=77=72,OK,C3@121.96,110.04	48.75	OK,OK,26=20=24,OK,C3@34.12,35.88	52.58	OK,OK,30=21=23,OK,C3@38.91,35.09	55.75	OK,OK,27=36=25,OK,C3@49.06,38.94	67.44	SOK,SOK,58=58=28,OK,C3@97.11,46.89	54.29	VLOW,VLOW,13=6=8,B1,C3@14.66,12.34	63.16	VLOW,VLOW,10=14=7,OK,C2@19.58,11.42	100.00	N,N,3=13=0,B1,C1@16.00,0.00	80.00	N,N,4=4=1,OK,C3@7.20,1.80	73.68	LOW,LOW,18=10=5,OK,C3@24.31,8.69	60.00	VLOW,VLOW,10=11=7,OK,C3@16.80,11.20	24.11
PACRGL	HsaEX0045173	chr4:20712788-20712922	135	chr4:20704814,20712788-20712922,20713432	C2	70.00	VLOW,VLOW,9=19=6,B1,C2@23.80,10.20	87.50	N,N,5=9=1,OK,C1@13.12,1.88	57.14	N,N,3=5=3,OK,C2@6.29,4.71	60.00	N,N,1=5=2,B1,C2@4.80,3.20	79.68	VLOW,VLOW,7=17=3,B1,C2@21.51,5.49	75.00	N,N,4=8=2,OK,C1@10.50,3.50	70.22	N,N,1=4=1,B1,C2@4.21,1.79	100.00	N,N,2=5=0,B1,C2@7.00,0.00	78.38	LOW,LOW,11=18=4,OK,C2@25.87,7.13	100.00	N,N,4=3=0,OK,C1@7.00,0.00	53.85	N,N,3=4=3,OK,C2@5.38,4.62	88.24	N,N,4=11=1,B1,C1@14.12,1.88	73.16	SOK,SOK,101=101=37,OK,C2@174.85,64.15	74.68	OK,OK,36=23=10,OK,C2@51.53,17.47	85.71	OK,OK,38=46=7,OK,C2@78.00,13.00	59.52	OK,OK,27=32=20,OK,C2@47.02,31.98	77.14	SOK,SOK,69=87=23,OK,C2@138.08,40.92	76.19	LOW,LOW,13=19=5,OK,C2@28.19,8.81	69.02	LOW,LOW,15=12=6,OK,C2@22.78,10.22	68.42	N,N,4=9=3,B1,C2@10.95,5.05	72.73	N,N,4=12=3,B1,C2@13.82,5.18	84.75	LOW,LOW,18=16=3,OK,C2@31.36,5.64	85.00	LOW,LOW,15=19=3,OK,C2@31.45,5.55	77.44	SOK,SOK,118=96=31,OK,C2@189.73,55.27	73.34	OK,OK,32=35=12,OK,C2@57.94,21.06	84.81	OK,OK,38=29=6,OK,C2@61.91,11.09	75.47	OK,OK,48=32=13,OK,C3@70.19,22.81	88.83	SOK,SOK,76=83=10,OK,C2@150.12,18.88	74.19	VLOW,VLOW,10=13=4,OK,C2@20.03,6.97	89.47	LOW,LOW,19=15=2,OK,C2@32.21,3.79	100.00	VLOW,VLOW,13=14=0,OK,C2@27.00,0.00	100.00	VLOW,VLOW,5=11=0,B1,C2@16.00,0.00	93.55	LOW,LOW,14=15=1,OK,C2@28.07,1.94	83.33	LOW,LOW,15=15=3,OK,C2@27.50,5.50	15.67
RNF149	HsaEX0053923	chr2:101274592-101274738	147	chr2:101281859,101274592-101274738,101273341	C2	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,NA@0,0	NA	N,N,0=0=0,Bn,NA@0,0	0.00	N,N,0=0=1,Bn,S@0.00,1.00	0.00	N,N,0=0=1,Bn,C3@0.00,1.00	NA	N,N,0=0=0,Bn,NA@0,0	NA	N,N,0=0=0,Bn,NA@0,0	0.00	N,N,0=0=1,Bn,C3@0.00,1.00	60.00	N,N,2=1=1,OK,S@2.40,1.60	100.00	N,N,1=0=0,Bn,S@1.00,0.00	33.33	N,N,0=1=1,Bn,S@0.67,1.33	100.00	N,N,1=0=0,Bn,S@1.00,0.00	35.48	OK,OK,15=7=20,B1,C1@14.90,27.10	47.37	N,N,5=4=5,OK,C1@6.63,7.37	33.33	N,N,5=2=7,B1,S@4.67,9.33	27.27	N,N,5=1=8,B1,C2@3.82,10.18	26.53	LOW,LOW,11=2=18,B2,C2@8.22,22.78	20.00	N,N,1=0=2,Bn,S@0.60,2.40	11.11	N,N,1=0=4,Bn,S@0.56,4.44	10.00	N,N,1=1=9,OK,C2@1.10,9.90	100.00	N,N,1=1=0,OK,S@2.00,0.00	50.00	N,N,2=0=1,Bn,C2@1.50,1.50	55.56	N,N,5=0=2,Bn,C1@3.89,3.11	24.59	OK,OK,12=3=23,B1,C2@9.34,28.66	28.00	N,N,6=1=9,B2,C2@4.48,11.52	26.32	N,N,3=2=7,OK,C2@3.16,8.84	17.65	N,N,3=0=7,Bn,C3@1.76,8.23	18.52	VLOW,VLOW,5=0=11,Bn,C2@2.96,13.04	20.00	N,N,1=0=2,Bn,C2@0.60,2.40	0.00	N,N,0=0=1,Bn,S@0.00,1.00	100.00	N,N,3=0=0,Bn,S@3.00,0.00	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,NA@0,0	6.67	N,N,1=0=7,Bn,C2@0.53,7.47	-16.96
CCNYL1	HsaEX1007633	chr2:207714342-207714510	169	chr2:207712116+207712547,207714342-207714510+207714641,207724800+207724806	C1	36.36	N,N,0=8=6,Bn,C2@5.09,8.91	100.00	N,N,0=3=0,Bn,S@3.00,0.00	30.00	N,N,0=3=3,Bn,C2@1.80,4.20	22.22	N,N,0=2=3,Bn,C2@1.11,3.89	39.13	N,N,0=9=6,Bn,C2@5.87,9.13	60.00	N,N,0=3=1,Bn,C2@2.40,1.60	50.00	N,N,0=5=2,Bn,C2@3.50,3.50	12.50	N,N,0=1=3,Bn,C3@0.50,3.50	50.00	N,N,1=8=4,B2,C2@6.50,6.50	44.44	N,N,0=2=1,Bn,C2@1.33,1.67	60.00	N,N,0=3=1,Bn,C2@2.40,1.60	47.06	N,N,1=3=2,B1,C2@2.82,3.18	50.00	VLOW,VLOW,10=10=9,OK,C2@14.50,14.50	46.15	N,N,6=0=3,Bn,C2@4.15,4.85	85.71	N,N,2=10=1,B1,S@11.14,1.86	15.38	N,N,2=0=5,Bn,C3@1.08,5.92	91.50	N,N,28=0=1,B3,S@26.54,2.46	60.61	N,N,4=0=1,Bn,C2@3.03,1.97	100.00	N,N,5=0=0,Bn,S@5.00,0.00	100.00	N,N,2=0=0,Bn,S@2.00,0.00	100.00	N,N,2=0=0,Bn,S@2.00,0.00	100.00	N,N,9=0=0,Bn,S@9.00,0.00	100.00	N,N,6=0=0,Bn,S@6.00,0.00	70.55	VLOW,VLOW,15=8=4,OK,C1@19.05,7.95	76.19	N,N,6=2=1,B1,C1@6.86,2.14	100.00	N,N,6=0=0,Bn,S@6.00,0.00	55.90	N,N,3=6=3,OK,C2@6.71,5.29	80.37	LOW,LOW,31=12=5,B1,C1@38.58,9.42	50.00	N,N,3=3=3,OK,C2@4.50,4.50	84.62	N,N,7=4=1,OK,C1@10.15,1.85	100.00	N,N,4=2=0,OK,S@6.00,0.00	100.00	N,N,3=0=0,Bn,S@3.00,0.00	80.00	N,N,9=1=1,B2,C1@8.80,2.20	100.00	N,N,5=2=0,B1,S@7.00,0.00	30.37
ICA1L	HsaEX0030835	chr2:202821358-202821472	115	chr2:202825695,202821348+202821358-202821472+202821481,202819899	S	66.67	N,N,3=1=1,B1,C1@3.33,1.67	50.00	N,N,1=1=1,OK,S@1.50,1.50	100.00	N,N,2=0=0,Bn,C2@2.00,0.00	NA	N,N,0=0=0,Bn,NA@0,0	33.33	N,N,1=1=2,OK,C2@1.33,2.67	20.00	N,N,1=0=2,Bn,C2@0.60,2.40	NA	N,N,0=0=0,Bn,NA@0,0	100.00	N,N,0=1=0,Bn,S@1.00,0.00	100.00	N,N,1=1=0,OK,S@2.00,0.00	100.00	N,N,0=1=0,Bn,S@1.00,0.00	NA	N,N,0=0=0,Bn,NA@0,0	100.00	N,N,1=0=0,Bn,S@1.00,0.00	79.17	OK,OK,18=20=5,OK,S@34.04,8.96	66.67	N,N,4=8=3,OK,C1@10.00,5.00	71.43	N,N,5=5=2,OK,C1@8.57,3.43	100.00	N,N,9=7=0,OK,S@16.00,0.00	92.02	VLOW,VLOW,9=14=1,OK,S@22.08,1.92	100.00	N,N,0=3=0,Bn,S@3.00,0.00	100.00	N,N,2=1=0,OK,S@3.00,0.00	100.00	N,N,1=2=0,OK,S@3.00,0.00	100.00	N,N,1=2=0,B1,S@3.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	71.43	N,N,2=3=1,OK,C1@4.29,1.71	87.25	OK,OK,18=23=3,OK,C1@38.39,5.61	87.55	N,N,9=5=1,OK,C1@13.13,1.87	85.71	N,N,2=10=1,B1,S@11.14,1.86	88.24	N,N,7=8=1,OK,C1@14.12,1.88	100.00	OK,OK,22=22=0,OK,S@44.00,0.00	100.00	N,N,6=6=0,OK,S@12.00,0.00	100.00	N,N,6=1=0,B2,S@7.00,0.00	100.00	N,N,4=3=0,OK,S@7.00,0.00	100.00	N,N,3=0=0,Bn,S@3.00,0.00	100.00	N,N,0=9=0,Bn,S@9.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	20.83
