GENE	EVENT	dPSI	MVdPSIat95
KIAA0895L	HsaALTD0003444-1/3	0.114295	0.21
CUL4A	HsaALTD1023262-3/3	0.105768	0.2
PTPDC1	HsaALTA1038020-1/2	0.103502	0.15
ELMOD3	HsaALTD0002200-1/4	0.099333	0.18
HECTD2	HsaALTA1042067-1/2	0.098631	0.18
NR2F1-AS1	HsaALTA1059152-1/2	0.094763	0.15
LCORL	HsaEX1019505	0.086401	0.15
GPSM1	HsaALTA0003783-3/3	0.076831	0.15
LSM12	HsaALTD1030559-3/3	0.063675	0.16
ZNF518A	HsaEX0073842	0.047747	0.18
SPATA7	HsaEX6072434	-0.053393	0.17
NOP14-AS1	HsaALTA1060192-3/3	-0.057168	0.15
CALM1	HsaALTD1050556-1/3	-0.075547	0.17
C19orf54	HsaALTD0000877-3/3	-0.082217	0.18
TMEM128	HsaINT0168356	-0.085801	0.17
CEP250	HsaALTD0001377-2/2	-0.092280	0.21
PNRC1	HsaALTA1033627-1/2	-0.106273	0.2
CHD9	HsaALTD1037727-3/3	-0.118810	0.16
RFX3	HsaEX6060520	-0.119100	0.17
PGAP3	HsaEX0046794	-0.121742	0.17
TCF4	HsaALTD0006433-1/3	-0.148604	0.23
BNC2	HsaALTA0000958-1/2	-0.155710	0.15
RP11-77H9.2	HsaINT1038139	-0.156460	0.23
PPP2R1B	HsaEX0049651	-0.157199	0.15
NOD1	HsaINT0114361	-0.162102	0.15
SAMD8	HsaALTD0005654-2/2	-0.164689	0.23
FAM149A	HsaEX6087190	-0.166133	0.25
SLC2A11	HsaEX0059276	-0.168031	0.24
RP11-334C17.5	HsaEX1033044	-0.172602	0.19
RAD52	HsaINT0136676	-0.173760	0.25
PLA2G4B	HsaINT1027190	-0.174246	0.17
RP11-108M9.4	HsaALTD1046533-2/3	-0.175914	0.22
PLEKHN1	HsaINT0127539	-0.180999	0.16
ATAD3A	HsaALTA1054316-2/2	-0.189594	0.17
CAPZA1	HsaALTA1018794-3/3	-0.192780	0.25
RP11-44N21.1	HsaINT1034985	-0.202793	0.28
KCNMB2-AS1	HsaINT1017197	-0.203669	0.21
ZNF343	HsaINT0186975	-0.207650	0.16
TMEM161B-AS1	HsaEX0017703	-0.208066	0.27
ST7L	HsaEX0062067	-0.209015	0.22
TIMM23B	HsaALTD1043472-3/4	-0.214663	0.22
ACCS	HsaINT0002403	-0.215972	0.22
RP11-242D8.1	HsaEX7009386	-0.217598	0.21
TEX9	HsaEX0064581	-0.223473	0.15
OSGEPL1-AS1	HsaINT1025720	-0.232110	0.22
ANXA8L1	HsaEX1004023	-0.233360	0.18
WDSUB1	HsaEX0071444	-0.237251	0.19
CORO6	HsaINT0040307	-0.241857	0.17
PANK2	HsaEX0045367	-0.241873	0.32
C19orf54	HsaALTD0000877-2/3	-0.242340	0.33
CLCN6	HsaINT0035981	-0.246596	0.32
ADAT2	HsaALTD1041188-1/2	-0.250221	0.17
RP11-400N13.2	HsaALTA1064390-1/3	-0.252941	0.27
NCOA7	HsaEX0042095	-0.257575	0.26
RPS6KL1	HsaEX0055666	-0.265341	0.22
FSD1L	HsaEX0026494	-0.268864	0.21
POLG	HsaALTA0006506-1/2	-0.272219	0.26
MRPS16	HsaALTD1038960-4/4	-0.274101	0.27
KNOP1	HsaALTD1009263-5/6	-0.276561	0.27
CXorf23	HsaALTA1046919-2/2	-0.279038	0.19
NIT2	HsaALTD0004316-2/5	-0.280671	0.22
RECQL4	HsaALTA1039223-1/2	-0.285346	0.23
FBXO43	HsaALTD1051196-2/2	-0.293421	0.19
PDP2	HsaINT0122610	-0.299277	0.21
ZDHHC23	HsaEX0072523	-0.330846	0.17
RPL18A	HsaALTA1013474-1/3	-0.334862	0.26
RASSF8-AS1	HsaALTA1059899-2/2	-0.338137	0.25
RABGAP1L	HsaEX1046648	-0.366576	0.21
SLC35B3	HsaINT1042005	-0.375545	0.36
CFAP44	HsaEX0071189	-0.411618	0.49
CTD-2366F13.1	HsaINT0093652	-0.503460	0.21
ZNF573	HsaEX0073976	-0.504163	0.49
TMEM80	HsaINT0169410	-0.611011	0.32
