GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	comparison
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_FRT_B	100	N	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_FRT_C	69.23	VLOW	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_NLSTAF2dIDR	64	OK	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_NLSTAF2dIDR_A	60	N	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_NLSTAF2dIDR_B	71.43	VLOW	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_NLSTAF2dIDR_C	62.96	VLOW	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_TAF2	84.13	LOW	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_TAF2_A	76.92	N	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_TAF2_B	86.67	N	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_TAF2_C	90.91	VLOW	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_FRT	75	VLOW	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_FRT_A	14.29	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_FRT_B	100	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_FRT_C	100	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_NLSTAF2dIDR	75.61	LOW	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_NLSTAF2dIDR_A	100	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_NLSTAF2dIDR_B	66.67	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_NLSTAF2dIDR_C	69.23	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_TAF2	65.22	VLOW	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_TAF2_A	55.56	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_TAF2_B	63.64	N	S1	TAF2dIDR
ALDH3A1	HsaEX0003625	chr17:19738996-19739095	100	chr17:19739508,19738996-19739095,19738453	S	HeLa_TAF2_C	100	N	S1	TAF2dIDR
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_FRT	61.54	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_FRT_A	69.23	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_FRT_B	33.33	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_FRT_C	71.43	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_NLSTAF2dIDR	46.88	LOW	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_NLSTAF2dIDR_A	35.48	VLOW	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_NLSTAF2dIDR_B	64.71	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_NLSTAF2dIDR_C	50	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_TAF2	50	VLOW	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_TAF2_A	50	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_TAF2_B	45.45	N	S1	BOTH
SLC2A11	HsaEX0059276	chr22:23857421-23857531	111	chr22:23856991,23857421-23857531,23862104	S	HeLa_TAF2_C	53.85	N	S1	BOTH
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_FRT	7.46	OK	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_FRT_A	7.69	N	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_FRT_B	3.7	VLOW	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_FRT_C	11.11	VLOW	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_NLSTAF2dIDR	5.56	OK	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_NLSTAF2dIDR_A	0	VLOW	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_NLSTAF2dIDR_B	0	VLOW	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_NLSTAF2dIDR_C	16.67	VLOW	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_TAF2	13.04	OK	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_TAF2_A	6.67	N	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_TAF2_B	26.32	N	S1	TAF2
SNRPG	HsaEX1038313	chr2:70287265-70287371	107	chr2:70288068+70288071,70287265-70287371,70281684	S	HeLa_TAF2_C	0	N	S1	TAF2
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_FRT	76.51	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_FRT_A	77.92	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_FRT_B	100	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_FRT_C	40	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_NLSTAF2dIDR	58.33	VLOW	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_NLSTAF2dIDR_A	66.67	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_NLSTAF2dIDR_B	60	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_NLSTAF2dIDR_C	50	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_TAF2	51.11	VLOW	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_TAF2_A	66.67	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_TAF2_B	53.85	N	S1	BOTH
RABGAP1L	HsaEX1046648	chr1:174957891-174958068	178	chr1:174957549,174957891-174958068+174958173,174969277	S	HeLa_TAF2_C	40	N	S1	BOTH
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_FRT	17.7	LOW	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_FRT_A	20.6	N	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_FRT_B	30.43	N	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_FRT_C	0	N	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_NLSTAF2dIDR	0	OK	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_NLSTAF2dIDR_A	0	VLOW	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_NLSTAF2dIDR_B	0	N	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_NLSTAF2dIDR_C	0	VLOW	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_TAF2	0	OK	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_TAF2_A	0	N	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_TAF2_B	0	N	S1	TAF2dIDR
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	HeLa_TAF2_C	0	VLOW	S1	TAF2dIDR
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_FRT	84	VLOW	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_FRT_A	66.67	N	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_FRT_B	100	N	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_FRT_C	71.43	N	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_NLSTAF2dIDR	70.49	OK	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_NLSTAF2dIDR_A	85	LOW	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_NLSTAF2dIDR_B	33.33	N	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_NLSTAF2dIDR_C	44.44	N	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_TAF2	52.38	VLOW	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_TAF2_A	37.5	N	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_TAF2_B	50	N	S1	BOTH
CFAP44	HsaEX0071189	chr3:113401584-113401739	156	chr3:113403852,113401584-113401739,113401287	S	HeLa_TAF2_C	80	N	S1	BOTH
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_FRT	72.34	LOW	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_FRT_A	49.46	N	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_FRT_B	100	N	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_FRT_C	61.53	N	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_NLSTAF2dIDR	68.31	OK	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_NLSTAF2dIDR_A	66.59	VLOW	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_NLSTAF2dIDR_B	75.74	VLOW	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_NLSTAF2dIDR_C	63.15	N	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_TAF2	64.02	OK	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_TAF2_A	54.3	N	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_TAF2_B	84.95	VLOW	S1	TAF2
ST7L	HsaEX0062067	chr1:112583972-112584126	155	chr1:112591525,112583972-112584126,112582472	C1	HeLa_TAF2_C	49.68	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_FRT	81.1	VLOW	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_FRT_A	66.67	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_FRT_B	82.92	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_FRT_C	100	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_NLSTAF2dIDR	100	VLOW	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_NLSTAF2dIDR_A	100	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_NLSTAF2dIDR_B	100	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_NLSTAF2dIDR_C	100	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_TAF2	100	VLOW	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_TAF2_A	100	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_TAF2_B	100	N	S1	TAF2
IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	HeLa_TAF2_C	100	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_FRT	69.71	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_FRT_A	80	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_FRT_B	100	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_FRT_C	52.97	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_NLSTAF2dIDR	71.43	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_NLSTAF2dIDR_A	62.98	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_NLSTAF2dIDR_B	100	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_NLSTAF2dIDR_C	71.43	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_TAF2	92	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_TAF2_A	71.43	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_TAF2_B	100	N	S1	TAF2
MYO9A	HsaEX1046138	chr15:71892965-71893011	47	chr15:71893679,71892965-71893011+71893029,71888116	S	HeLa_TAF2_C	100	N	S1	TAF2
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_FRT	81.82	VLOW	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_FRT_A	100	N	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_FRT_B	100	N	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_FRT_C	40	N	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_NLSTAF2dIDR	83.33	OK	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_NLSTAF2dIDR_A	71.43	VLOW	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_NLSTAF2dIDR_B	100	N	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_NLSTAF2dIDR_C	100	N	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_TAF2	88.24	LOW	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_TAF2_A	81.82	N	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_TAF2_B	100	N	S1	BOTH
RFX3	HsaEX6060520	chr9:3288131-3288250	120	chr9:3293077,3288131-3288250,3277461	C1	HeLa_TAF2_C	85.71	N	S1	BOTH
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_FRT	66.67	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_FRT_A	50	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_FRT_B	66.67	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_FRT_C	71.43	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_NLSTAF2dIDR	100	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_NLSTAF2dIDR_A	100	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_NLSTAF2dIDR_B	100	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_NLSTAF2dIDR_C	100	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_TAF2	85.19	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_TAF2_A	100	N	S1	TAF2dIDR
CCDC9	HsaEX1007525	chr19:47271445-47271649	205	chr19:47260717+47260839,47271445-47271649,47272069	C1	HeLa_TAF2_B	71.43	N	S1	TAF2dIDR
