GENE	EVENT	dPSI	MVdPSIat95
C19orf54	HsaALTD0000877-2/3	-0.208910	0.2
CTD-2201E18.3	HsaALTA1048559-1/2	-0.209255	0.2
CENPC	HsaEX1008204	-0.212359	0.22
KRIT1	HsaALTA1000093-1/3	-0.212475	0.21
ALDH3A1	HsaEX0003625	-0.213162	0.27
DCLK2	HsaINT0045495	-0.213884	0.21
MIR4435-2HG	HsaALTA1046544-2/2	-0.214249	0.22
PAPLN	HsaINT0120106	-0.217707	0.21
VASH2	HsaEX0070235	-0.217914	0.29
DUS2	HsaALTA1043383-1/2	-0.218822	0.17
ADAM15	HsaALTD0000146-2/3	-0.225283	0.31
LHX6	HsaINT0091740	-0.235038	0.17
MRPS16	HsaALTD1038960-4/4	-0.238835	0.3
VAMP4	HsaINT0179823	-0.242568	0.2
ATAD3A	HsaALTA1054316-2/2	-0.244623	0.31
PRRT1	HsaINT1028179	-0.244949	0.15
CFAP44	HsaEX0071189	-0.245849	0.25
ZNF324B	HsaALTD1047304-1/3	-0.245856	0.23
TRIM68	HsaEX0067187	-0.247138	0.23
RAD52	HsaINT0136676	-0.250587	0.31
MTG2	HsaALTD1008261-1/2	-0.250776	0.33
CENPC	HsaALTA1033153-2/2	-0.252126	0.25
UHRF2	HsaALTA1034177-1/2	-0.253208	0.17
NIT2	HsaALTD0004316-2/5	-0.255582	0.22
PER3	HsaALTD0004669-3/5	-0.259143	0.25
CLCN6	HsaINT0035981	-0.266842	0.34
RECQL4	HsaALTA1039223-1/2	-0.266887	0.22
VSIG10	HsaINT0181059	-0.267025	0.26
FBXO43	HsaALTD1051196-2/2	-0.271596	0.19
RP4-756H11.3	HsaEX0055322	-0.272276	0.27
WDR34	HsaINT0182021	-0.281308	0.21
NDUFV1	HsaALTD1034094-1/3	-0.283432	0.21
RABGAP1L	HsaEX1046648	-0.302070	0.15
ZNF30	HsaALTA0009786-1/3	-0.318502	0.33
RPS6KL1	HsaEX0055666	-0.325151	0.29
CACNA1H	HsaALTA1053300-3/4	-0.329919	0.21
SOBP	HsaEX0060936	-0.348953	0.27
SPEF2	HsaEX6097697	-0.355748	0.27
OAZ3	HsaEX0044506	-0.399745	0.34
MOK	HsaALTA0006966-1/2	-0.414056	0.41
CHRNB1	HsaINT0035223	-0.442125	0.5
ATG2B	HsaALTA1004608-2/4	-0.452713	0.17
ZDHHC4	HsaALTD1021397-4/5	-0.522139	0.2
EEF1A1	HsaALTA1037461-1/3	-0.631003	0.68
