GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
B3GALNT2	HsaEX0007419	chr1:235496186-235496308	123	chr1:235504141,235496186-235496308,235494823+235494828	S	AS_NC	chr1	235496186	235496308	-	235504141	235494823	ENSG00000162885
RPRD2	HsaEX0055561	chr1:150441881-150441958	78	chr1:150441023,150441881-150441958,150443231	S	AS_NC	chr1	150441881	150441958	+	150441023	150443231	ENSG00000163125
SLC9B2	HsaEX0042864	chr4:103057801-103057971	171	chr4:103066327,103057801-103057971,103050382	S	AS_NC	chr4	103057801	103057971	-	103066327	103050382	ENSG00000164038
STARD4	HsaEX0062277	chr5:111507329-111507442	114	chr5:111512385+111512391,111507329-111507442,111506379	S	AS_NC	chr5	111507329	111507442	-	111512391	111506379	ENSG00000164211
CAMLG	HsaEX0012272	chr5:134743987-134744052	66	chr5:134741523,134743987-134744052,134750759	S	AS_NC	chr5	134743987	134744052	+	134741523	134750759	ENSG00000164615
C11orf84	HsaEX0009094	chr11:63822791-63822848	58	chr11:63819002,63822585+63822589+63822631+63822637+63822791-63822848,63826928+63826966	S	AS_NC	chr11	63822791	63822848	+	63819002	63826966	ENSG00000168005
LTBP3	HsaEX0036935	chr11:65540013-65540153	141	chr11:65540245,65540013-65540153,65539881	S	AS_NC	chr11	65540013	65540153	-	65540245	65539881	ENSG00000168056
TMEM129	HsaEX0065433	chr4:1717516-1717675	160	chr4:1718152,1717516-1717675+1717703,1717428	S	AS_NC	chr4	1717516	1717675	-	1718152	1717428	ENSG00000168936
CES3	HsaEX0014897	chr16:66963802-66963935	134	chr16:66963526+66963621+66963629,66963643+66963802-66963935,66964357	S	AS_NC	chr16	66963802	66963935	+	66963526	66964357	ENSG00000172828
NADSYN1	HsaEX0041565	chr11:71481356-71481404	49	chr11:71480879,71481356-71481404,71481503+71481923+71482001	S	AS_NC	chr11	71481356	71481404	+	71480879	71482001	ENSG00000172890
ANKRD13D	HsaEX0004337	chr11:67299058-67299124	67	chr11:67292180,67299058-67299124,67299530	S	AS_NC	chr11	67299058	67299124	+	67292180	67299530	ENSG00000172932
IQCB1	HsaEX0032086	chr3:121788284-121788427	144	chr3:121790073,121788284-121788427+121788432,121781874	S	AS_NC	chr3	121788284	121788427	-	121790073	121781874	ENSG00000173226
SUSD5	HsaEX0063009	chr3:33174886-33175074	189	chr3:33207808,33174886-33175074,33154033	S	AS_NC	chr3	33174886	33175074	-	33207808	33154033	ENSG00000173705
LINC01106	HsaEX1020543	chr2:110377650-110377834	185	chr2:110384315,110377650-110377834,110377068	S	AS_NC	chr2	110377650	110377834	-	110384315	110377068	ENSG00000175772
SGF29	HsaEX0012858	chr16:28588610-28588691	82	chr16:28585720,28588610-28588691+28588695,28589100	S	AS_NC	chr16	28588610	28588691	+	28585720	28589100	ENSG00000176476
GAK	HsaEX0026828	chr4:868539-868685	147	chr4:870262+870711,868539-868685,867429+867432	S	AS_NC	chr4	868539	868685	-	870711	867429	ENSG00000178950
TCEAL8	HsaEX0064125	chrX:103254644-103254677	34	chrX:103255078,103254385+103254605+103254644-103254677,103254017	S	AS_NC	chrX	103254644	103254677	-	103255078	103254017	ENSG00000180964
TNRC18	HsaEX0066356	chr7:5361594-5361716	123	chr7:5361897,5361594-5361716+5361722,5359569	S	AS_NC	chr7	5361594	5361716	-	5361897	5359569	ENSG00000182095
EP400	HsaEX0022592	chr12:131981494-131981596	103	chr12:131979784+131979793,131981489+131981494-131981596,131982093	S	AS_NC	chr12	131981494	131981596	+	131979784	131982093	ENSG00000183495
BCL9L	HsaEX0007926	chr11:118909914-118910015	102	chr11:118918826,118909914-118910015,118908655	S	AS_NC	chr11	118909914	118910015	-	118918826	118908655	ENSG00000186174
BACE1	HsaEX0007519	chr11:117293871-117293933	63	chr11:117295131+117295263+117295319,117293871-117293933+117294008,117293188	S	AS_NC	chr11	117293871	117293933	-	117295319	117293188	ENSG00000186318
FAM120AOS	HsaEX0023861	chr9:93448369-93448489	121	chr9:93450479,93448369-93448489,93447697	S	AS_NC	chr9	93448369	93448489	-	93450479	93447697	ENSG00000188938
NCOR2	HsaEX0042124	chr12:124340602-124340694	93	chr12:124341823,124340602-124340694+124340751,124340443	S	AS_NC	chr12	124340602	124340694	-	124341823	124340443	ENSG00000196498
MAFG	HsaEX0037238	chr17:81923353-81923416	64	chr17:81927528,81923353-81923416+81923471,81923214	S	AS_NC	chr17	81923353	81923416	-	81927528	81923214	ENSG00000197063
MYO5A	HsaEX0041193	chr15:52348818-52348826	9	chr15:52351244+52351254,52348818-52348826,52346461	S	AS_NC	chr15	52348818	52348826	-	52351254	52346461	ENSG00000197535
C5orf42	HsaEX0011155	chr5:37157313-37157420	108	chr5:37157670,37157313-37157420,37153993	S	AS_NC	chr5	37157313	37157420	-	37157670	37153993	ENSG00000197603
TOX	HsaEX0066561	chr8:58959943-58960008	66	chr8:59118886,58959943-58960008,58939544	S	AS_NC	chr8	58959943	58960008	-	59118886	58939544	ENSG00000198846
ASAH2B	HsaEX0006142	chr10:50752089-50752169	81	chr10:50749402,50752089-50752169,50752468	S	AS_NC	chr10	50752089	50752169	+	50749402	50752468	ENSG00000204147
TRIM39	HsaEX0067127	chr6:30327652-30327696	45	chr6:30326887+30326995,30327647+30327652-30327696,30328889+30328909	S	AS_NC	chr6	30327652	30327696	+	30326887	30328909	ENSG00000204599
FNIP1	HsaEX0026177	chr5:131710578-131710661	84	chr5:131716565,131710578-131710661,131709272	S	AS_NC	chr5	131710578	131710661	-	131716565	131709272	ENSG00000217128
LAMA5-AS1	HsaEX0054474	chr20:62355268-62355480	213	chr20:62353208+62353335,62355268-62355480,62356192	S	AS_NC	chr20	62355268	62355480	+	62353208	62356192	ENSG00000228812
ARHGEF25	HsaEX0005664	chr12:57615241-57615314	74	chr12:57615017,57615237+57615241-57615314,57615512	S	AS_NC	chr12	57615241	57615314	+	57615017	57615512	ENSG00000240771
RP11-506M13.3	HsaEX1033918	chr10:79669488-79669574	87	chr10:79666854+79666858,79669488-79669574,79671091	S	AS_NC	chr10	79669488	79669574	+	79666854	79671091	ENSG00000244733
TMEM161B-AS1	HsaEX0017695	chr5:88269468-88269687	220	chr5:88269027+88269075+88269119,88269468-88269687,88270526	S	AS_NC	chr5	88269468	88269687	+	88269027	88270526	ENSG00000247828
RP11-620J15.3	HsaEX1034296	chr12:57935470-57935553	84	chr12:57935839,57935395+57935470-57935553,57931737	S	AS_NC	chr12	57935470	57935553	-	57935839	57931737	ENSG00000257698
THTPA	HsaEX0064917	chr14:23556753-23557034	282	chr14:23556343,23556485+23556743+23556753-23557034+23557039,23558695	S	AS_NC	chr14	23556753	23557034	+	23556343	23558695	ENSG00000259431
ZNHIT3	HsaEX0074495	chr17:36486935-36486966	32	chr17:36486785,36486935-36486966,36492813+36492818	S	AS_NC	chr17	36486935	36486966	+	36486785	36492818	ENSG00000273611
PCGF2	HsaEX0045873	chr17:38747879-38747971	93	chr17:38748196,38747470+38747487+38747879-38747971,38740442	S	AS_NC	chr17	38747879	38747971	-	38748196	38740442	ENSG00000277258
ACACA	HsaEX0001680	chr17:37151301-37151421	121	chr17:37155683,37151301-37151421,37149974	S	AS_NC	chr17	37151301	37151421	-	37155683	37149974	ENSG00000278540
	HsaEX1000845	chr7:32751394-32751473	80	chr7:32729009,32751394-32751473,32753206	S	AS_NC	chr7	32751394	32751473	+	32729009	32753206	NA
KLHL13	HsaEX0034767	chrX:117972731-117972843	113	chrX:118028424,117972731-117972843+117972980+117972993,117945575	C2	AS_NC	chrX	117972731	117972843	-	118028424	117945575	ENSG00000003096
TFPI	HsaEX0064665	chr2:187513616-187513646	31	chr2:187554200+187554276,187513616-187513646,187503770	C3	AS_NC	chr2	187513616	187513646	-	187554276	187503770	ENSG00000003436
KDM1A	HsaEX0033220	chr1:23044427-23044486	60	chr1:23030634,23044427-23044486,23050387	S	AS_NC	chr1	23044427	23044486	+	23030634	23050387	ENSG00000004487
DHX33	HsaEX0019595	chr17:5463529-5463689	161	chr17:5468380+5468571,5463529-5463689,5462546	S	AS_NC	chr17	5463529	5463689	-	5468571	5462546	ENSG00000005100
IBTK	HsaEX0030815	chr6:82175904-82176026	123	chr6:82181879,82175904-82176026,82173438	S	AS_NC	chr6	82175904	82176026	-	82181879	82173438	ENSG00000005700
ZFX	HsaEX0072711	chrX:24173607-24173723	117	chrX:24172800,24173607-24173723,24179183+24179186+24179252+24179303	C1	AS_NC	chrX	24173607	24173723	+	24172800	24179303	ENSG00000005889
PHTF2	HsaEX0047250	chr7:77940528-77940614	87	chr7:77940302,77940528-77940614+77940659,77942700	S	AS_NC	chr7	77940528	77940614	+	77940302	77942700	ENSG00000006576
MPND	HsaEX0039945	chr19:4358083-4358172	90	chr19:4357585,4357951+4358083-4358172,4359163	S	AS_NC	chr19	4358083	4358172	+	4357585	4359163	ENSG00000008382
PKD1	HsaEX1028235	chr16:2108252-2108358	107	chr16:2117489,2108252-2108358,2106948+2107191	C3	AS_NC	chr16	2108252	2108358	-	2117489	2106948	ENSG00000008710
PKD1	HsaEX1028237	chr16:2107633-2107804	172	chr16:2107883,2107633-2107804,2106948+2107191	C3	AS_NC	chr16	2107633	2107804	-	2107883	2106948	ENSG00000008710
MED24	HsaEX0038645	chr17:40034916-40034972	57	chr17:40035117,40034916-40034972,40033456	S	AS_NC	chr17	40034916	40034972	-	40035117	40033456	ENSG00000008838
REV3L	HsaEX0053134	chr6:111311069-111311259	191	chr6:111313352,111311069-111311259,111310099	S	AS_NC	chr6	111311069	111311259	-	111313352	111310099	ENSG00000009413
POMT2	HsaEX0049169	chr14:77302835-77302943	109	chr14:77304692,77302835-77302943,77296273	C2	AS_NC	chr14	77302835	77302943	-	77304692	77296273	ENSG00000009830
ZNF207	HsaEX0073176	chr17:32370000-32370082	83	chr17:32369745+32369782,32370000-32370082,32373399	S	AS_NC	chr17	32370000	32370082	+	32369745	32373399	ENSG00000010244
DNASE1L1	HsaEX0020389	chrX:154409418-154409530	113	chrX:154411891,154409418-154409530+154409675+154409813+154409927,154409196	S	AS_NC	chrX	154409418	154409530	-	154411891	154409196	ENSG00000013563
ATP2C1	HsaEX0006911	chr3:130979249-130979419	171	chr3:130975488,130979249-130979419,130980582+130980586	S	AS_NC	chr3	130979249	130979419	+	130975488	130980586	ENSG00000017260
ZFP64	HsaEX0072674	chr20:52165864-52166019	156	chr20:52186832+52186915,52165864-52166019+52166025,52164757	S	AS_NC	chr20	52165864	52166019	-	52186915	52164757	ENSG00000020256
ZFP64	HsaEX0072672	chr20:52096958-52097106	149	chr20:52097369+52097373,52096958-52097106+52097111,52088640+52088643+52089067	S	AS_NC	chr20	52096958	52097106	-	52097373	52088640	ENSG00000020256
SPAST	HsaEX0061208	chr2:32098801-32098891	91	chr2:32089605,32098796+32098801-32098891,32114638	S	AS_NC	chr2	32098801	32098891	+	32089605	32114638	ENSG00000021574
NDUFS1	HsaEX0042323	chr2:206152419-206152510	92	chr2:206153618,206152419-206152510,206149925	S	AS_NC	chr2	206152419	206152510	-	206153618	206149925	ENSG00000023228
RB1CC1	HsaEX0052520	chr8:52685399-52685520	122	chr8:52686853,52685399-52685520,52684005+52684013	S	AS_NC	chr8	52685399	52685520	-	52686853	52684005	ENSG00000023287
VEZT	HsaEX0070328	chr12:95256550-95256622	73	chr12:95252071,95256550-95256622,95257150+95257154	C1	AS_NC	chr12	95256550	95256622	+	95252071	95257154	ENSG00000028203
VEZT	HsaEX0070321	chr12:95298862-95298943	82	chr12:95296258,95298862-95298943,95300165+95300192	S	AS_NC	chr12	95298862	95298943	+	95296258	95300192	ENSG00000028203
ZZZ3	HsaEX0074699	chr1:77641384-77641446	63	chr1:77641522,77641384-77641446,77639592+77639602	C1	AS_NC	chr1	77641384	77641446	-	77641522	77639592	ENSG00000036549
BOD1L1	HsaEX0008309	chr4:13572702-13572842	141	chr4:13576838,13572702-13572842,13570128+13570195	S	AS_NC	chr4	13572702	13572842	-	13576838	13570128	ENSG00000038219
CLEC16A	HsaEX0015594	chr16:11174158-11174277	120	chr16:11166552,11174154+11174158-11174277,11178335	S	AS_NC	chr16	11174158	11174277	+	11166552	11178335	ENSG00000038532
CTNS	HsaEX0017885	chr17:3648847-3648931	85	chr17:3647522,3648847-3648931,3654998	S	AS_NC	chr17	3648847	3648931	+	3647522	3654998	ENSG00000040531
TDP1	HsaEX0064309	chr14:90033106-90033214	109	chr14:90019418,90033106-90033214,90043070	S	AS_NC	chr14	90033106	90033214	+	90019418	90043070	ENSG00000042088
CNTLN	HsaEX1009201	chr9:17166818-17166930	113	chr9:17143376,17166818-17166930,17298190+17298194	C3	AS_NC	chr9	17166818	17166930	+	17143376	17298194	ENSG00000044459
ANO2	HsaEX0004644	chr12:5799507-5799571	65	chr12:5806052,5799507-5799571,5750966+5750970	S	AS_NC	chr12	5799507	5799571	-	5806052	5750966	ENSG00000047617
MAP4	HsaEX0037623	chr3:47977865-47977933	69	chr3:47998638,47977865-47977933,47928350	S	AS_NC	chr3	47977865	47977933	-	47998638	47928350	ENSG00000047849
R3HDM1	HsaEX0051524	chr2:135616668-135616757	90	chr2:135616193,135616668-135616757,135621494+135621497	C3	AS_NC	chr2	135616668	135616757	+	135616193	135621497	ENSG00000048991
ARID1B	HsaEX0005757	chr6:157174847-157175005	159	chr6:157174117,157174559+157174847-157175005,157180969	S	AS_NC	chr6	157174847	157175005	+	157174117	157180969	ENSG00000049618
LETMD1	HsaEX0035661	chr12:51052092-51052207	116	chr12:51049185,51052088+51052092-51052207+51052246,51056350	C2	AS_NC	chr12	51052092	51052207	+	51049185	51056350	ENSG00000050426
MAPK9	HsaEX0037802	chr5:180286975-180287067	93	chr5:180291848,180286975-180287067,180280608	S	AS_NC	chr5	180286975	180287067	-	180291848	180280608	ENSG00000050748
PIK3CB	HsaEX0047569	chr3:138796463-138796567	105	chr3:138834695+138834699,138796463-138796567,138759359	S	AS_NC	chr3	138796463	138796567	-	138834699	138759359	ENSG00000051382
USE1	HsaEX0069536	chr19:17219280-17219387	108	chr19:17218391,17219213+17219280-17219387,17219631	S	AS_NC	chr19	17219280	17219387	+	17218391	17219631	ENSG00000053501
OPN3	HsaEX0044779	chr1:241600380-241600653	274	chr1:241604260+241604420,241600380-241600653,241597997	S	AS_NC	chr1	241600380	241600653	-	241604420	241597997	ENSG00000054277
IL17RB	HsaEX0031358	chr3:53852871-53852997	127	chr3:53852126,53852871-53852997,53856844	C2	AS_NC	chr3	53852871	53852997	+	53852126	53856844	ENSG00000056736
USP13	HsaEX0069586	chr3:179701008-179701129	122	chr3:179653393,179701008-179701129+179701179,179706934	C2	AS_NC	chr3	179701008	179701129	+	179653393	179706934	ENSG00000058056
PPP1R12A	HsaEX0049557	chr12:79806166-79806297	132	chr12:79807226,79806166-79806297+79806333,79805768	C1	AS_NC	chr12	79806166	79806297	-	79807226	79805768	ENSG00000058272
WNK1	HsaEX0071559	chr12:879573-880031	459	chr12:878361,879573-880031,881692	C2	AS_NC	chr12	879573	880031	+	878361	881692	ENSG00000060237
ACAA1	HsaEX0001661	chr3:38131596-38131638	43	chr3:38131926,38131596-38131638,38129388	S	AS_NC	chr3	38131596	38131638	-	38131926	38129388	ENSG00000060971
MON2	HsaEX0039781	chr12:62470701-62470778	78	chr12:62467318,62470701-62470778,62484170	S	AS_NC	chr12	62470701	62470778	+	62467318	62484170	ENSG00000061987
GPBP1	HsaEX0028132	chr5:57221376-57221396	21	chr5:57214193,57221376-57221396,57230846	S	AS_NC	chr5	57221376	57221396	+	57214193	57230846	ENSG00000062194
PDIA5	HsaEX0046374	chr3:123130480-123130616	137	chr3:123124343,123130480-123130616,123145522	S	AS_NC	chr3	123130480	123130616	+	123124343	123145522	ENSG00000065485
SMARCD1	HsaEX0060332	chr12:50087363-50087485	123	chr12:50086878,50087363-50087485,50088521	S	AS_NC	chr12	50087363	50087485	+	50086878	50088521	ENSG00000066117
ROGDI	HsaEX0054256	chr16:4801267-4801316	50	chr16:4801503,4801050+4801267-4801316+4801321,4800578	S	AS_NC	chr16	4801267	4801316	-	4801503	4800578	ENSG00000067836
HEATR6	HsaEX0029568	chr17:60073746-60073886	141	chr17:60076130+60076169,60073746-60073886,60073279	C1	AS_NC	chr17	60073746	60073886	-	60076169	60073279	ENSG00000068097
PLEKHH3	HsaEX0048402	chr17:42674741-42674875	135	chr17:42675931+42676398+42676402,42674741-42674875,42674409	S	AS_NC	chr17	42674741	42674875	-	42676402	42674409	ENSG00000068137
PTPN3	HsaEX0051031	chr9:109454496-109454574	79	chr9:109457173,109454496-109454574,109448855+109448891	S	AS_NC	chr9	109454496	109454574	-	109457173	109448855	ENSG00000070159
TCOF1	HsaEX0064232	chr5:150372006-150372236	231	chr5:150369602,150372006-150372236,150374174	S	AS_NC	chr5	150372006	150372236	+	150369602	150374174	ENSG00000070814
