GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
SH3BP1	HsaEX0057951	chr22:37641126-37641168	43	chr22:37639846,37641126-37641168,37641374+37641378	S	61.70	LOW,LOW,12=17=9,OK,S@23.45,14.55	62.50	N,N,3=7=3,B1,S@8.12,4.88	71.43	N,N,6=4=2,OK,S@8.57,3.43	52.94	N,N,3=6=4,OK,S@6.88,6.12	67.44	LOW,LOW,14=15=7,OK,S@24.28,11.72	56.52	N,N,6=7=5,OK,S@10.17,7.83	66.67	N,N,3=5=2,OK,S@6.67,3.33	100.00	N,N,5=3=0,OK,S@8.00,0.00	83.33	LOW,LOW,12=18=3,OK,S@27.50,5.50	81.82	N,N,2=7=1,B1,S@8.18,1.82	100.00	N,N,8=4=0,OK,S@12.00,0.00	69.23	N,N,2=7=2,B1,S@7.62,3.38	21.63
PCK2	HsaEX0045901	chr14:24099995-24100213	219	chr14:24099720,24099995-24100213,24102753	S	80.12	SOK,SOK,65=72=17,OK,S@123.38,30.62	83.33	OK,OK,23=17=4,OK,S@36.67,7.33	86.21	OK,OK,22=28=4,OK,S@46.55,7.45	72.31	OK,OK,20=27=9,OK,S@40.49,15.51	88.04	SOK,SOK,76=86=11,OK,S@152.31,20.69	91.04	OK,OK,27=34=3,OK,S@58.27,5.73	93.55	OK,OK,29=29=2,OK,S@56.13,3.87	78.18	OK,OK,20=23=6,OK,S@38.31,10.69	97.04	SOK,SOK,69=62=2,OK,S@129.06,3.94	100.00	OK,OK,24=22=0,OK,S@46.00,0.00	100.00	OK,OK,27=26=0,OK,S@53.00,0.00	88.89	LOW,LOW,18=14=2,OK,S@30.22,3.78	16.92
PBX4	HsaEX0045761	chr19:19599292-19599365	74	chr19:19618511,19599292-19599365,19570833+19570871	S	60.87	LOW,LOW,11=17=9,OK,S@22.52,14.48	68.42	N,N,6=7=3,OK,S@10.95,5.05	55.56	N,N,1=4=2,B1,S@3.89,3.11	55.56	N,N,4=6=4,OK,S@7.78,6.22	72.97	LOW,LOW,15=12=5,OK,S@23.35,8.65	80.00	N,N,5=3=1,OK,S@7.20,1.80	100.00	N,N,4=4=0,OK,S@8.00,0.00	57.89	N,N,6=5=4,OK,S@8.68,6.32	100.00	VLOW,VLOW,11=14=0,OK,S@25.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	N,N,4=5=0,OK,S@9.00,0.00	100.00	N,N,4=6=0,OK,S@10.00,0.00	39.13
SLC1A1	HsaEX0058796	chr9:4544567-4544707	141	chr9:4490770,4544567-4544707,4561449	S	100.00	LOW,LOW,11=17=0,OK,S@28.00,0.00	100.00	N,N,5=6=0,OK,S@11.00,0.00	100.00	N,N,4=10=0,B1,S@14.00,0.00	100.00	N,N,2=1=0,OK,S@3.00,0.00	92.59	OK,OK,22=28=2,OK,S@48.15,3.85	100.00	N,N,9=8=0,OK,S@17.00,0.00	78.95	N,N,6=9=2,OK,S@13.42,3.58	100.00	VLOW,VLOW,7=11=0,OK,S@18.00,0.00	84.31	OK,OK,18=25=4,OK,S@39.63,7.37	87.50	N,N,5=9=1,OK,S@13.12,1.88	88.24	N,N,8=7=1,OK,S@14.12,1.88	77.78	N,N,5=9=2,OK,S@12.44,3.56	-15.69
ELMOD3	HsaEX0022185	chr2:85371440-85371562	123	chr2:85371209,85371440-85371562,85377344	S	85.26	OK,OK,48=33=7,OK,S@75.03,12.97	69.23	VLOW,VLOW,13=5=4,B1,S@15.23,6.77	94.87	LOW,LOW,19=18=1,OK,S@36.05,1.95	86.67	LOW,LOW,16=10=2,OK,S@24.27,3.73	78.38	SOK,SOK,60=56=16,OK,S@103.46,28.54	74.55	OK,OK,20=21=7,OK,S@35.78,12.22	88.46	OK,OK,27=19=3,OK,S@43.35,5.65	70.73	LOW,LOW,13=16=6,OK,S@24.76,10.24	63.93	SOK,SOK,40=38=22,OK,S@63.93,36.07	80.65	VLOW,VLOW,11=14=3,OK,S@22.58,5.42	75.00	LOW,LOW,18=18=6,OK,S@31.50,10.50	39.53	VLOW,VLOW,11=6=13,OK,S@11.86,18.14	-21.33
MTRF1	HsaEX0040712	chr13:41227000-41227121	122	chr13:41233890,41227000-41227121+41227245,41226568	S	5.45	OK,OK,2=1=26,OK,S@1.58,27.42	7.69	N,N,1=0=6,Bn,S@0.54,6.46	11.11	N,N,1=1=8,OK,S@1.11,8.89	0.00	VLOW,VLOW,0=0=12,Bn,S@0.00,12.00	6.02	OK,OK,2=3=39,OK,S@2.65,41.35	9.68	VLOW,VLOW,1=2=14,OK,S@1.65,15.35	4.35	VLOW,VLOW,1=0=11,Bn,S@0.52,11.48	3.45	VLOW,VLOW,0=1=14,Bn,S@0.52,14.48	20.63	OK,OK,1=12=25,B2,S@7.84,30.16	30.00	N,N,0=6=7,Bn,S@3.90,9.10	16.67	VLOW,VLOW,1=3=10,B1,S@2.33,11.67	15.79	N,N,0=3=8,Bn,S@1.74,9.26	15.18
BAZ2B	HsaEX0007738	chr2:159427941-159428042	102	chr2:159428311,159427941-159428042,159412545	S	48.57	LOW,LOW,23=11=18,B1,S@25.26,26.74	44.44	N,N,4=4=5,OK,S@5.78,7.22	54.29	VLOW,VLOW,14=5=8,B1,S@14.66,12.34	41.18	N,N,5=2=5,B1,S@4.94,7.06	55.00	OK,OK,19=25=18,OK,S@34.10,27.90	42.86	VLOW,VLOW,6=9=10,OK,S@10.71,14.29	66.67	N,N,4=12=4,B1,S@13.33,6.67	61.90	N,N,9=4=4,B1,S@10.52,6.48	65.52	OK,OK,21=17=10,OK,S@31.45,16.55	80.00	N,N,8=8=2,OK,S@14.40,3.60	46.15	N,N,8=4=7,OK,S@8.77,10.23	83.33	N,N,5=5=1,OK,S@9.17,1.83	16.95
BAZ2B	HsaEX0007739	chr2:159430995-159431156	162	chr2:159432757,159430863+159430902+159430995-159431156,159429260	S	60.87	VLOW,VLOW,19=9=9,B1,S@22.52,14.48	66.67	N,N,4=0=1,Bn,S@3.33,1.67	47.83	N,N,5=6=6,OK,S@8.13,8.87	76.47	N,N,10=3=2,B1,S@11.47,3.53	64.38	OK,OK,31=16=13,OK,S@38.63,21.37	64.71	N,N,18=4=6,B1,S@18.12,9.88	52.38	N,N,5=6=5,OK,S@8.38,7.62	77.78	N,N,8=6=2,OK,S@12.44,3.56	77.78	LOW,LOW,30=12=6,B1,S@37.33,10.67	85.71	N,N,10=2=1,B1,S@11.14,1.86	80.95	VLOW,VLOW,11=6=2,OK,S@15.38,3.62	68.42	N,N,9=4=3,B1,S@10.95,5.05	16.91
RHOT1	HsaEX1031255	chr17:32172937-32173060	124	chr17:32171077+32171101,32172937-32173060,32173831	S	62.50	VLOW,VLOW,12=13=6,OK,S@19.38,11.62	44.44	N,N,2=2=2,OK,S@2.67,3.33	81.48	N,N,4=7=1,OK,S@9.78,2.22	57.14	N,N,6=4=3,OK,S@7.43,5.57	83.52	LOW,LOW,12=26=3,B1,S@34.24,6.76	81.48	N,N,6=5=1,OK,S@9.78,2.22	83.87	N,N,3=10=1,B1,S@11.74,2.26	84.85	N,N,3=11=1,B1,S@12.73,2.27	88.37	VLOW,VLOW,8=11=1,OK,S@17.67,2.33	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	76.19	N,N,3=5=1,OK,S@6.86,2.14	25.87
ARHGAP32	HsaEX0005500	chr11:129123888-129123929	42	chr11:129124803,129123888-129123929,129123530	S	38.89	VLOW,VLOW,8=6=11,OK,S@9.72,15.28	50.00	N,N,3=1=2,B1,S@3.00,3.00	42.86	N,N,2=1=2,OK,S@2.14,2.86	33.33	N,N,3=4=7,OK,S@4.67,9.33	32.08	LOW,LOW,8=9=18,OK,S@11.23,23.77	62.50	N,N,3=7=3,B1,S@8.12,4.88	15.79	N,N,1=2=8,OK,S@1.74,9.26	22.22	N,N,4=0=7,Bn,S@2.44,8.56	56.76	VLOW,VLOW,11=10=8,OK,S@16.46,12.54	77.78	N,N,3=4=1,OK,S@6.22,1.78	50.00	N,N,5=1=3,B1,S@4.50,4.50	50.00	N,N,3=5=4,OK,S@6.00,6.00	17.87
ARHGEF39	HsaEX0011575	chr9:35660094-35660967	874	chr9:35661713,35660094-35660967,35659173	S	88.41	VLOW,VLOW,5=56=4,B2,S@57.47,7.53	90.91	N,N,0=20=1,B3,S@19.09,1.91	90.48	N,N,3=16=1,B2,S@18.10,1.90	84.62	N,N,2=20=2,B2,S@20.31,3.69	72.15	VLOW,VLOW,4=53=11,B2,S@49.06,18.94	77.78	N,N,2=26=4,B2,S@24.89,7.11	61.90	N,N,1=12=4,B2,S@10.52,6.48	72.73	N,N,1=15=3,B2,S@13.82,5.18	72.41	VLOW,VLOW,3=60=12,B2,S@54.31,20.69	60.00	N,N,1=11=4,B2,S@9.60,6.40	84.21	N,N,1=31=3,B2,S@29.47,5.53	65.52	N,N,1=18=5,B2,S@15.72,8.28	-16.00
GREB1L	HsaEX0028596	chr18:21449630-21449836	207	chr18:21444409,21449510+21449630-21449836,21451023	S	100.00	OK,OK,27=17=0,OK,S@44.00,0.00	100.00	N,N,2=6=0,B1,S@8.00,0.00	100.00	VLOW,VLOW,11=6=0,OK,S@17.00,0.00	100.00	VLOW,VLOW,14=5=0,B1,S@19.00,0.00	100.00	OK,OK,23=32=0,OK,S@55.00,0.00	100.00	VLOW,VLOW,10=12=0,OK,S@22.00,0.00	100.00	N,N,5=8=0,OK,S@13.00,0.00	100.00	VLOW,VLOW,8=12=0,OK,S@20.00,0.00	84.62	LOW,LOW,11=22=3,OK,S@30.46,5.54	71.43	N,N,4=6=2,OK,S@8.57,3.43	100.00	N,N,1=7=0,B2,S@8.00,0.00	88.24	N,N,6=9=1,OK,S@14.12,1.88	-15.38
DGKQ	HsaEX0019468	chr4:964073-964093	21	chr4:965176,964073-964093,963290	S	0.00	OK,OK,0=0=40,Bn,S@0.00,40.00	0.00	N,N,0=0=8,Bn,S@0.00,8.00	0.00	LOW,LOW,0=0=16,Bn,S@0.00,16.00	0.00	LOW,LOW,0=0=16,Bn,S@0.00,16.00	5.49	OK,OK,2=0=43,Bn,S@2.47,42.53	5.38	OK,OK,1=0=22,Bn,S@1.24,21.76	7.69	LOW,LOW,1=0=15,Bn,S@1.23,14.77	0.00	N,N,0=0=6,Bn,S@0.00,6.00	17.24	LOW,LOW,3=0=18,Bn,S@3.62,17.38	20.00	N,N,1=0=5,Bn,S@1.20,4.80	0.00	N,N,0=0=8,Bn,S@0.00,8.00	33.33	N,N,2=0=5,Bn,S@2.33,4.67	17.24
IGSF1	HsaEX0031175	chrX:131399574-131399704	131	chrX:131578668,131399574-131399704,131389148	S	45.95	OK,OK,9=25=20,B1,S@24.81,29.19	44.44	N,N,3=5=5,OK,S@5.78,7.22	73.91	N,N,3=14=3,B1,S@14.78,5.22	27.27	VLOW,VLOW,3=6=12,OK,S@5.73,15.27	66.67	VLOW,VLOW,9=27=9,B1,S@30.00,15.00	53.85	N,N,4=10=6,B1,S@10.77,9.23	83.33	N,N,2=8=1,B1,S@9.17,1.83	75.00	N,N,3=9=2,B1,S@10.50,3.50	61.19	LOW,LOW,11=30=13,B1,S@33.04,20.96	55.56	N,N,2=8=4,B1,S@7.78,6.22	68.00	N,N,4=13=4,B1,S@14.28,6.72	58.33	N,N,5=9=5,OK,S@11.08,7.92	15.24
MMAA	HsaEX0039613	chr4:145651062-145651147	86	chr4:145646156,145651062-145651147,145653994	S	100.00	VLOW,VLOW,14=13=0,OK,S@27.00,0.00	100.00	N,N,6=5=0,OK,S@11.00,0.00	100.00	N,N,1=2=0,OK,S@3.00,0.00	100.00	N,N,7=6=0,OK,S@13.00,0.00	95.05	LOW,LOW,14=24=1,OK,S@37.07,1.93	87.68	N,N,8=6=1,OK,S@13.15,1.85	100.00	N,N,3=9=0,B1,S@12.00,0.00	100.00	N,N,3=9=0,B1,S@12.00,0.00	77.44	LOW,LOW,11=23=5,B1,S@30.20,8.80	80.12	N,N,2=6=1,B1,S@7.21,1.79	79.14	N,N,6=9=2,OK,S@13.45,3.55	73.49	N,N,3=8=2,B1,S@9.55,3.45	-22.56
SPEF2	HsaEX6097708	chr5:35712812-35712862	51	chr5:35709121,35712812-35712862+35712886,35727675	S	6.38	OK,OK,2=1=22,OK,S@1.59,23.41	7.69	N,N,1=0=6,Bn,S@0.54,6.46	9.09	N,N,0=1=5,Bn,S@0.55,5.45	4.35	VLOW,VLOW,1=0=11,Bn,S@0.52,11.48	11.11	LOW,LOW,2=2=16,OK,S@2.22,17.78	7.69	N,N,0=1=6,Bn,S@0.54,6.46	11.11	N,N,1=0=4,Bn,S@0.56,4.44	14.29	N,N,1=1=6,OK,S@1.14,6.86	22.22	OK,OK,3=9=21,B1,S@7.33,25.67	17.65	N,N,2=1=7,OK,S@1.76,8.23	27.27	N,N,0=6=8,Bn,S@3.82,10.18	20.00	N,N,1=2=6,OK,S@1.80,7.20	15.84
UBN2	HsaEX0068911	chr7:139282005-139282055	51	chr7:139279360,139281984+139282005-139282055,139283024	S	81.40	LOW,LOW,24=11=4,B1,S@31.75,7.25	100.00	N,N,9=1=0,B2,S@10.00,0.00	68.42	N,N,8=5=3,OK,S@10.95,5.05	85.71	N,N,7=5=1,OK,S@11.14,1.86	67.90	OK,OK,33=22=13,OK,S@46.17,21.83	61.90	LOW,LOW,16=10=8,OK,S@21.05,12.95	100.00	N,N,6=5=0,OK,S@11.00,0.00	64.29	VLOW,VLOW,11=7=5,OK,S@14.79,8.21	58.33	LOW,LOW,13=15=10,OK,S@22.17,15.83	86.67	N,N,8=5=1,OK,S@12.13,1.87	60.00	N,N,2=7=3,B1,S@7.20,4.80	33.33	N,N,3=3=6,OK,S@4.00,8.00	-23.07
RBBP4	HsaEX1030778	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	25.02	VLOW,VLOW,2=5=11,B1,S@4.50,13.50	26.11	N,N,0=2=3,Bn,S@1.31,3.69	7.87	N,N,1=0=6,Bn,S@0.55,6.45	51.28	N,N,1=3=2,B1,S@3.08,2.92	58.42	VLOW,VLOW,9=18=10,B1,S@21.62,15.38	60.93	N,N,3=6=3,B1,S@7.31,4.69	51.09	N,N,2=6=4,B1,S@6.13,5.87	63.36	N,N,4=6=3,OK,S@8.24,4.76	57.63	VLOW,VLOW,9=17=10,OK,S@20.75,15.25	31.04	N,N,1=5=7,B2,S@4.04,8.96	65.73	N,N,5=6=3,OK,S@9.20,4.80	100.00	N,N,3=6=0,B1,S@9.00,0.00	32.61
CCDC68	HsaEX0013407	chr18:54907786-54907862	77	chr18:54917913,54907786-54907862,54904415	S	100.00	VLOW,VLOW,12=11=0,OK,S@23.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	N,N,8=2=0,B1,S@10.00,0.00	100.00	N,N,1=6=0,B2,S@7.00,0.00	94.12	LOW,LOW,19=13=1,OK,S@31.06,1.94	100.00	N,N,8=5=0,OK,S@13.00,0.00	100.00	N,N,7=1=0,B2,S@8.00,0.00	84.62	N,N,4=7=1,OK,S@10.15,1.85	80.65	LOW,LOW,15=10=3,OK,S@22.58,5.42	73.33	N,N,8=3=2,B1,S@9.53,3.47	80.00	N,N,4=4=1,OK,S@7.20,1.80	100.00	N,N,3=3=0,OK,S@6.00,0.00	-19.35
ZSCAN21	HsaEX0074565	chr7:100051481-100051610	130	chr7:100049841,100051478+100051481-100051610+100051646,100056911+100056971	S	54.55	SOK,SOK,18=54=30,B1,S@55.64,46.36	63.16	VLOW,VLOW,5=19=7,B1,S@19.58,11.42	44.83	LOW,LOW,7=19=16,B1,S@18.83,23.17	61.11	VLOW,VLOW,6=16=7,B1,S@17.72,11.28	53.01	SOK,SOK,27=70=43,B1,S@74.21,65.79	50.72	LOW,LOW,9=26=17,B1,S@26.37,25.63	54.72	LOW,LOW,12=17=12,OK,S@22.44,18.56	54.10	VLOW,VLOW,6=27=14,B1,S@25.43,21.57	73.20	OK,OK,19=52=13,B1,S@61.49,22.51	77.78	VLOW,VLOW,5=23=4,B1,S@24.89,7.11	80.00	VLOW,VLOW,7=17=3,B1,S@21.60,5.40	61.29	VLOW,VLOW,7=12=6,OK,S@15.32,9.68	18.65
CTD-2369P2.10	HsaEX1010435	chr19:10309349-10309448	100	chr19:10309557,10309349-10309448,10308550	S	100.00	VLOW,VLOW,6=10=0,OK,S@16.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	100.00	N,N,2=4=0,OK,S@6.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	62.27	N,N,3=14=5,B1,S@13.70,8.30	74.44	N,N,2=10=2,B1,S@10.42,3.58	32.68	N,N,1=2=3,OK,S@1.96,4.04	100.00	N,N,0=2=0,Bn,S@2.00,0.00	83.60	VLOW,VLOW,7=14=2,OK,S@19.23,3.77	100.00	N,N,3=8=0,B1,S@11.00,0.00	74.44	N,N,1=5=1,B1,S@5.21,1.79	66.01	N,N,3=1=1,B1,S@3.30,1.70	-16.40
GBX2	HsaEX0027174	chr2:236167138-236167174	37	chr2:236167449,236167138-236167174,236166437	S	17.70	LOW,LOW,0=7=19,Bn,S@4.60,21.40	20.60	N,N,0=4=9,Bn,S@2.68,10.32	30.43	N,N,0=3=4,Bn,S@2.13,4.87	0.00	N,N,0=0=6,Bn,S@0.00,6.00	0.00	OK,OK,0=0=32,Bn,S@0.00,32.00	0.00	VLOW,VLOW,0=0=13,Bn,S@0.00,13.00	0.00	N,N,0=0=7,Bn,S@0.00,7.00	0.00	VLOW,VLOW,0=0=12,Bn,S@0.00,12.00	0.00	OK,OK,0=0=23,Bn,S@0.00,23.00	0.00	N,N,0=0=5,Bn,S@0.00,5.00	0.00	N,N,0=0=7,Bn,S@0.00,7.00	0.00	VLOW,VLOW,0=0=11,Bn,S@0.00,11.00	-17.70
