GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
POLM	HsaEX0048988	chr7:44079571-44079670	100	chr7:44080733,44079571-44079670+44079741+44079756,44078811+44078842	C2	80.81	SOK,SOK,50=51=12,OK,C2@91.32,21.68	73.70	LOW,LOW,15=13=5,OK,C2@24.32,8.68	89.48	LOW,LOW,17=17=2,OK,C2@32.21,3.79	79.60	OK,OK,18=21=5,OK,C2@35.02,8.98	98.55	SOK,SOK,68=68=1,OK,C2@135.01,1.99	96.43	OK,OK,20=34=1,OK,C2@53.04,1.96	100.00	OK,OK,23=17=0,OK,C3@40.00,0.00	100.00	OK,OK,25=17=0,OK,C3@42.00,0.00	90.84	SOK,SOK,65=54=6,OK,C3@113.55,11.45	94.12	LOW,LOW,18=14=1,OK,C3@31.06,1.94	96.16	OK,OK,27=23=1,OK,C3@49.04,1.96	82.22	OK,OK,20=17=4,OK,C2@33.71,7.29	17.88
CCNT1	HsaEX0013676	chr12:48695999-48696141	143	chr12:48698138,48695999-48696141+48696162,48695806+48695829	S	58.23	SOK,SOK,68=84=56,OK,S@121.12,86.88	51.79	OK,OK,21=25=22,OK,S@35.22,32.78	57.19	OK,OK,18=29=18,OK,S@37.17,27.83	65.50	OK,OK,29=30=16,OK,S@49.12,25.87	75.27	SOK,SOK,107=130=40,OK,S@208.50,68.50	74.22	SOK,SOK,44=57=18,OK,S@88.32,30.68	78.76	OK,OK,22=36=8,OK,S@51.98,14.02	74.19	OK,OK,41=37=14,OK,S@68.25,23.75	83.80	SOK,SOK,120=121=24,OK,S@222.07,42.93	82.24	OK,OK,39=42=9,OK,S@74.02,15.98	83.04	OK,OK,39=37=8,OK,S@69.75,14.25	86.08	OK,OK,42=42=7,OK,S@78.33,12.67	17.56
MFSD13A	HsaEX0065620	chr10:102470923-102471117	195	chr10:102470075,102470665+102470923-102471117,102471273	C1	97.37	OK,OK,33=41=1,OK,C1@73.03,1.97	100.00	VLOW,VLOW,5=17=0,B1,S@22.00,0.00	91.30	VLOW,VLOW,14=7=1,OK,C1@20.09,1.91	100.00	LOW,LOW,14=17=0,OK,S@31.00,0.00	79.55	OK,OK,32=38=9,OK,S@62.84,16.16	80.49	LOW,LOW,16=17=4,OK,S@29.78,7.22	69.23	VLOW,VLOW,8=10=4,OK,S@15.23,6.77	90.48	VLOW,VLOW,8=11=1,OK,S@18.10,1.90	80.00	OK,OK,24=40=8,OK,C1@57.60,14.40	85.19	VLOW,VLOW,10=13=2,OK,C1@21.30,3.70	84.62	VLOW,VLOW,9=13=2,OK,C1@20.31,3.69	70.37	VLOW,VLOW,5=14=4,B1,S@16.19,6.81	-17.03
PCSK6	HsaEX0046060	chr15:101431320-101431463	144	chr15:101431990,101431320-101431463,101430063	S	77.59	SOK,SOK,72=115=27,OK,S@166.04,47.96	76.47	OK,OK,19=46=10,B1,S@57.35,17.65	74.68	OK,OK,26=33=10,OK,S@51.53,17.47	81.82	OK,OK,27=36=7,OK,S@57.27,12.73	63.10	SOK,SOK,115=121=69,OK,S@192.46,112.55	68.28	SOK,SOK,56=43=23,OK,S@83.30,38.70	65.00	OK,OK,29=49=21,OK,S@64.35,34.65	54.13	OK,OK,30=29=25,OK,S@45.47,38.53	71.43	SOK,SOK,97=123=44,OK,S@188.58,75.42	69.23	OK,OK,34=38=16,OK,S@60.92,27.08	74.26	OK,OK,38=37=13,OK,S@65.35,22.65	70.87	OK,OK,25=48=15,OK,S@62.37,25.63	-15.19
ZSCAN32	HsaEX0073678	chr16:3393649-3393807	159	chr16:3397192,3393649-3393807+3393814,3384912+3384935+3384941	C2	50.96	SOK,SOK,36=39=36,OK,C3@56.57,54.43	45.33	VLOW,VLOW,9=11=12,OK,C2@14.51,17.49	57.08	LOW,LOW,18=14=12,OK,C3@25.12,18.88	48.94	VLOW,VLOW,9=14=12,OK,C3@17.13,17.87	69.71	SOK,SOK,72=57=28,OK,C3@109.44,47.56	70.27	OK,OK,28=24=11,OK,C3@44.27,18.73	73.77	OK,OK,26=19=8,OK,C3@39.10,13.90	63.92	LOW,LOW,18=14=9,OK,C3@26.21,14.79	67.27	SOK,SOK,71=40=27,OK,C2@92.83,45.17	57.38	LOW,LOW,23=12=13,OK,C3@27.54,20.46	65.62	OK,OK,25=17=11,OK,C2@34.78,18.22	85.00	LOW,LOW,23=11=3,B1,C2@31.45,5.55	18.87
DCLRE1C	HsaEX0018707	chr10:14947554-14947609	56	chr10:14949036,14947525+14947554-14947609,14945189	C1	13.87	OK,OK,6=13=59,B1,C1@10.82,67.18	14.29	LOW,LOW,2=4=18,OK,C1@3.43,20.57	13.85	OK,OK,3=6=28,OK,C1@5.12,31.88	13.33	VLOW,VLOW,1=3=13,B1,S@2.27,14.73	30.88	OK,OK,17=25=47,OK,C1@27.48,61.52	27.66	LOW,LOW,7=6=17,OK,C1@8.30,21.70	25.58	LOW,LOW,3=8=16,B1,C1@6.91,20.09	39.13	VLOW,VLOW,7=11=14,OK,C2@12.52,19.48	30.65	OK,OK,18=20=43,OK,C1@24.83,56.17	33.33	VLOW,VLOW,6=8=14,OK,S@9.33,18.67	35.14	VLOW,VLOW,5=8=12,OK,C2@8.79,16.22	24.44	LOW,LOW,7=4=17,OK,C1@6.84,21.16	16.97
MCOLN2	HsaEX0038295	chr1:84971936-84972034	99	chr1:84996796+84997008,84971936-84972034,84965708	S	17.48	SOK,SOK,20=16=85,OK,S@21.15,99.85	14.89	OK,OK,4=3=20,OK,S@4.02,22.98	16.67	OK,OK,5=7=30,OK,S@7.00,35.00	19.54	OK,OK,11=6=35,OK,S@10.16,41.84	32.47	SOK,SOK,44=31=78,OK,S@49.68,103.32	32.56	OK,OK,14=14=29,OK,S@18.56,38.44	29.41	OK,OK,15=10=30,OK,S@16.18,38.82	36.67	LOW,LOW,15=7=19,B1,S@15.03,25.97	32.20	SOK,SOK,36=21=60,OK,S@37.67,79.33	27.27	OK,OK,10=11=28,OK,S@13.36,35.64	36.00	LOW,LOW,11=7=16,OK,S@12.24,21.76	36.00	LOW,LOW,15=3=16,B1,S@12.24,21.76	15.85
PTPN13	HsaEX0050973	chr4:86701435-86701801	367	chr4:86693674,86701241+86701435-86701801,86716530	S	79.31	SOK,SOK,54=61=15,OK,S@103.10,26.90	77.78	LOW,LOW,18=17=5,OK,S@31.11,8.89	81.82	OK,OK,22=23=5,OK,S@40.91,9.09	77.78	LOW,LOW,14=21=5,OK,S@31.11,8.89	62.42	SOK,SOK,48=55=31,OK,S@83.64,50.36	62.67	OK,OK,27=20=14,OK,S@38.23,22.77	60.00	VLOW,VLOW,11=13=8,OK,S@19.20,12.80	64.00	LOW,LOW,10=22=9,B1,S@26.24,14.76	78.26	SOK,SOK,65=43=15,OK,C1@96.26,26.74	76.47	OK,OK,22=17=6,OK,C1@34.41,10.59	78.95	VLOW,VLOW,21=9=4,B1,S@26.84,7.16	79.59	OK,OK,22=17=5,OK,C1@35.02,8.98	-16.91
PLXNB1	HsaEX0048569	chr3:48406568-48406735	168	chr3:48406818+48406823,48406568-48406735+48406740,48405798	S	39.07	SOK,SOK,15=53=144,B1,S@82.83,129.17	44.66	OK,OK,5=17=38,B1,S@26.80,33.20	40.33	OK,SOK,7=16=54,B1,S@31.05,45.95	32.61	OK,SOK,3=20=52,OK,S@24.46,50.54	19.36	SOK,SOK,8=27=202,B1,S@45.88,191.12	16.07	SOK,SOK,4=8=94,B1,S@17.03,88.97	25.47	OK,OK,3=10=59,B1,S@18.34,53.66	17.42	OK,OK,1=9=49,OK,S@10.28,48.72	28.77	SOK,SOK,9=36=163,B1,S@59.84,148.16	34.25	OK,OK,4=8=48,B2,S@20.55,39.45	23.11	OK,OK,2=15=56,OK,S@16.87,56.13	28.92	OK,SOK,3=13=59,B1,S@21.69,53.31	-19.55
WNK2	HsaEX0071569	chr9:93299070-93299261	192	chr9:93298013+93298067,93299070-93299261,93308328	C2	23.40	OK,OK,10=13=38,OK,C2@14.27,46.73	12.37	VLOW,VLOW,3=0=11,Bn,C1@1.73,12.27	27.51	VLOW,VLOW,3=6=12,OK,C1@5.78,15.22	26.81	LOW,LOW,4=7=15,OK,C2@6.97,19.03	44.58	OK,OK,24=35=37,OK,C2@42.80,53.20	40.80	VLOW,VLOW,9=10=14,OK,C2@13.46,19.54	50.07	VLOW,VLOW,7=17=12,B1,C2@18.03,17.97	42.30	VLOW,VLOW,8=8=11,OK,C1@11.42,15.58	32.86	OK,OK,14=23=38,OK,C2@24.64,50.35	39.81	VLOW,VLOW,4=12=12,B1,C2@11.15,16.85	28.17	VLOW,VLOW,5=5=13,OK,C2@6.48,16.52	29.94	VLOW,VLOW,5=6=13,OK,C2@7.19,16.81	22.16
CACNB2	HsaEX0012061	chr10:18514980-18515041	62	chr10:18514530,18514980-18515041,18518336	C2	30.07	OK,OK,12=13=33,OK,C3@17.44,40.56	30.29	VLOW,VLOW,4=3=10,OK,C3@5.15,11.85	34.70	VLOW,VLOW,5=5=11,OK,C3@7.29,13.71	25.00	VLOW,VLOW,3=5=12,OK,C3@5.00,15.00	13.66	OK,OK,9=9=47,OK,C3@8.88,56.12	17.35	LOW,OK,3=5=18,OK,C3@4.51,21.49	10.48	VLOW,LOW,4=0=12,Bn,C3@1.68,14.32	11.96	LOW,OK,2=4=17,OK,C3@2.75,20.25	22.18	OK,OK,7=10=29,OK,C3@10.20,35.80	24.51	VLOW,VLOW,2=5=10,OK,C2@4.17,12.83	22.25	VLOW,VLOW,1=4=10,OK,C2@3.34,11.66	18.95	N,VLOW,4=1=9,B1,C3@2.65,11.35	-16.74
ARMC4	HsaEX0005922	chr10:27968923-27969013	91	chr10:27971108,27968923-27969013+27969018,27961715	S	55.96	OK,OK,36=25=24,OK,S@47.57,37.43	68.75	VLOW,VLOW,12=10=5,OK,S@18.56,8.44	47.37	VLOW,VLOW,14=4=10,B1,S@13.26,14.74	53.85	VLOW,VLOW,10=11=9,OK,S@16.16,13.85	75.54	SOK,SOK,57=48=17,OK,S@92.16,29.84	68.97	OK,OK,21=19=9,OK,S@33.80,15.20	80.00	OK,OK,23=17=5,OK,S@36.00,9.00	80.65	VLOW,VLOW,13=12=3,OK,S@22.58,5.42	79.63	OK,OK,56=30=11,OK,S@77.24,19.76	88.57	LOW,LOW,14=17=2,OK,S@29.23,3.77	81.25	VLOW,VLOW,17=9=3,OK,S@23.56,5.44	70.73	N,N,25=4=6,B2,S@24.76,10.24	19.88
ZFAND4	HsaEX0004718	chr10:45651966-45652033	68	chr10:45652984,45651966-45652033,45648534	C1	69.06	OK,OK,36=41=17,OK,C2@64.92,29.08	75.39	LOW,LOW,15=10=4,OK,C2@21.86,7.14	68.94	LOW,LOW,12=15=6,OK,C3@22.75,10.25	63.85	VLOW,VLOW,9=16=7,OK,C3@20.43,11.57	48.41	SOK,SOK,33=39=38,OK,C3@53.25,56.75	48.83	LOW,LOW,15=14=15,OK,C3@21.49,22.51	48.51	VLOW,VLOW,12=9=11,OK,C3@15.52,16.48	47.80	VLOW,VLOW,6=16=12,B1,C2@16.25,17.75	68.55	OK,OK,33=29=14,OK,C2@52.10,23.90	64.36	VLOW,VLOW,11=11=6,OK,C2@18.02,9.98	60.92	VLOW,VLOW,10=9=6,OK,C3@15.23,9.77	83.77	VLOW,VLOW,12=9=2,OK,C2@19.27,3.73	-21.01
PHYKPL	HsaEX0003207	chr5:178222355-178222492	138	chr5:178222852,178222355-178222492+178222545+178222580+178222598+178222610,178214885	C2	81.69	SOK,SOK,71=72=16,OK,C2@129.89,29.11	80.37	LOW,LOW,18=15=4,OK,C2@29.74,7.26	82.35	OK,OK,34=22=6,OK,C2@51.06,10.94	81.82	OK,OK,19=35=6,OK,C2@49.09,10.91	64.53	SOK,SOK,42=89=36,B1,C3@107.77,59.23	51.22	OK,OK,15=27=20,OK,C3@31.76,30.24	78.46	OK,OK,17=34=7,OK,C2@45.51,12.49	67.86	LOW,LOW,10=28=9,B1,C3@31.89,15.11	61.09	SOK,SOK,44=66=35,OK,C3@88.58,56.42	66.04	OK,OK,15=20=9,OK,C2@29.06,14.94	52.78	OK,OK,15=23=17,OK,C3@29.03,25.97	67.20	LOW,LOW,14=23=9,OK,C3@30.91,15.09	-15.66
PHYKPL	HsaEX0003212	chr5:178225355-178225424	70	chr5:178229940,178225355-178225424+178225429,178214885	C3	71.07	SOK,SOK,45=63=22,OK,C3@92.39,37.61	82.37	LOW,LOW,12=16=3,OK,C3@25.53,5.47	67.31	OK,OK,17=24=10,OK,C3@34.33,16.67	68.39	OK,OK,16=23=9,OK,C3@32.83,15.17	56.96	SOK,SOK,56=79=51,OK,C3@105.95,80.05	54.18	OK,OK,24=35=25,OK,C3@45.51,38.49	61.74	OK,OK,16=26=13,OK,C3@33.96,21.04	56.60	LOW,LOW,16=18=13,OK,C3@26.60,20.40	61.10	SOK,SOK,63=72=43,OK,C3@108.76,69.24	65.15	OK,OK,18=27=12,OK,C3@37.14,19.86	55.65	OK,OK,22=18=16,OK,C3@31.16,24.84	62.52	OK,OK,23=27=15,OK,C3@40.64,24.36	-15.18
PHYKPL	HsaEX0003213	chr5:178224655-178224729	75	chr5:178225355,178224616+178224642+178224655-178224729,178214885	C3	70.68	SOK,SOK,59=66=26,OK,C3@106.73,44.27	80.62	LOW,LOW,15=18=4,OK,C3@29.83,7.17	69.06	OK,OK,23=26=11,OK,C3@41.44,18.56	66.19	OK,OK,21=22=11,OK,C3@35.74,18.26	55.66	SOK,SOK,73=69=57,OK,C3@110.76,88.24	54.06	OK,OK,33=30=27,OK,C3@48.65,41.35	62.62	OK,OK,24=26=15,OK,C3@40.70,24.30	49.36	LOW,LOW,16=13=15,OK,C3@21.72,22.28	51.05	SOK,SOK,62=48=53,OK,C3@83.21,79.79	56.55	OK,OK,24=15=15,OK,C3@30.54,23.46	43.51	LOW,LOW,15=14=19,OK,C3@20.88,27.12	52.60	OK,OK,23=19=19,OK,C3@32.09,28.91	-16.61
FCHSD1	HsaEX0025440	chr5:141642397-141642503	107	chr5:141643001,141642397-141642503,141641757	C1	38.32	OK,OK,13=28=33,B1,C1@28.36,45.64	41.18	VLOW,VLOW,5=9=10,OK,S@9.88,14.12	25.71	VLOW,VLOW,2=7=13,B1,C1@5.66,16.34	47.37	VLOW,VLOW,6=12=10,OK,S@13.26,14.74	21.85	OK,OK,11=22=59,OK,S@20.10,71.90	25.00	OK,OK,6=8=21,OK,S@8.75,26.25	20.00	LOW,LOW,4=4=16,OK,C1@4.80,19.20	20.00	OK,OK,1=10=22,B2,C1@6.60,26.40	26.96	OK,OK,4=27=42,B2,S@19.68,53.32	42.11	VLOW,VLOW,2=14=11,B2,S@11.37,15.63	13.04	OK,OK,1=5=20,B1,S@3.39,22.61	29.03	VLOW,VLOW,1=8=11,B2,S@5.81,14.19	-16.42
LINC01515	HsaEX1021056	chr10:65572935-65573056	122	chr10:65571579,65572935-65573056,65585485	C1	100.00	OK,OK,32=48=0,OK,C1@80.00,0.00	100.00	LOW,LOW,10=16=0,OK,S@26.00,0.00	100.00	LOW,LOW,14=21=0,OK,C1@35.00,0.00	100.00	VLOW,VLOW,8=11=0,OK,C1@19.00,0.00	83.33	OK,OK,21=49=7,B1,C1@64.16,12.84	79.31	VLOW,VLOW,5=18=3,B1,C1@20.62,5.38	88.24	VLOW,VLOW,9=21=2,B1,C1@28.24,3.76	80.95	VLOW,VLOW,7=10=2,OK,C2@15.38,3.62	96.08	OK,OK,28=21=1,OK,S@48.04,1.96	89.47	VLOW,VLOW,7=10=1,OK,C1@16.10,1.90	100.00	N,N,7=4=0,OK,S@11.00,0.00	100.00	VLOW,VLOW,14=7=0,OK,S@21.00,0.00	-17.17
ZNF883	HsaEX0074473	chr9:112999665-112999814	150	chr9:113001994,112999665-112999814,112999138	S	79.53	SOK,SOK,101=70=22,OK,S@153.49,39.51	80.33	OK,OK,30=19=6,OK,S@44.18,10.82	75.68	OK,OK,33=23=9,OK,S@49.19,15.81	82.50	OK,OK,38=28=7,OK,S@60.22,12.78	97.67	SOK,SOK,144=108=3,OK,S@249.06,5.94	97.56	OK,OK,44=36=1,OK,S@79.02,1.98	95.60	OK,OK,50=37=2,OK,S@85.08,3.92	100.00	OK,OK,50=35=0,OK,S@85.00,0.00	91.93	SOK,SOK,133=72=9,OK,S@196.73,17.27	88.06	OK,OK,41=18=4,B1,S@55.48,7.52	91.11	OK,OK,53=29=4,OK,S@78.35,7.65	96.97	OK,OK,39=25=1,OK,S@63.03,1.97	18.22
IMMP1L	HsaEX1017667	chr11:31452718-31453092	375	chr11:31456260,31452718-31453092,31449091	C3	14.26	OK,SOK,10=17=48,OK,C3@10.70,64.30	15.11	VLOW,OK,1=6=12,B2,C3@2.87,16.13	15.20	VLOW,OK,6=5=14,OK,C3@3.80,21.20	13.48	OK,OK,3=6=20,B1,C3@3.91,25.09	28.64	OK,SOK,33=24=39,OK,C3@27.49,68.51	34.85	VLOW,OK,17=9=13,OK,C3@13.59,25.41	17.39	LOW,OK,5=8=16,OK,C3@5.04,23.96	36.70	VLOW,LOW,11=7=10,OK,C3@10.28,17.72	13.69	OK,SOK,15=16=57,OK,C3@12.05,75.95	13.98	OK,OK,7=4=20,OK,C3@4.33,26.67	12.88	OK,OK,5=5=20,OK,C3@3.86,26.14	14.25	LOW,OK,3=7=17,B1,C3@3.85,23.15	15.05
