GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
RNF146	HsaEX0053917	chr6:127286050-127286177	128	chr6:127280340,127286050-127286177,127286616	C1	69.76	SOK,SOK,51=65=26,OK,C1@99.06,42.94	54.14	VLOW,VLOW,13=10=10,OK,C1@17.87,15.13	70.01	OK,OK,17=28=10,OK,C1@38.51,16.49	80.54	OK,OK,21=27=6,OK,C1@43.49,10.51	57.81	SOK,SOK,56=79=51,OK,C1@107.53,78.47	62.99	OK,OK,15=34=15,B1,S@40.31,23.69	57.99	OK,OK,20=28=18,OK,C1@38.27,27.73	52.02	OK,OK,21=17=18,OK,C1@29.13,26.87	49.05	SOK,SOK,26=59=46,B1,S@64.26,66.74	45.63	LOW,LOW,9=20=18,B1,S@21.45,25.55	53.02	VLOW,VLOW,8=18=12,B1,S@20.15,17.85	49.42	LOW,LOW,9=21=16,B1,S@22.73,23.27	-18.87
CCNT1	HsaEX0013676	chr12:48695999-48696141	143	chr12:48698138,48695999-48696141+48696162,48695806+48695829	S	58.23	SOK,SOK,68=84=56,OK,S@121.12,86.88	51.79	OK,OK,21=25=22,OK,S@35.22,32.78	57.19	OK,OK,18=29=18,OK,S@37.17,27.83	65.50	OK,OK,29=30=16,OK,S@49.12,25.87	75.27	SOK,SOK,107=130=40,OK,S@208.50,68.50	74.22	SOK,SOK,44=57=18,OK,S@88.32,30.68	78.76	OK,OK,22=36=8,OK,S@51.98,14.02	74.19	OK,OK,41=37=14,OK,S@68.25,23.75	83.80	SOK,SOK,120=121=24,OK,S@222.07,42.93	82.24	OK,OK,39=42=9,OK,S@74.02,15.98	83.04	OK,OK,39=37=8,OK,S@69.75,14.25	86.08	OK,OK,42=42=7,OK,S@78.33,12.67	25.63
ZNF426	HsaEX0073636	chr19:9535188-9535255	68	chr19:9536208,9535188-9535255+9535279+9535311,9533924+9533966+9533985+9534021	S	93.59	SOK,SOK,71=75=5,OK,S@141.32,9.68	90.00	OK,OK,16=20=2,OK,S@34.20,3.80	92.98	OK,OK,25=28=2,OK,S@51.14,3.86	96.61	OK,OK,30=27=1,OK,S@56.03,1.97	82.14	SOK,SOK,62=76=15,OK,S@125.67,27.33	81.54	OK,OK,23=30=6,OK,S@48.11,10.89	84.31	OK,OK,20=23=4,OK,S@39.63,7.37	80.77	OK,OK,19=23=5,OK,S@37.96,9.04	76.19	SOK,SOK,53=43=15,OK,S@84.57,26.43	80.00	VLOW,VLOW,17=7=3,B1,S@21.60,5.40	79.59	OK,OK,19=20=5,OK,S@35.02,8.98	70.21	LOW,LOW,17=16=7,OK,S@28.08,11.92	-16.60
C19orf12	HsaEX0009924	chr19:29705274-29705394	121	chr19:29708254,29705274-29705394,29702977	C1	32.47	SOK,SOK,36=14=52,B1,C2@33.12,68.88	28.00	LOW,LOW,12=2=18,B2,C2@8.96,23.04	43.86	LOW,LOW,15=10=16,OK,C2@17.98,23.02	23.40	LOW,LOW,9=2=18,B1,C2@6.79,22.21	32.16	SOK,SOK,44=11=58,B1,C2@36.34,76.66	39.39	OK,OK,23=3=20,B2,C2@18.12,27.88	46.67	VLOW,VLOW,16=5=12,B1,C2@15.40,17.60	13.33	OK,OK,5=3=26,OK,C2@4.53,29.47	50.00	OK,OK,41=19=30,B1,C2@45.00,45.00	56.10	VLOW,VLOW,14=9=9,OK,C1@17.95,14.05	44.44	VLOW,VLOW,14=2=10,B2,C2@11.55,14.45	48.84	VLOW,VLOW,13=8=11,OK,C1@15.63,16.37	18.04
MFSD13A	HsaEX0065620	chr10:102470923-102471117	195	chr10:102470075,102470665+102470923-102471117,102471273	C1	97.37	OK,OK,33=41=1,OK,C1@73.03,1.97	100.00	VLOW,VLOW,5=17=0,B1,S@22.00,0.00	91.30	VLOW,VLOW,14=7=1,OK,C1@20.09,1.91	100.00	LOW,LOW,14=17=0,OK,S@31.00,0.00	79.55	OK,OK,32=38=9,OK,S@62.84,16.16	80.49	LOW,LOW,16=17=4,OK,S@29.78,7.22	69.23	VLOW,VLOW,8=10=4,OK,S@15.23,6.77	90.48	VLOW,VLOW,8=11=1,OK,S@18.10,1.90	80.00	OK,OK,24=40=8,OK,C1@57.60,14.40	85.19	VLOW,VLOW,10=13=2,OK,C1@21.30,3.70	84.62	VLOW,VLOW,9=13=2,OK,C1@20.31,3.69	70.37	VLOW,VLOW,5=14=4,B1,S@16.19,6.81	-17.04
CSAD	HsaEX0017414	chr12:53171326-53171394	69	chr12:53171878+53171882+53171919,53171177+53171273+53171326-53171394+53171441+53171765,53170502	C1	75.66	SOK,SOK,49=37=14,OK,C1@75.66,24.34	72.28	LOW,LOW,17=14=6,OK,C1@26.74,10.26	93.17	LOW,LOW,15=12=1,OK,S@26.09,1.91	66.91	LOW,LOW,17=11=7,OK,C1@23.42,11.58	62.33	SOK,SOK,59=33=28,OK,S@74.80,45.20	57.45	LOW,LOW,22=13=13,OK,S@27.58,20.42	66.25	LOW,LOW,21=10=8,B1,S@25.84,13.16	65.15	LOW,LOW,16=10=7,OK,S@21.50,11.50	61.02	SOK,SOK,51=27=25,OK,S@62.85,40.15	64.90	VLOW,VLOW,11=11=6,OK,S@18.17,9.83	57.16	VLOW,VLOW,17=7=9,B1,S@18.86,14.14	61.59	VLOW,VLOW,23=9=10,B1,S@25.87,16.13	-16.23
ZSCAN32	HsaEX0073678	chr16:3393649-3393807	159	chr16:3397192,3393649-3393807+3393814,3384912+3384935+3384941	C2	50.96	SOK,SOK,36=39=36,OK,C3@56.57,54.43	45.33	VLOW,VLOW,9=11=12,OK,C2@14.51,17.49	57.08	LOW,LOW,18=14=12,OK,C3@25.12,18.88	48.94	VLOW,VLOW,9=14=12,OK,C3@17.13,17.87	69.71	SOK,SOK,72=57=28,OK,C3@109.44,47.56	70.27	OK,OK,28=24=11,OK,C3@44.27,18.73	73.77	OK,OK,26=19=8,OK,C3@39.10,13.90	63.92	LOW,LOW,18=14=9,OK,C3@26.21,14.79	67.27	SOK,SOK,71=40=27,OK,C2@92.83,45.17	57.38	LOW,LOW,23=12=13,OK,C3@27.54,20.46	65.62	OK,OK,25=17=11,OK,C2@34.78,18.22	85.00	LOW,LOW,23=11=3,B1,C2@31.45,5.55	18.88
DCLRE1C	HsaEX0018707	chr10:14947554-14947609	56	chr10:14949036,14947525+14947554-14947609,14945189	C1	13.87	OK,OK,6=13=59,B1,C1@10.82,67.18	14.29	LOW,LOW,2=4=18,OK,C1@3.43,20.57	13.85	OK,OK,3=6=28,OK,C1@5.12,31.88	13.33	VLOW,VLOW,1=3=13,B1,S@2.27,14.73	30.88	OK,OK,17=25=47,OK,C1@27.48,61.52	27.66	LOW,LOW,7=6=17,OK,C1@8.30,21.70	25.58	LOW,LOW,3=8=16,B1,C1@6.91,20.09	39.13	VLOW,VLOW,7=11=14,OK,C2@12.52,19.48	30.65	OK,OK,18=20=43,OK,C1@24.83,56.17	33.33	VLOW,VLOW,6=8=14,OK,S@9.33,18.67	35.14	VLOW,VLOW,5=8=12,OK,C2@8.79,16.22	24.44	LOW,LOW,7=4=17,OK,C1@6.84,21.16	17.15
BCL2L11	HsaEX0007889	chr2:111150044-111150147	104	chr2:111124139,111150044-111150147,111164133	C1	98.29	SOK,SOK,63=55=1,OK,C2@116.97,2.03	100.00	OK,OK,21=18=0,OK,C2@39.00,0.00	95.63	OK,OK,21=24=1,OK,C2@43.99,2.01	100.00	LOW,LOW,21=13=0,OK,C1@34.00,0.00	84.57	SOK,SOK,65=48=10,OK,C2@104.02,18.98	84.24	OK,OK,30=27=5,OK,C2@52.23,9.77	86.69	LOW,LOW,16=10=2,OK,C2@24.27,3.73	83.39	LOW,LOW,19=11=3,OK,C2@27.52,5.48	79.55	OK,OK,47=35=10,OK,C2@73.19,18.81	72.37	OK,OK,22=16=7,OK,C2@32.57,12.43	81.32	VLOW,VLOW,11=9=2,OK,C2@17.89,4.11	92.36	VLOW,VLOW,14=10=1,OK,C2@23.09,1.91	-16.52
MCOLN2	HsaEX0038295	chr1:84971936-84972034	99	chr1:84996796+84997008,84971936-84972034,84965708	S	17.48	SOK,SOK,20=16=85,OK,S@21.15,99.85	14.89	OK,OK,4=3=20,OK,S@4.02,22.98	16.67	OK,OK,5=7=30,OK,S@7.00,35.00	19.54	OK,OK,11=6=35,OK,S@10.16,41.84	32.47	SOK,SOK,44=31=78,OK,S@49.68,103.32	32.56	OK,OK,14=14=29,OK,S@18.56,38.44	29.41	OK,OK,15=10=30,OK,S@16.18,38.82	36.67	LOW,LOW,15=7=19,B1,S@15.03,25.97	32.20	SOK,SOK,36=21=60,OK,S@37.67,79.33	27.27	OK,OK,10=11=28,OK,S@13.36,35.64	36.00	LOW,LOW,11=7=16,OK,S@12.24,21.76	36.00	LOW,LOW,15=3=16,B1,S@12.24,21.76	16.06
ANKRD29	HsaEX0004452	chr18:23619531-23619629	99	chr18:23629853+23629857,23619395+23619531-23619629,23617827	S	52.10	OK,SOK,38=27=30,OK,C1@49.50,45.50	43.93	VLOW,VLOW,12=7=12,OK,S@13.62,17.38	50.00	VLOW,VLOW,12=10=11,OK,S@16.50,16.50	63.96	VLOW,VLOW,14=10=7,OK,C1@19.83,11.17	59.44	OK,OK,42=28=24,OK,S@55.87,38.13	59.31	VLOW,VLOW,23=6=10,B1,S@23.13,15.87	60.24	VLOW,VLOW,8=10=6,OK,S@14.46,9.54	58.99	VLOW,VLOW,11=12=8,OK,S@18.29,12.71	78.30	OK,OK,35=35=10,OK,C1@62.64,17.36	64.13	VLOW,VLOW,15=9=7,OK,C1@19.88,11.12	86.70	VLOW,VLOW,12=14=2,OK,S@24.28,3.72	90.91	VLOW,VLOW,8=12=1,OK,S@19.09,1.91	27.95
TPCN2	HsaEX0066649	chr11:69067506-69067605	100	chr11:69063967,69067503+69067506-69067605,69070430	C1	59.90	SOK,SOK,31=59=30,OK,C1@71.88,48.12	63.19	LOW,LOW,13=18=9,OK,C1@25.28,14.72	49.95	VLOW,VLOW,8=20=14,B1,C1@20.98,21.02	68.71	LOW,LOW,10=21=7,B1,C1@26.11,11.89	74.32	SOK,SOK,62=89=26,OK,C1@131.55,45.45	74.65	OK,OK,21=32=9,OK,C1@46.28,15.72	70.88	OK,OK,20=34=11,OK,C1@46.07,18.93	78.57	OK,OK,21=23=6,OK,C1@39.28,10.72	82.26	SOK,SOK,46=56=11,OK,C1@92.95,20.05	88.57	LOW,LOW,15=16=2,OK,C1@29.23,3.77	74.36	LOW,LOW,11=18=5,OK,C1@25.28,8.72	84.00	OK,OK,20=22=4,OK,C1@38.64,7.36	21.69
TCTN2	HsaEX0064288	chr12:123694842-123694976	135	chr12:123692723,123694842-123694976,123695220	S	75.56	OK,OK,44=24=11,OK,S@59.69,19.31	76.92	VLOW,VLOW,13=7=3,OK,S@17.69,5.31	80.00	VLOW,VLOW,14=10=3,OK,S@21.60,5.40	70.59	VLOW,VLOW,17=7=5,B1,S@20.47,8.53	89.19	SOK,SOK,55=44=6,OK,S@93.65,11.35	88.46	OK,OK,25=21=3,OK,S@43.35,5.65	86.67	VLOW,VLOW,14=12=2,OK,S@24.27,3.73	93.10	LOW,LOW,16=11=1,OK,S@26.07,1.93	93.18	OK,OK,37=45=3,OK,S@79.20,5.80	93.75	LOW,LOW,13=17=1,OK,S@29.06,1.94	93.55	LOW,LOW,11=18=1,OK,S@28.07,1.94	92.00	VLOW,VLOW,13=10=1,OK,S@22.08,1.92	17.26
GAA	HsaEX0026727	chr17:80101811-80101890	80	chr17:80101625+80101720,80101811-80101890+80101925,80104555	S	58.66	SOK,SOK,48=57=37,OK,S@83.30,58.70	61.70	LOW,LOW,14=15=9,OK,S@23.45,14.55	51.52	LOW,LOW,19=15=16,OK,S@25.76,24.24	63.64	OK,OK,15=27=12,OK,S@34.37,19.63	49.83	SOK,SOK,48=101=75,B1,S@111.62,112.38	47.11	OK,OK,18=39=32,B1,S@41.93,47.07	58.44	OK,OK,18=27=16,OK,S@35.65,25.35	46.53	OK,OK,12=35=27,B1,S@34.43,39.57	43.36	SOK,SOK,30=68=64,B1,S@70.24,91.76	44.26	LOW,LOW,9=18=17,OK,S@19.47,24.53	50.00	OK,OK,10=32=21,B1,S@31.50,31.50	35.80	OK,OK,11=18=26,OK,S@19.69,35.31	-15.60
C3orf33	HsaEX0010908	chr3:155802532-155802591	60	chr3:155806139+155806315,155802532-155802591,155775848	C1	82.86	OK,OK,41=46=9,OK,C1@79.55,16.45	80.95	VLOW,VLOW,6=11=2,OK,C1@15.38,3.62	84.62	LOW,LOW,20=13=3,OK,C1@30.46,5.54	82.22	OK,OK,15=22=4,OK,C1@33.71,7.29	92.38	SOK,SOK,52=45=4,OK,C1@93.30,7.70	91.67	OK,OK,27=17=2,OK,C1@42.17,3.83	100.00	LOW,LOW,15=18=0,OK,C1@33.00,0.00	83.33	VLOW,VLOW,10=10=2,OK,C1@18.33,3.67	100.00	OK,OK,35=41=0,OK,C1@76.00,0.00	100.00	VLOW,VLOW,10=13=0,OK,S@23.00,0.00	100.00	LOW,LOW,13=16=0,OK,C1@29.00,0.00	100.00	VLOW,VLOW,12=12=0,OK,C1@24.00,0.00	17.40
PHYKPL	HsaEX0003216	chr5:178222852-178222934	83	chr5:178224448,178222852-178222934,178214885	C3	82.21	SOK,SOK,75=71=16,OK,C3@133.18,28.82	83.45	OK,OK,22=18=4,OK,C3@36.72,7.28	84.79	OK,OK,32=34=6,OK,C3@61.05,10.95	77.18	OK,OK,21=19=6,OK,C3@35.50,10.50	64.12	SOK,SOK,80=43=35,OK,C3@101.31,56.69	51.67	OK,OK,24=16=19,OK,C3@30.49,28.51	78.42	OK,OK,33=17=7,OK,C3@44.70,12.30	65.13	LOW,LOW,23=10=9,B1,C3@27.35,14.65	62.81	SOK,SOK,64=46=33,OK,C3@89.82,53.18	72.72	OK,OK,26=16=8,OK,C3@36.36,13.64	48.70	LOW,LOW,14=16=16,OK,C3@22.40,23.60	68.10	LOW,LOW,24=14=9,OK,C3@32.01,14.99	-18.64
PHYKPL	HsaEX0003207	chr5:178222355-178222492	138	chr5:178222852,178222355-178222492+178222545+178222580+178222598+178222610,178214885	C2	81.69	SOK,SOK,71=72=16,OK,C2@129.89,29.11	80.37	LOW,LOW,18=15=4,OK,C2@29.74,7.26	82.35	OK,OK,34=22=6,OK,C2@51.06,10.94	81.82	OK,OK,19=35=6,OK,C2@49.09,10.91	64.53	SOK,SOK,42=89=36,B1,C3@107.77,59.23	51.22	OK,OK,15=27=20,OK,C3@31.76,30.24	78.46	OK,OK,17=34=7,OK,C2@45.51,12.49	67.86	LOW,LOW,10=28=9,B1,C3@31.89,15.11	61.09	SOK,SOK,44=66=35,OK,C3@88.58,56.42	66.04	OK,OK,15=20=9,OK,C2@29.06,14.94	52.78	OK,OK,15=23=17,OK,C3@29.03,25.97	67.20	LOW,LOW,14=23=9,OK,C3@30.91,15.09	-19.50
PHYKPL	HsaEX0003213	chr5:178224655-178224729	75	chr5:178225355,178224616+178224642+178224655-178224729,178214885	C3	70.68	SOK,SOK,59=66=26,OK,C3@106.73,44.27	80.62	LOW,LOW,15=18=4,OK,C3@29.83,7.17	69.06	OK,OK,23=26=11,OK,C3@41.44,18.56	66.19	OK,OK,21=22=11,OK,C3@35.74,18.26	55.66	SOK,SOK,73=69=57,OK,C3@110.76,88.24	54.06	OK,OK,33=30=27,OK,C3@48.65,41.35	62.62	OK,OK,24=26=15,OK,C3@40.70,24.30	49.36	LOW,LOW,16=13=15,OK,C3@21.72,22.28	51.05	SOK,SOK,62=48=53,OK,C3@83.21,79.79	56.55	OK,OK,24=15=15,OK,C3@30.54,23.46	43.51	LOW,LOW,15=14=19,OK,C3@20.88,27.12	52.60	OK,OK,23=19=19,OK,C3@32.09,28.91	-21.07
PHYKPL	HsaEX0003214	chr5:178224448-178224564	117	chr5:178224616+178224642+178224655,178224448-178224564,178222934	C1	61.87	SOK,SOK,58=51=34,OK,C1@88.47,54.53	54.35	LOW,LOW,11=15=11,OK,C1@20.11,16.89	60.29	OK,OK,23=19=14,OK,C1@33.76,22.24	69.90	OK,OK,24=17=9,OK,C2@34.95,15.05	53.84	SOK,SOK,70=58=56,OK,C2@99.07,84.93	41.35	OK,OK,28=12=29,B1,C2@28.53,40.47	68.38	OK,OK,28=27=13,OK,C2@46.50,21.50	54.48	LOW,LOW,14=19=14,OK,C2@25.61,21.39	43.62	SOK,SOK,45=40=56,OK,C2@61.50,79.50	49.63	LOW,LOW,14=17=16,OK,C2@23.33,23.67	40.23	LOW,LOW,14=11=19,OK,C2@17.70,26.30	41.27	OK,OK,17=12=21,OK,C2@20.64,29.36	-17.80
IRF7	HsaEX0032239	chr11:613951-614037	87	chr11:614174,613951-614037,613865	C1	91.19	OK,OK,41=40=4,OK,C1@77.51,7.49	85.44	VLOW,VLOW,13=10=2,OK,C1@21.36,3.64	94.40	LOW,LOW,16=17=1,OK,C1@32.10,1.90	92.76	VLOW,VLOW,12=13=1,OK,C1@24.12,1.88	81.92	OK,SOK,44=45=10,OK,C1@81.10,17.90	83.56	LOW,LOW,15=15=3,OK,S@27.57,5.43	80.28	LOW,LOW,17=15=4,OK,C1@28.90,7.10	82.12	LOW,LOW,12=15=3,OK,C1@24.64,5.36	70.24	OK,OK,36=24=13,OK,C1@51.28,21.72	84.26	VLOW,VLOW,13=8=2,OK,C1@19.38,3.62	78.18	VLOW,VLOW,12=9=3,OK,C1@18.76,5.24	53.56	VLOW,VLOW,11=7=8,OK,C1@13.93,12.07	-18.87
