GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
RASSF7	HsaEX0052492	chr11:563396-563478	83	chr11:563317+563347,563396-563478,563558	S	41.94	LOW,LOW,11=15=18,OK,S@18.45,25.55	100.00	N,N,5=5=0,OK,S@10.00,0.00	40.74	N,N,5=6=8,OK,S@7.74,11.26	20.00	VLOW,VLOW,1=4=10,B1,S@3.00,12.00	23.08	OK,OK,4=11=25,B1,S@9.23,30.77	23.81	N,N,0=5=8,Bn,S@3.10,9.90	30.00	N,N,3=3=7,OK,S@3.90,9.10	16.67	VLOW,VLOW,1=3=10,B1,S@2.33,11.67	28.36	OK,OK,7=12=24,OK,S@12.19,30.81	18.18	N,N,1=3=9,B1,S@2.36,10.64	38.46	N,N,3=7=8,B1,S@6.92,11.08	26.32	N,N,3=2=7,OK,S@3.16,8.84	-18.86
ARVCF	HsaEX0006128	chr22:19972358-19972411	54	chr22:19972737,19972358-19972411,19971971	S	67.44	LOW,LOW,12=17=7,OK,S@24.28,11.72	100.00	N,N,4=4=0,OK,S@8.00,0.00	66.67	N,N,2=6=2,B1,S@6.67,3.33	56.52	N,N,6=7=5,OK,S@10.17,7.83	93.10	VLOW,VLOW,14=13=1,OK,S@26.07,1.93	84.62	N,N,3=8=1,B1,S@10.15,1.85	100.00	N,N,5=4=0,OK,S@9.00,0.00	100.00	N,N,6=1=0,B2,S@7.00,0.00	93.55	LOW,LOW,13=16=1,OK,S@28.07,1.94	100.00	N,N,4=5=0,OK,S@9.00,0.00	100.00	N,N,5=4=0,OK,S@9.00,0.00	84.62	N,N,4=7=1,OK,S@10.15,1.85	25.66
ISM1	HsaEX0010516	chr20:13279634-13279898	265	chr20:13270743,13279634-13279898,13288540+13288586	S	93.10	VLOW,VLOW,9=18=1,OK,S@26.07,1.93	100.00	N,N,3=6=0,OK,S@9.00,0.00	84.62	N,N,4=7=1,OK,S@10.15,1.85	100.00	N,N,2=5=0,B1,S@7.00,0.00	77.78	LOW,LOW,15=13=4,OK,S@24.89,7.11	75.00	N,N,5=7=2,OK,S@10.50,3.50	75.00	N,N,7=5=2,OK,S@10.50,3.50	100.00	N,N,3=1=0,B1,S@4.00,0.00	100.00	VLOW,VLOW,14=9=0,OK,S@23.00,0.00	100.00	N,N,7=4=0,OK,S@11.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	-15.32
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	80.95	LOW,LOW,24=10=4,B1,S@30.76,7.24	100.00	N,N,4=1=0,B1,S@5.00,0.00	100.00	N,N,9=2=0,B1,S@11.00,0.00	69.23	VLOW,VLOW,11=7=4,OK,S@15.23,6.77	64.00	OK,OK,48=16=18,B1,S@52.48,29.52	60.00	N,N,23=4=9,B2,S@21.60,14.40	71.43	VLOW,VLOW,15=5=4,B1,S@17.14,6.86	62.96	VLOW,VLOW,10=7=5,OK,S@13.85,8.15	84.13	LOW,LOW,42=11=5,B1,S@48.80,9.20	76.92	N,N,16=4=3,B1,S@17.69,5.31	86.67	N,N,12=1=1,B2,S@12.13,1.87	90.91	VLOW,VLOW,14=6=1,B1,S@19.09,1.91	-16.95
GLI3	HsaEX0027614	chr7:41972367-41972627	261	chr7:41977558,41972337+41972367-41972627,41967923	S	100.00	LOW,LOW,15=11=0,OK,S@26.00,0.00	100.00	N,N,6=1=0,B2,S@7.00,0.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	100.00	N,N,4=5=0,OK,S@9.00,0.00	83.33	VLOW,VLOW,10=10=2,OK,S@18.33,3.67	100.00	N,N,2=4=0,OK,S@6.00,0.00	50.00	N,N,3=1=2,B1,S@3.00,3.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	100.00	VLOW,VLOW,8=13=0,OK,S@21.00,0.00	100.00	N,N,2=4=0,OK,S@6.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	100.00	N,N,2=7=0,B1,S@9.00,0.00	-16.67
NPHP3	HsaEX0043533	chr3:132699353-132699446	94	chr3:132699918,132699353-132699446+132699450,132697362	S	70.00	LOW,LOW,11=17=6,OK,S@23.80,10.20	80.00	N,N,2=6=1,B1,S@7.20,1.80	69.23	N,N,4=5=2,OK,S@7.62,3.38	64.71	N,N,5=6=3,OK,S@9.06,4.94	45.45	VLOW,VLOW,10=10=12,OK,S@14.54,17.46	36.36	N,N,3=5=7,OK,S@5.45,9.55	46.67	N,N,4=3=4,OK,S@5.13,5.87	71.43	N,N,3=2=1,OK,S@4.29,1.71	58.14	LOW,LOW,10=15=9,OK,S@19.77,14.23	60.00	N,N,4=5=3,OK,S@7.20,4.80	44.44	N,N,4=4=5,OK,S@5.78,7.22	80.00	N,N,2=6=1,B1,S@7.20,1.80	-24.55
FCF1	HsaEX0025397	chr14:74714877-74714943	67	chr14:74713507+74713552+74713620,74714872+74714877-74714943,74715821+74715951+74715994	S	62.79	LOW,LOW,18=10=9,B1,S@23.23,13.77	73.67	N,N,7=3=2,B1,S@8.84,3.16	56.02	N,N,5=4=4,OK,S@7.28,5.72	60.00	N,N,6=3=3,OK,S@7.20,4.80	82.98	LOW,LOW,13=26=4,OK,S@35.68,7.32	80.00	N,N,7=9=2,OK,S@14.40,3.60	83.33	N,N,3=7=1,B1,S@9.17,1.83	86.67	N,N,3=10=1,B1,S@12.13,1.87	69.91	OK,OK,22=29=12,OK,S@44.04,18.96	78.72	VLOW,VLOW,6=15=3,B1,S@18.89,5.11	79.16	N,N,7=7=2,OK,S@12.67,3.33	56.76	N,VLOW,9=7=7,OK,S@13.05,9.95	20.19
BAZ2B	HsaEX0007736	chr2:159397074-159397100	27	chr2:159397345,159397068+159397074-159397100,159395834	S	74.26	VLOW,OK,5=17=10,OK,S@23.76,8.24	78.58	N,LOW,3=7=4,OK,S@11.00,3.00	73.47	N,N,1=3=2,OK,S@4.41,1.59	68.34	N,VLOW,1=7=4,OK,S@8.20,3.80	55.58	LOW,LOW,2=20=18,B1,S@22.23,17.77	61.02	N,VLOW,1=13=9,B1,S@14.03,8.97	48.52	N,N,0=5=4,Bn,S@4.37,4.63	48.27	N,N,1=2=5,OK,S@3.86,4.14	79.19	VLOW,OK,5=14=7,OK,S@20.59,5.41	85.05	N,VLOW,3=3=2,B1,S@6.80,1.20	56.20	N,N,1=4=5,OK,S@5.62,4.38	100.00	N,VLOW,1=7=0,B1,S@8.00,0.00	-18.68
RHOT1	HsaEX1031255	chr17:32172937-32173060	124	chr17:32171077+32171101,32172937-32173060,32173831	S	62.50	VLOW,VLOW,12=13=6,OK,S@19.38,11.62	44.44	N,N,2=2=2,OK,S@2.67,3.33	81.48	N,N,4=7=1,OK,S@9.78,2.22	57.14	N,N,6=4=3,OK,S@7.43,5.57	83.52	LOW,LOW,12=26=3,B1,S@34.24,6.76	81.48	N,N,6=5=1,OK,S@9.78,2.22	83.87	N,N,3=10=1,B1,S@11.74,2.26	84.85	N,N,3=11=1,B1,S@12.73,2.27	88.37	VLOW,VLOW,8=11=1,OK,S@17.67,2.33	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	76.19	N,N,3=5=1,OK,S@6.86,2.14	21.02
MACF1	HsaEX0037166	chr1:39378461-39378523	63	chr1:39372596,39378461-39378523,39379203	S	90.70	OK,OK,19=20=2,OK,S@37.19,3.81	88.24	VLOW,VLOW,10=5=1,OK,S@14.12,1.88	87.50	N,N,6=8=1,OK,S@13.12,1.88	100.00	N,N,3=7=0,B1,S@10.00,0.00	73.77	OK,OK,23=22=8,OK,S@39.10,13.90	92.59	VLOW,VLOW,17=8=1,B1,S@24.07,1.93	69.23	N,N,2=7=2,B1,S@7.62,3.38	52.38	N,N,4=7=5,OK,S@8.38,7.62	94.44	LOW,LOW,16=18=1,OK,S@33.05,1.95	100.00	N,N,7=8=0,OK,S@15.00,0.00	100.00	N,N,4=4=0,OK,S@8.00,0.00	84.62	N,N,5=6=1,OK,S@10.15,1.85	-16.93
SEC14L4	HsaEX0056814	chr22:30503677-30503752	76	chr22:30505558,30503677-30503752+30503768,30495971	S	100.00	LOW,LOW,17=10=0,OK,S@27.00,0.00	100.00	N,N,9=3=0,B1,S@12.00,0.00	100.00	N,N,6=2=0,B1,S@8.00,0.00	100.00	N,N,2=5=0,B1,S@7.00,0.00	84.21	VLOW,VLOW,6=26=3,B1,S@29.47,5.53	80.00	N,N,2=6=1,B1,S@7.20,1.80	100.00	N,N,0=14=0,Bl,S@14.00,0.00	71.43	N,N,4=6=2,OK,S@8.57,3.43	100.00	VLOW,VLOW,7=18=0,B1,S@25.00,0.00	100.00	N,N,1=8=0,B2,S@9.00,0.00	100.00	N,N,3=6=0,OK,S@9.00,0.00	100.00	N,N,3=4=0,OK,S@7.00,0.00	-15.79
LRRCC1	HsaEX0036718	chr8:85109595-85109800	206	chr8:85107399+85107718,85109595-85109800,85110115	S	26.15	OK,OK,9=8=24,OK,S@10.72,30.28	36.84	N,N,4=3=6,OK,S@4.79,8.21	33.33	N,N,4=3=7,OK,S@4.67,9.33	12.00	VLOW,VLOW,1=2=11,OK,S@1.68,12.32	41.33	OK,OK,15=16=22,OK,S@21.90,31.10	48.72	VLOW,VLOW,9=10=10,OK,S@14.13,14.87	50.00	N,N,5=5=5,OK,S@7.50,7.50	12.50	N,N,1=1=7,OK,S@1.12,7.88	27.03	OK,OK,8=12=27,OK,S@12.70,34.30	28.57	N,N,1=3=5,B1,S@2.57,6.43	25.00	LOW,LOW,5=5=15,OK,S@6.25,18.75	30.00	N,N,2=4=7,OK,S@3.90,9.10	15.18
ARHGEF39	HsaEX0011575	chr9:35660094-35660967	874	chr9:35661713,35660094-35660967,35659173	S	88.41	VLOW,VLOW,5=56=4,B2,S@57.47,7.53	90.91	N,N,0=20=1,B3,S@19.09,1.91	90.48	N,N,3=16=1,B2,S@18.10,1.90	84.62	N,N,2=20=2,B2,S@20.31,3.69	72.15	VLOW,VLOW,4=53=11,B2,S@49.06,18.94	77.78	N,N,2=26=4,B2,S@24.89,7.11	61.90	N,N,1=12=4,B2,S@10.52,6.48	72.73	N,N,1=15=3,B2,S@13.82,5.18	72.41	VLOW,VLOW,3=60=12,B2,S@54.31,20.69	60.00	N,N,1=11=4,B2,S@9.60,6.40	84.21	N,N,1=31=3,B2,S@29.47,5.53	65.52	N,N,1=18=5,B2,S@15.72,8.28	-16.26
EGF	HsaEX0021797	chr4:109968971-109969119	149	chr4:109964537,109968971-109969119,109974703	S	100.00	VLOW,VLOW,7=11=0,OK,S@18.00,0.00	100.00	N,N,1=1=0,OK,S@2.00,0.00	100.00	N,N,4=1=0,B1,S@5.00,0.00	100.00	N,N,2=9=0,B1,S@11.00,0.00	68.00	VLOW,VLOW,11=6=4,OK,S@14.28,6.72	80.00	N,N,4=4=1,OK,S@7.20,1.80	66.67	N,N,3=1=1,B1,S@3.33,1.67	55.56	N,N,4=1=2,B1,S@3.89,3.11	66.67	N,N,4=8=3,OK,S@10.00,5.00	100.00	N,N,2=2=0,OK,S@4.00,0.00	66.67	N,N,0=4=1,Bn,S@3.33,1.67	50.00	N,N,2=2=2,OK,S@3.00,3.00	-32.00
PADI1	HsaEX6028757	chr1:17240635-17240760	126	chr1:17239783,17240604+17240635-17240760,17244010	S	100.00	VLOW,VLOW,16=6=0,B1,S@22.00,0.00	100.00	N,N,4=0=0,Bn,S@4.00,0.00	100.00	N,N,6=6=0,OK,S@12.00,0.00	100.00	N,N,6=0=0,Bn,S@6.00,0.00	82.86	LOW,LOW,16=13=3,OK,S@26.52,5.48	75.00	N,N,7=5=2,OK,S@10.50,3.50	100.00	N,N,5=6=0,OK,S@11.00,0.00	75.00	N,N,4=2=1,OK,S@5.25,1.75	87.50	VLOW,VLOW,14=14=2,OK,S@26.25,3.75	100.00	N,N,2=1=0,OK,S@3.00,0.00	85.71	N,N,6=6=1,OK,S@11.14,1.86	86.67	N,N,6=7=1,OK,S@12.13,1.87	-17.14
EFNA3	HsaEX0021749	chr1:155086128-155086205	78	chr1:155085942,155086128-155086205,155086413	S	72.41	OK,OK,38=25=12,OK,S@54.31,20.69	81.82	VLOW,VLOW,10=8=2,OK,S@16.36,3.64	63.16	VLOW,VLOW,14=10=7,OK,S@19.58,11.42	77.78	VLOW,VLOW,14=7=3,OK,S@18.67,5.33	92.59	OK,OK,45=30=3,OK,S@72.22,5.78	86.21	LOW,LOW,15=10=2,OK,S@23.28,3.72	100.00	LOW,LOW,17=11=0,OK,S@28.00,0.00	91.67	VLOW,VLOW,13=9=1,OK,S@21.08,1.92	78.57	OK,OK,43=23=9,OK,S@58.93,16.07	76.00	N,N,15=4=3,B1,S@16.72,5.28	81.82	VLOW,VLOW,7=11=2,OK,S@16.36,3.64	78.38	VLOW,VLOW,21=8=4,B1,S@25.87,7.13	20.18
HCN3	HsaEX0029358	chr1:155285724-155285852	129	chr1:155285311,155285624+155285724-155285852+155285964,155287070+155287075+155287173+155287249	S	95.56	OK,OK,23=20=1,OK,S@42.05,1.95	100.00	N,N,8=6=0,OK,S@14.00,0.00	100.00	N,N,4=7=0,OK,S@11.00,0.00	90.00	VLOW,VLOW,11=7=1,OK,S@17.10,1.90	79.17	OK,OK,18=20=5,OK,S@34.04,8.96	75.00	N,N,7=5=2,OK,S@10.50,3.50	76.47	N,N,8=5=2,OK,S@11.47,3.53	86.67	N,N,3=10=1,B1,S@12.13,1.87	91.11	OK,OK,25=16=2,OK,S@39.18,3.82	88.89	N,N,12=4=1,B1,S@15.11,1.89	100.00	N,N,5=7=0,OK,S@12.00,0.00	86.67	N,N,8=5=1,OK,S@12.13,1.87	-16.39
LYST	HsaEX6037428	chr1:235743979-235744157	179	chr1:235746336,235743979-235744157,235741628	S	100.00	VLOW,VLOW,9=13=0,OK,S@22.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	N,N,1=5=0,B1,S@6.00,0.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	82.86	LOW,LOW,19=10=3,OK,S@26.52,5.48	75.00	N,N,9=3=2,B1,S@10.50,3.50	100.00	N,N,4=3=0,OK,S@7.00,0.00	83.33	N,N,6=4=1,OK,S@9.17,1.83	100.00	LOW,LOW,16=10=0,OK,S@26.00,0.00	100.00	N,N,5=2=0,B1,S@7.00,0.00	100.00	N,N,6=3=0,OK,S@9.00,0.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	-17.14
IGSF1	HsaEX0031175	chrX:131399574-131399704	131	chrX:131578668,131399574-131399704,131389148	S	45.95	OK,OK,9=25=20,B1,S@24.81,29.19	44.44	N,N,3=5=5,OK,S@5.78,7.22	73.91	N,N,3=14=3,B1,S@14.78,5.22	27.27	VLOW,VLOW,3=6=12,OK,S@5.73,15.27	66.67	VLOW,VLOW,9=27=9,B1,S@30.00,15.00	53.85	N,N,4=10=6,B1,S@10.77,9.23	83.33	N,N,2=8=1,B1,S@9.17,1.83	75.00	N,N,3=9=2,B1,S@10.50,3.50	61.19	LOW,LOW,11=30=13,B1,S@33.04,20.96	55.56	N,N,2=8=4,B1,S@7.78,6.22	68.00	N,N,4=13=4,B1,S@14.28,6.72	58.33	N,N,5=9=5,OK,S@11.08,7.92	20.72
UTRN	HsaEX0070125	chr6:144516229-144516387	159	chr6:144514820,144516229-144516387,144516811	S	100.00	LOW,LOW,13=15=0,OK,S@28.00,0.00	100.00	N,N,7=3=0,B1,S@10.00,0.00	100.00	N,N,5=6=0,OK,S@11.00,0.00	100.00	N,N,1=6=0,B2,S@7.00,0.00	83.33	LOW,LOW,15=15=3,OK,S@27.50,5.50	78.95	N,N,9=6=2,OK,S@13.42,3.58	81.82	N,N,4=5=1,OK,S@8.18,1.82	100.00	N,N,2=4=0,OK,S@6.00,0.00	89.47	VLOW,VLOW,7=10=1,OK,S@16.10,1.90	80.00	N,N,2=6=1,B1,S@7.20,1.80	100.00	N,N,3=1=0,B1,S@4.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	-16.67
TRIP12	HsaEX1042043	chr2:229922882-229922999	118	chr2:229923148,229922882-229922999,229880128	S	68.12	VLOW,VLOW,3=44=11,B2,S@39.51,18.49	66.67	N,N,0=12=3,Bl,S@10.00,5.00	68.00	N,N,1=16=4,B2,S@14.28,6.72	69.23	N,N,2=16=4,B2,S@15.23,6.77	52.38	OK,OK,7=48=25,B2,S@41.90,38.10	46.34	VLOW,VLOW,3=16=11,B2,S@13.90,16.10	56.52	N,N,1=12=5,B2,S@10.17,7.83	56.10	N,N,3=20=9,B2,S@17.95,14.05	58.54	LOW,LOW,3=45=17,B2,S@38.05,26.95	58.82	N,N,1=19=7,B2,S@15.88,11.12	68.00	N,N,1=16=4,B2,S@14.28,6.72	47.83	N,N,1=10=6,B2,S@8.13,8.87	-15.74
ABCA5	HsaEX0000276	chr17:69289862-69290037	176	chr17:69291216,69289862-69290037,69289296	S	100.00	LOW,LOW,14=15=0,OK,S@29.00,0.00	100.00	N,N,6=4=0,OK,S@10.00,0.00	100.00	N,N,2=4=0,OK,S@6.00,0.00	100.00	N,N,6=7=0,OK,S@13.00,0.00	84.21	LOW,LOW,15=17=3,OK,S@29.47,5.53	84.62	N,N,5=6=1,OK,S@10.15,1.85	50.00	N,N,1=3=2,B1,S@3.00,3.00	100.00	N,N,9=8=0,OK,S@17.00,0.00	100.00	VLOW,VLOW,11=13=0,OK,S@24.00,0.00	100.00	N,N,2=4=0,OK,S@6.00,0.00	100.00	N,N,4=4=0,OK,S@8.00,0.00	100.00	N,N,5=5=0,OK,S@10.00,0.00	-15.79
