GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
FAM135A	HsaINT0059876	chr6:70502792-70522512	19721	chr6:70502636-70502791=70522513-70522586:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr6	70502792	70522512	+	70502636	70522586	ENSG00000082269
FASTK	HsaINT1013367	chr7:151077402-151077620	219	chr7:151077621-151077780=151077310-151077401:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	151077402	151077620	-	151077780	151077310	ENSG00000164896
BSCL2	HsaINT0018839	chr11:62690874-62691074	201	chr11:62691075-62691141=62690787-62690873:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	62690874	62691074	-	62691141	62690787	NA
PCSK9	HsaINT0121658	chr1:55057515-55058035	521	chr1:55057331-55057514=55058036-55058209:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	55057515	55058035	+	55057331	55058209	ENSG00000169174
SLC38A7	HsaINT0152919	chr16:58677425-58678332	908	chr16:58678333-58678474=58677326-58677424:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	58677425	58678332	-	58678474	58677326	ENSG00000103042
SNAPC4	HsaINT0155818	chr9:136376482-136377542	1061	chr9:136377543-136379299=136376349-136376481:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr9	136376482	136377542	-	136379299	136376349	ENSG00000165684
RAD54L	HsaINT0136707	chr1:46273748-46274137	390	chr1:46273624-46273747=46274138-46274216:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	46273748	46274137	+	46273624	46274216	ENSG00000085999
TRAPPC12	HsaINT0174063	chr2:3478934-3479218	285	chr2:3478846-3478933=3479219-3479567:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	3478934	3479218	+	3478846	3479567	ENSG00000171853
TPRA1	HsaINT0171499	chr3:127575810-127575939	130	chr3:127575940-127576050=127575749-127575809:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr3	127575810	127575939	-	127576050	127575749	ENSG00000163870
PILRB	HsaINT1048188	chr7:100356884-100358219	1336	chr7:100356394-100356883=100358220-100358366:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	100356884	100358219	+	100356394	100358366	NA
TNPO2	HsaINT0170476	chr19:12723366-12723768	403	chr19:12723769-12724011=12723249-12723365:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr19	12723366	12723768	-	12724011	12723249	ENSG00000105576
MCRS1	HsaINT0100961	chr12:49558730-49558842	113	chr12:49558843-49558970=49558320-49558729:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	49558730	49558842	-	49558970	49558320	ENSG00000187778
SHROOM1	HsaINT1041530	chr5:132826588-132827460	873	chr5:132827461-132827607=132826277-132826587:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr5	132826588	132827460	-	132827607	132826277	ENSG00000164403
KDM4A-AS1	HsaINT1017283	chr1:43700064-43702655	2592	chr1:43702656-43702728=43699923-43700063:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	43700064	43702655	-	43702728	43699923	ENSG00000236200
KYAT1	HsaINT0028665	chr9:128838368-128842653	4286	chr9:128842654-128842801=128838218-128838367:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr9	128838368	128842653	-	128842801	128838218	ENSG00000171097
DENND4B	HsaINT0046838	chr1:153939805-153940155	351	chr1:153940156-153940256=153939589-153939804:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	153939805	153940155	-	153940256	153939589	ENSG00000198837
LRRC41	HsaINT0096890	chr1:46279258-46279491	234	chr1:46279492-46279614=46279182-46279257:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	46279258	46279491	-	46279614	46279182	ENSG00000132128
SLC29A2	HsaINT0152228	chr11:66367549-66367771	223	chr11:66367772-66367869=66367464-66367548:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	66367549	66367771	-	66367869	66367464	ENSG00000174669
METTL17	HsaINT1022844	chr14:20996293-20996526	234	chr14:20996209-20996292=20996527-20996711:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr14	20996293	20996526	+	20996209	20996711	ENSG00000165792
DAPK3	HsaINT0044953	chr19:3961162-3963642	2481	chr19:3963643-3963669=3961009-3961161:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr19	3961162	3963642	-	3963669	3961009	ENSG00000167657
LINC00857	HsaINT1019018	chr10:80208232-80218018	9787	chr10:80207710-80208231=80218019-80219657:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr10	80208232	80218018	+	80207710	80219657	ENSG00000237523
PLXNA1	HsaINT0127899	chr3:127014117-127014181	65	chr3:127014020-127014116=127014182-127014375:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr3	127014117	127014181	+	127014020	127014375	ENSG00000114554
HINT2	HsaINT0076163	chr9:35813146-35813265	120	chr9:35813266-35813367=35812961-35813145:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr9	35813146	35813265	-	35813367	35812961	ENSG00000137133
FAM227A	HsaINT0095020	chr22:38597357-38599763	2407	chr22:38599764-38599921=38597204-38597356:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr22	38597357	38599763	-	38599921	38597204	ENSG00000184949
PHF6	HsaINT0124073	chrX:134425331-134425660	330	chrX:134425201-134425330=134425661-134428790:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chrX	134425331	134425660	+	134425201	134428790	ENSG00000156531
GABRE	HsaINT0067150	chrX:151955085-151955367	283	chrX:151955368-151955567=151953124-151955084:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chrX	151955085	151955367	-	151955567	151953124	ENSG00000102287
PCNX3	HsaINT0121501	chr11:65636690-65636765	76	chr11:65636391-65636689=65636766-65637439:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	65636690	65636765	+	65636391	65637439	ENSG00000197136
PRDM15	HsaINT1027927	chr21:41798497-41798582	86	chr21:41798583-41798743=41798225-41798496:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr21	41798497	41798582	-	41798743	41798225	ENSG00000141956
GTF2H3	HsaINT0073290	chr12:123655825-123659515	3691	chr12:123655771-123655824=123659516-123659584:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	123655825	123659515	+	123655771	123659584	ENSG00000111358
ABCB6	HsaINT0001039	chr2:219214187-219214388	202	chr2:219214389-219214498=219214121-219214186:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	219214187	219214388	-	219214498	219214121	NA
NDUFAF6	HsaINT0025145	chr8:94980974-95031994	51021	chr8:94980859-94980973=95031995-95032098:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr8	94980974	95031994	+	94980859	95032098	ENSG00000156170
TNFAIP1	HsaINT0169938	chr17:28341457-28342246	790	chr17:28341404-28341456=28342247-28342442:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	28341457	28342246	+	28341404	28342442	ENSG00000109079
BBS7	HsaINT0016940	chr4:121859179-121861503	2325	chr4:121861504-121861679=121858992-121859178:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr4	121859179	121861503	-	121861679	121858992	ENSG00000138686
TINAGL1	HsaINT0167267	chr1:31577459-31579203	1745	chr1:31577134-31577458=31579204-31579267:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	31577459	31579203	+	31577134	31579267	ENSG00000142910
ADA	HsaINT0003426	chr20:44619848-44620298	451	chr20:44620299-44620401=44619522-44619847:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr20	44619848	44620298	-	44620401	44619522	ENSG00000196839
RSBN1L	HsaINT0143562	chr7:77778447-77778529	83	chr7:77778338-77778446=77778530-77783022:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	77778447	77778529	+	77778338	77783022	ENSG00000187257
AGPAT1	HsaINT1003186	chr6:32170601-32170936	336	chr6:32170937-32171070=32170425-32170600:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr6	32170601	32170936	-	32171070	32170425	ENSG00000204310
RAD9A	HsaINT0136748	chr11:67396176-67396262	87	chr11:67396111-67396175=67396263-67396400:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	67396176	67396262	+	67396111	67396400	ENSG00000172613
BCL6B	HsaINT0017237	chr17:7024305-7024400	96	chr17:7024083-7024304=7024401-7024763:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	7024305	7024400	+	7024083	7024763	ENSG00000161940
HDDC3	HsaINT0074754	chr15:90931557-90931703	147	chr15:90931704-90931944=90930925-90931556:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr15	90931557	90931703	-	90931944	90930925	ENSG00000184508
FANCL	HsaINT0061910	chr2:58163518-58165723	2206	chr2:58165724-58165874=58163434-58163517:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	58163518	58165723	-	58165874	58163434	ENSG00000115392
HDAC7	HsaINT0074677	chr12:47794934-47795183	250	chr12:47795184-47795380=47794760-47794933:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	47794934	47795183	-	47795380	47794760	ENSG00000061273
USP21	HsaINT0178700	chr1:161164613-161164834	222	chr1:161164534-161164612=161164835-161164942:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	161164613	161164834	+	161164534	161164942	ENSG00000143258
WDFY1	HsaINT0181590	chr2:223899071-223901182	2112	chr2:223901183-223901333=223898958-223899070:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	223899071	223901182	-	223901333	223898958	ENSG00000085449
FLJ20021	HsaINT0064505	chr4:101348010-101348323	314	chr4:101347780-101348009=101348324-101348883:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr4	101348010	101348323	+	101347780	101348883	ENSG00000254531
ASIC3	HsaINT0002375	chr7:151050257-151050480	224	chr7:151050106-151050256=151050481-151050608:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	151050257	151050480	+	151050106	151050608	ENSG00000213199
PI4K2A	HsaINT0124494	chr10:97662969-97664884	1916	chr10:97662907-97662968=97664885-97664984:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr10	97662969	97664884	+	97662907	97664984	NA
KYAT1	HsaINT0028666	chr9:128838138-128838217	80	chr9:128838218-128838367=128838051-128838137:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr9	128838138	128838217	-	128838367	128838051	ENSG00000171097
TINF2	HsaINT0167282	chr14:24239932-24240063	132	chr14:24240064-24240155=24239643-24239931:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr14	24239932	24240063	-	24240155	24239643	ENSG00000092330
STK19	HsaINT1043194	chr6:31978999-31979413	415	chr6:31978903-31978998=31979414-31979553:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr6	31978999	31979413	+	31978903	31979553	ENSG00000204344
SCRN2	HsaINT0146145	chr17:47838003-47838269	267	chr17:47838270-47838450=47837700-47838002:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	47838003	47838269	-	47838450	47837700	ENSG00000141295
RETSAT	HsaINT0139474	chr2:85344166-85344238	73	chr2:85344239-85344348=85343999-85344165:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	85344166	85344238	-	85344348	85343999	ENSG00000042445
ATXN7L2	HsaINT0015860	chr1:109488466-109488846	381	chr1:109488383-109488465=109488847-109489100:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	109488466	109488846	+	109488383	109489100	ENSG00000162650
DMWD	HsaINT0049031	chr19:45784291-45785593	1303	chr19:45785594-45786871=45782947-45784290:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr19	45784291	45785593	-	45786871	45782947	NA
ATXN2L	HsaINT0015796	chr16:28830791-28830961	171	chr16:28830615-28830790=28830962-28831072:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	28830791	28830961	+	28830615	28831072	ENSG00000168488
TCF25	HsaINT0164933	chr16:89904206-89904937	732	chr16:89904118-89904205=89904938-89905096:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	89904206	89904937	+	89904118	89905096	ENSG00000141002
RTKN	HsaINT0143809	chr2:74428397-74428630	234	chr2:74428631-74428737=74428268-74428396:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	74428397	74428630	-	74428737	74428268	ENSG00000114993
ATF6B	HsaINT1004734	chr6:32115969-32116479	511	chr6:32116480-32116564=32115264-32115968:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr6	32115969	32116479	-	32116564	32115264	ENSG00000213676
ESPL1	HsaINT0058044	chr12:53291861-53291983	123	chr12:53291690-53291860=53291984-53292088:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	53291861	53291983	+	53291690	53292088	ENSG00000135476
ACVR2A	HsaINT0003378	chr2:147923112-147926030	2919	chr2:147922973-147923111=147926031-147926161:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	147923112	147926030	+	147922973	147926161	ENSG00000121989
ATR	HsaINT0015618	chr3:142449603-142453127	3525	chr3:142453128-142453233=142449237-142449602:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr3	142449603	142453127	-	142453233	142449237	ENSG00000175054
BAG5	HsaINT0016360	chr14:103561193-103562099	907	chr14:103562100-103562318=103556545-103561192:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr14	103561193	103562099	-	103562318	103556545	ENSG00000166170
LAMA5	HsaINT0090349	chr20:62312781-62312887	107	chr20:62312888-62313010=62312632-62312780:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr20	62312781	62312887	-	62313010	62312632	ENSG00000130702
TROAP	HsaINT0172911	chr12:49325885-49326075	191	chr12:49325747-49325884=49326076-49326158:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	49325885	49326075	+	49325747	49326158	ENSG00000135451
MUTYH	HsaINT0106976	chr1:45332960-45333096	137	chr1:45333097-45333170=45332918-45332959:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	45332960	45333096	-	45333170	45332918	ENSG00000132781
HPS4	HsaINT0077446	chr22:26465552-26466225	674	chr22:26466226-26466262=26465455-26465551:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr22	26465552	26466225	-	26466262	26465455	ENSG00000100099
MECR	HsaINT0101322	chr1:29196014-29196197	184	chr1:29196198-29196258=29195941-29196013:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	29196014	29196197	-	29196258	29195941	ENSG00000116353
ZNF619	HsaINT1047586	chr3:40482017-40482587	571	chr3:40481863-40482016=40482588-40482704:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr3	40482017	40482587	+	40481863	40482704	ENSG00000177873
ENO3	HsaINT1012558	chr17:4951225-4951827	603	chr17:4951095-4951224=4951828-4951914:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	4951225	4951827	+	4951095	4951914	ENSG00000108515
GUCD1	HsaINT0023185	chr22:24543101-24543841	741	chr22:24543842-24544083=24540438-24543100:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr22	24543101	24543841	-	24544083	24540438	ENSG00000138867
C8orf58	HsaINT0025196	chr8:22602644-22603194	551	chr8:22602537-22602643=22603195-22604150:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr8	22602644	22603194	+	22602537	22604150	ENSG00000241852
DIS3L	HsaINT0048236	chr15:66329400-66331874	2475	chr15:66329221-66329399=66331875-66332020:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr15	66329400	66331874	+	66329221	66332020	ENSG00000166938
MCIDAS	HsaINT0094165	chr5:55220807-55221015	209	chr5:55221016-55221126=55219965-55220806:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr5	55220807	55221015	-	55221126	55219965	ENSG00000234602
ACSF2	HsaINT0002855	chr17:50462586-50463155	570	chr17:50462420-50462585=50463156-50463251:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	50462586	50463155	+	50462420	50463251	ENSG00000167107
CLCN7	HsaINT0036005	chr16:1459188-1460417	1230	chr16:1460418-1460527=1459107-1459187:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	1459188	1460417	-	1460527	1459107	ENSG00000103249
ESPL1	HsaINT0058042	chr12:53290470-53290840	371	chr12:53290347-53290469=53290841-53290996:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	53290470	53290840	+	53290347	53290996	ENSG00000135476
ZNF165	HsaINT0186286	chr6:28086311-28088562	2252	chr6:28086172-28086310=28088563-28089563:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr6	28086311	28088562	+	28086172	28089563	ENSG00000197279
CNEP1R1	HsaINT0168804	chr16:50029799-50033396	3598	chr16:50029725-50029798=50033397-50033506:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	50029799	50033396	+	50029725	50033506	ENSG00000205423
AGRN	HsaINT0005684	chr1:1046089-1046159	71	chr1:1045964-1046088=1046160-1046265:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	1046089	1046159	+	1045964	1046265	ENSG00000188157
C11orf49	HsaINT0019818	chr11:47137730-47155175	17446	chr11:47137645-47137729=47155176-47155261:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	47137730	47155175	+	47137645	47155261	ENSG00000149179
HGH1	HsaINT1015437	chr8:144138814-144139008	195	chr8:144138715-144138813=144139009-144139100:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr8	144138814	144139008	+	144138715	144139100	ENSG00000235173
ZNF280D	HsaINT0186741	chr15:56635251-56642951	7701	chr15:56642952-56642997=56635195-56635250:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr15	56635251	56642951	-	56642997	56635195	ENSG00000137871
STARD4	HsaINT0160363	chr5:111500107-111501001	895	chr5:111501002-111501116=111496033-111500106:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr5	111500107	111501001	-	111501116	111496033	ENSG00000164211
SH2B2	HsaINT1041435	chr7:102308907-102314335	5429	chr7:102308815-102308906=102314336-102314427:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	102308907	102314335	+	102308815	102314427	ENSG00000160999
SRRM2	HsaINT0159179	chr16:2759048-2759139	92	chr16:2758985-2759047=2759140-2759172:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	2759048	2759139	+	2758985	2759172	ENSG00000167978
STAC3	HsaINT0160112	chr12:57244226-57244314	89	chr12:57244315-57244366=57244088-57244225:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	57244226	57244314	-	57244366	57244088	ENSG00000185482
LTN1	HsaINT0097683	chr21:28960707-28965864	5158	chr21:28965865-28965906=28960517-28960706:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr21	28960707	28965864	-	28965906	28960517	ENSG00000198862
L3MBTL1	HsaINT0089925	chr20:43514777-43515008	232	chr20:43514635-43514776=43515009-43515159:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr20	43514777	43515008	+	43514635	43515159	ENSG00000185513
TMEM214	HsaINT0168967	chr2:27036593-27036704	112	chr2:27036487-27036592=27036705-27036786:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	27036593	27036704	+	27036487	27036786	ENSG00000119777
DCAF4	HsaINT1010650	chr14:72956501-72958611	2111	chr14:72956386-72956500=72958612-72959121:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr14	72956501	72958611	+	72956386	72959121	ENSG00000119599
ANKFY1	HsaINT0008235	chr17:4170862-4172555	1694	chr17:4172556-4172680=4170715-4170861:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	4170862	4172555	-	4172680	4170715	ENSG00000185722
RINT1	HsaINT0140880	chr7:105565458-105565529	72	chr7:105565277-105565457=105565530-105565648:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	105565458	105565529	+	105565277	105565648	ENSG00000135249
TAF6L	HsaINT0163528	chr11:62778336-62778868	533	chr11:62778285-62778335=62778869-62778963:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	62778336	62778868	+	62778285	62778963	ENSG00000162227
STRADB	HsaINT1043255	chr2:201478602-201479488	887	chr2:201478357-201478601=201479489-201479531:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	201478602	201479488	+	201478357	201479531	ENSG00000082146
PRPF39	HsaINT1028102	chr14:45096759-45096886	128	chr14:45096424-45096758=45096887-45097005:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr14	45096759	45096886	+	45096424	45097005	ENSG00000185246
IQCG	HsaINT0081727	chr3:197945687-197959528	13842	chr3:197959529-197959719=197945620-197945686:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr3	197945687	197959528	-	197959719	197945620	ENSG00000114473
CASC3	HsaINT0027865	chr17:40167949-40168202	254	chr17:40167850-40167948=40168203-40168417:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	40167949	40168202	+	40167850	40168417	ENSG00000108349
ATG14	HsaINT0013901	chr14:55380691-55381961	1271	chr14:55381962-55382191=55380573-55380690:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr14	55380691	55381961	-	55382191	55380573	ENSG00000126775
AP2A1	HsaINT0010040	chr19:49806254-49806680	427	chr19:49806119-49806253=49806681-49807112:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr19	49806254	49806680	+	49806119	49807112	ENSG00000196961
KLHL21	HsaINT0088688	chr1:6595558-6599046	3489	chr1:6599047-6599452=6595485-6595557:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	6595558	6599046	-	6599452	6595485	ENSG00000162413
CAMK1G	HsaINT0026999	chr1:209607934-209608979	1046	chr1:209607858-209607933=209608980-209609092:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	209607934	209608979	+	209607858	209609092	ENSG00000008118
CHRNA5	HsaINT1007686	chr15:78590637-78593091	2455	chr15:78589805-78590636=78593092-78595269:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr15	78590637	78593091	+	78589805	78595269	ENSG00000169684
KIF18B	HsaINT0087619	chr17:44934936-44935258	323	chr17:44935259-44935416=44934831-44934935:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	44934936	44935258	-	44935416	44934831	ENSG00000186185
IVD	HsaINT0083446	chr15:40415483-40416077	595	chr15:40415401-40415482=40416078-40416182:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr15	40415483	40416077	+	40415401	40416182	ENSG00000128928
ARHGEF4	HsaINT0012093	chr2:131041463-131041814	352	chr2:131041230-131041462=131041815-131041944:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	131041463	131041814	+	131041230	131041944	ENSG00000136002
FPGS	HsaINT0065773	chr9:127807689-127808233	545	chr9:127807586-127807688=127808234-127808301:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr9	127807689	127808233	+	127807586	127808301	ENSG00000136877
TBC1D10B	HsaINT0163960	chr16:30359842-30364899	5058	chr16:30364900-30365006=30359727-30359841:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	30359842	30364899	-	30365006	30359727	ENSG00000169221
