GENE	EVENT	AS_TYPE	dPSI_SRRM2_HeLa	direction_SRRM2_HeLa
FDPS	HsaALTD0002539-3/3	Alt. Donor	29.81	UP
EVI5L	HsaALTA1031656-3/3	Alt. Acceptor	29.700000000000003	UP
RBL1	HsaEX0052594	Exon	29.639999999999993	UP
SARAF	HsaEX0065944	Exon	29.560000000000002	UP
KIRREL	HsaALTA0004603-1/2	Alt. Acceptor	29.47	UP
NEBL	HsaEX0042365	Exon	29.380000000000003	UP
DGKE	HsaALTD1028132-2/2	Alt. Donor	29.1	UP
TMEM43	HsaINT0169120	Intron	29.06	UP
IMPA2	HsaALTD1023927-2/2	Alt. Donor	28.92	UP
TMEM161B	HsaALTD0006609-1/3	Alt. Donor	28.919999999999995	UP
DDIAS	HsaEX0009086	Exon	28.79	UP
ZNF821	HsaALTD1008971-2/2	Alt. Donor	28.71	UP
DMXL2	HsaEX0020055	Exon	28.71	UP
MPP3	HsaEX0039967	Exon	28.71	UP
POMT2	HsaEX0049172	Exon	28.67	UP
NA	HsaEX1000538	Exon	28.64	UP
DCP2	HsaEX0018731	Exon	28.569999999999993	UP
TMEM120B	HsaEX0065421	Exon	28.569999999999993	UP
CACNB3	HsaINT0026583	Intron	28.11	UP
PAFAH2	HsaEX0045237	Exon	28.07999999999999	UP
ZGRF1	HsaALTD1022781-1/2	Alt. Donor	28	UP
UGT8	HsaALTD1036952-2/2	Alt. Donor	27.999999999999996	UP
ZNF780B	HsaINT0188380	Intron	27.939999999999998	UP
TMOD4	HsaINT0169603	Intron	27.8	UP
KLHL24	HsaALTD1051628-3/3	Alt. Donor	27.28000000000001	UP
CCDC68	HsaALTA1042894-1/2	Alt. Acceptor	27.15	UP
TIMM23B	HsaALTD1043472-1/4	Alt. Donor	27.039999999999992	UP
TTC3	HsaINT1045539	Intron	27.02	UP
KDM4B	HsaEX0033286	Exon	26.959999999999994	UP
HNRNPA1	HsaALTA1063495-1/4	Alt. Acceptor	26.950000000000003	UP
PKDCC	HsaINT0125918	Intron	26.95	UP
C1orf109	HsaALTD0000889-2/3	Alt. Donor	26.799999999999997	UP
SLC38A7	HsaEX0059588	Exon	26.77000000000001	UP
BCAR1	HsaINT0017032	Intron	26.729999999999997	UP
PTP4A3	HsaALTD1039681-1/2	Alt. Donor	26.68	UP
SLC35G1	HsaALTD0006629-2/2	Alt. Donor	26.67	UP
LRP5	HsaINT0096523	Intron	26.67	UP
KIF7	HsaALTA1043039-1/3	Alt. Acceptor	26.53	UP
NEBL	HsaEX0042367	Exon	26.48	UP
ARFRP1	HsaINT0011200	Intron	26.450000000000003	UP
TPM3	HsaALTA1032336-2/2	Alt. Acceptor	26.440000000000005	UP
KCNMB4	HsaALTD1021051-2/2	Alt. Donor	26.33	UP
NUP214	HsaALTA1022830-2/3	Alt. Acceptor	26.23	UP
RP11-21L23.3	HsaALTD1052643-1/3	Alt. Donor	26.21	UP
JOSD2	HsaEX6096383	Exon	26.209999999999994	UP
ETHE1	HsaALTD1051121-2/2	Alt. Donor	26.18	UP
ZNF283	HsaEX0073353	Exon	26.169999999999998	UP
NA	HsaEX1000573	Exon	26.119999999999997	UP
PLEKHM2	HsaEX6028633	Exon	26.090000000000003	UP
NCOA3	HsaALTD0004212-1/2	Alt. Donor	26.020000000000003	UP
CUX1	HsaALTA0002270-1/3	Alt. Acceptor	25.939999999999998	UP
IST1	HsaALTA0004511-1/2	Alt. Acceptor	25.88	UP
BAZ2A	HsaEX0007723	Exon	25.870000000000005	UP
SERF2	HsaALTD0005789-1/4	Alt. Donor	25.86	UP
CHKA	HsaEX0015190	Exon	25.830000000000005	UP
PAPD4	HsaALTA0006061-2/2	Alt. Acceptor	25.739999999999995	UP
PRELID1	HsaALTA1044728-1/6	Alt. Acceptor	25.730000000000004	UP
PDE4D	HsaEX1027451	Exon	25.700000000000003	UP
ZNF133	HsaEX0073028	Exon	25.68	UP
BRAT1	HsaEX0011421	Exon	25.639999999999997	UP
DGKE	HsaALTD1028130-1/3	Alt. Donor	25.560000000000002	UP
ST5	HsaEX0062006	Exon	25.560000000000002	UP
IL1RAP	HsaEX0031421	Exon	25.55	UP
ZGRF1	HsaALTD1053744-1/4	Alt. Donor	25.46	UP
EDRF1	HsaEX0008795	Exon	25.439999999999998	UP
SQLE	HsaALTD1009574-2/2	Alt. Donor	25.4	UP
CTBS	HsaALTD1050821-1/2	Alt. Donor	25.389999999999993	UP
DLG5	HsaEX0019912	Exon	25.370000000000005	UP
ATP6V0A4	HsaEX6010767	Exon	25.36	UP
FAM200B	HsaINT1013129	Intron	25.320000000000007	UP
ZNF594	HsaALTD1053809-1/2	Alt. Donor	25.309999999999995	UP
AC005154.6	HsaEX1001620	Exon	25.269999999999996	UP
SLC25A26	HsaEX0059049	Exon	25.260000000000005	UP
ARHGAP27P1-BPTFP1-KPNA2P3	HsaEX1004491	Exon	25.260000000000005	UP
FAM189B	HsaALTA0003146-1/2	Alt. Acceptor	25.180000000000007	UP
HOXC6	HsaALTA0004090-1/2	Alt. Acceptor	25.17000000000001	UP
TANGO2	HsaEX6025851	Exon	25.150000000000006	UP
AAK1	HsaALTA0000011-2/2	Alt. Acceptor	25.130000000000003	UP
CBFA2T2	HsaEX0012711	Exon	25.120000000000005	UP
ZNF772	HsaEX0074327	Exon	25.049999999999997	UP
MAPKAPK5	HsaALTA1008437-3/3	Alt. Acceptor	25	UP
CLTCL1	HsaEX0000824	Exon	25	UP
PDK4	HsaINT0122545	Intron	24.91	UP
SLC25A51	HsaEX0038180	Exon	24.79	UP
ZNF165	HsaALTD1042116-2/4	Alt. Donor	24.769999999999996	UP
BFSP1	HsaEX0008056	Exon	24.689999999999998	UP
SIRT3	HsaALTD1024224-1/2	Alt. Donor	24.650000000000002	UP
EML6	HsaEX0022392	Exon	24.64	UP
CH17-360D5.2	HsaEX1008596	Exon	24.64	UP
TTN-AS1	HsaALTA1059163-1/2	Alt. Acceptor	24.63	UP
STAT2	HsaALTA1045412-2/2	Alt. Acceptor	24.580000000000002	UP
MFSD14C	HsaEX1023496	Exon	24.58	UP
NAGLU	HsaINT0109798	Intron	24.570000000000004	UP
USP10	HsaALTA1012052-1/2	Alt. Acceptor	24.52	UP
KIF18B	HsaALTA0004581-1/2	Alt. Acceptor	24.499999999999996	UP
HMGN2	HsaALTD1043136-4/5	Alt. Donor	24.499999999999993	UP
ZSCAN25	HsaEX0073797	Exon	24.489999999999995	UP
SNHG17	HsaALTD1041820-4/6	Alt. Donor	24.41	UP
GNAI2	HsaINT0070021	Intron	24.41	UP
NEBL	HsaEX0042366	Exon	24.409999999999997	UP
ARL15	HsaEX0005859	Exon	24.39	UP
SYNE2	HsaALTD1002480-2/2	Alt. Donor	24.269999999999996	UP
MDN1	HsaALTD1012663-2/2	Alt. Donor	24.239999999999995	UP
VWA8	HsaEX0033738	Exon	24.239999999999995	UP
EEF1A1	HsaALTD1028918-5/9	Alt. Donor	24.180000000000003	UP
COL13A1	HsaEX0016310	Exon	24.040000000000003	UP
FANK1	HsaEX0024855	Exon	24	UP
SLC35B4	HsaEX0059406	Exon	24	UP
KRT10	HsaINT0089342	Intron	23.970000000000002	UP
DNMT1	HsaALTD1018893-1/3	Alt. Donor	23.929999999999993	UP
WHRN	HsaINT0047098	Intron	23.86	UP
AC091878.1	HsaEX0001381	Exon	23.840000000000003	UP
PTGES3	HsaALTD1012160-1/2	Alt. Donor	23.78	UP
GHRLOS	HsaALTD1046615-1/2	Alt. Donor	23.769999999999996	UP
ENOSF1	HsaEX0022479	Exon	23.769999999999996	UP
SYMPK	HsaINT0162481	Intron	23.76	UP
SH2B1	HsaALTA0007750-1/2	Alt. Acceptor	23.67	UP
DVL1	HsaALTD0002073-1/2	Alt. Donor	23.660000000000004	UP
FAM208B	HsaEX0008813	Exon	23.64	UP
MOV10	HsaINT0104490	Intron	23.63	UP
SEC24B	HsaEX0056909	Exon	23.619999999999997	UP
MSH5	HsaINT1048166	Intron	23.590000000000003	UP
TRAF6	HsaINT0171767	Intron	23.55	UP
ZNF7	HsaALTA0009895-2/7	Alt. Acceptor	23.549999999999997	UP
SYDE2	HsaALTA1009667-2/2	Alt. Acceptor	23.53	UP
MIR762HG	HsaALTA1061562-1/2	Alt. Acceptor	23.53	UP
TPM3	HsaEX0066692	Exon	23.53	UP
NAA60	HsaALTD0004180-1/3	Alt. Donor	23.500000000000007	UP
SEC16A	HsaALTA0007561-1/5	Alt. Acceptor	23.47	UP
DDX51	HsaINT0046364	Intron	23.47	UP
FAM135A	HsaINT0059876	Intron	23.46	UP
TAF1	HsaALTA1063764-2/2	Alt. Acceptor	23.36	UP
CGGBP1	HsaALTD1050678-1/5	Alt. Donor	23.33	UP
AHDC1	HsaALTA1022743-2/2	Alt. Acceptor	23.270000000000003	UP
RREB1	HsaEX1035698	Exon	23.25	UP
SLC27A4	HsaEX0059221	Exon	23.22	UP
TAF1	HsaALTD1026157-2/2	Alt. Donor	23.21	UP
SYNRG	HsaALTA1062847-1/3	Alt. Acceptor	23.13	UP
CCDC138	HsaEX0013034	Exon	23.110000000000007	UP
FASTK	HsaINT1013367	Intron	23.040000000000006	UP
MMAA	HsaALTA1035483-2/2	Alt. Acceptor	23.010000000000005	UP
BSCL2	HsaINT0018839	Intron	23	UP
RP11-849H4.2	HsaEX1034888	Exon	22.89	UP
HMBOX1	HsaALTA0004037-3/3	Alt. Acceptor	22.870000000000005	UP
EPC1	HsaALTD1015569-2/3	Alt. Donor	22.86	UP
DECR1	HsaEX0019047	Exon	22.80000000000001	UP
LRIG1	HsaEX0036374	Exon	22.790000000000006	UP
KIAA0430	HsaALTA0004521-2/4	Alt. Acceptor	22.79	UP
ATP11A	HsaALTA0000781-3/3	Alt. Acceptor	22.770000000000003	UP
POLM	HsaALTD0004928-2/3	Alt. Donor	22.75	UP
THAP5	HsaALTD1037876-1/4	Alt. Donor	22.739999999999995	UP
HAGHL	HsaALTD0002961-2/2	Alt. Donor	22.729999999999997	UP
SEC24D	HsaALTA0007576-2/2	Alt. Acceptor	22.7	UP
RHEBL1	HsaEX0053494	Exon	22.64	UP
SOAT1	HsaALTD1002619-1/2	Alt. Donor	22.619999999999997	UP
MEPCE	HsaALTA1033835-2/2	Alt. Acceptor	22.61	UP
POGLUT1	HsaALTD1031317-1/2	Alt. Donor	22.58	UP
PCSK9	HsaINT0121658	Intron	22.509999999999998	UP
C1orf101	HsaALTD1038324-1/3	Alt. Donor	22.5	UP
SH3RF2	HsaALTA1037418-2/2	Alt. Acceptor	22.489999999999995	UP
SLC38A7	HsaINT0152919	Intron	22.479999999999997	UP
GTF3C1	HsaALTD0002930-1/3	Alt. Donor	22.47	UP
NOD1	HsaALTD0004342-1/3	Alt. Donor	22.46	UP
BOK	HsaALTD1037558-2/3	Alt. Donor	22.439999999999998	UP
NSD3	HsaEX0071501	Exon	22.439999999999998	UP
MIR193BHG	HsaALTD1048800-2/2	Alt. Donor	22.42	UP
GPATCH2	HsaEX0028107	Exon	22.39	UP
CRTC2	HsaALTA0002175-1/2	Alt. Acceptor	22.320000000000007	UP
PGAM5	HsaALTD1047073-1/2	Alt. Donor	22.250000000000004	UP
OSGEP	HsaALTD1006739-3/3	Alt. Donor	22.23	UP
MAP4K5	HsaALTA1001475-1/2	Alt. Acceptor	22.22	UP
POMT1	HsaALTA1024350-1/5	Alt. Acceptor	22.22	UP
SLC25A12	HsaEX0058973	Exon	22.22	UP
TXNDC11	HsaEX0068438	Exon	22.22	UP
VPS13D	HsaEX0070524	Exon	22.22	UP
LINC00857	HsaALTD1046458-2/2	Alt. Donor	22.159999999999997	UP
CATSPER2	HsaALTA0001499-2/2	Alt. Acceptor	22.140000000000004	UP
DOCK11	HsaEX0020547	Exon	22.130000000000003	UP
WDR53	HsaALTD0007199-3/3	Alt. Donor	22.03000000000001	UP
ANO2	HsaEX0004644	Exon	22.009999999999998	UP
SERTAD4	HsaEX1036614	Exon	21.989999999999995	UP
RBM33	HsaALTA0007058-2/2	Alt. Acceptor	21.97	UP
RNF146	HsaEX0053917	Exon	21.959999999999994	UP
YIF1B	HsaALTD1033948-2/2	Alt. Donor	21.93	UP
RP11-706O15.1	HsaEX1034556	Exon	21.909999999999997	UP
BICC1	HsaEX0008075	Exon	21.900000000000002	UP
GANAB	HsaALTD1006341-2/2	Alt. Donor	21.89	UP
CEP112	HsaEX0013287	Exon	21.89	UP
C16orf70	HsaEX6044302	Exon	21.870000000000005	UP
SNAPC4	HsaINT0155818	Intron	21.87	UP
ZSCAN5A	HsaALTA0009941-1/2	Alt. Acceptor	21.869999999999997	UP
INTS14	HsaALTD0000836-2/4	Alt. Donor	21.82999999999999	UP
RHOT2	HsaALTA0007178-1/2	Alt. Acceptor	21.78	UP
ORMDL3	HsaALTA0005971-1/2	Alt. Acceptor	21.740000000000002	UP
PI4KA	HsaALTD1046732-1/2	Alt. Donor	21.730000000000004	UP
STRIP2	HsaEX0024457	Exon	21.66	UP
MEIS1	HsaEX0038792	Exon	21.64999999999999	UP
SIPA1L1	HsaEX0058387	Exon	21.629999999999995	UP
RAD54L	HsaINT0136707	Intron	21.62	UP
RHOD	HsaEX0053518	Exon	21.590000000000003	UP
KDM4B	HsaEX0033285	Exon	21.510000000000005	UP
SFXN5	HsaEX0057755	Exon	21.510000000000005	UP
TRAPPC12	HsaINT0174063	Intron	21.51	UP
MGAT5	HsaALTA1063548-2/2	Alt. Acceptor	21.5	UP
MFSD14C	HsaEX1023495	Exon	21.490000000000002	UP
ATP6V0A4	HsaEX6010768	Exon	21.480000000000004	UP
STK19	HsaEX0062457	Exon	21.429999999999993	UP
TPRA1	HsaINT0171499	Intron	21.410000000000004	UP
HPS4	HsaEX0030427	Exon	21.39	UP
TAF1C	HsaALTA0008436-1/5	Alt. Acceptor	21.38	UP
SYNE2	HsaALTA1003439-2/2	Alt. Acceptor	21.36	UP
MORC4	HsaEX0039807	Exon	21.33	UP
ZNF696	HsaALTD0007501-2/3	Alt. Donor	21.32	UP
DENND3	HsaEX0019164	Exon	21.28	UP
ZCCHC11	HsaEX0072328	Exon	21.26	UP
BAHCC1	HsaALTA1062117-2/2	Alt. Acceptor	21.25	UP
ELL2	HsaALTD1015073-1/3	Alt. Donor	21.24000000000001	UP
SLC27A4	HsaEX6063225	Exon	21.24000000000001	UP
PEX26	HsaEX0046657	Exon	21.239999999999995	UP
PILRB	HsaINT1048188	Intron	21.23	UP
ARAP3	HsaEX0005293	Exon	21.22	UP
TNPO2	HsaINT0170476	Intron	21.189999999999998	UP
LTBP4	HsaEX0036951	Exon	21.17	UP
ZCWPW1	HsaEX0072402	Exon	21.17	UP
SLC43A1	HsaEX0059688	Exon	21.11	UP
PCNX1	HsaEX0045976	Exon	21.099999999999994	UP
RAB40C	HsaALTA1054144-2/4	Alt. Acceptor	21.049999999999997	UP
MCRS1	HsaINT0100961	Intron	21.01	UP
ANK1	HsaALTD0000306-1/3	Alt. Donor	21	UP
RASA4	HsaEX1030691	Exon	21	UP
EP400	HsaALTA1050413-1/2	Alt. Acceptor	20.98	UP
SHROOM1	HsaINT1041530	Intron	20.97	UP
TRIM3	HsaALTD0006777-1/2	Alt. Donor	20.950000000000003	UP
PCBP1-AS1	HsaEX0001613	Exon	20.949999999999996	UP
NBPF4	HsaEX1025208	Exon	20.92	UP
TUBD1	HsaEX0068311	Exon	20.879999999999995	UP
NAA16	HsaEX0041468	Exon	20.849999999999994	UP
BRCA1	HsaALTA0000969-1/2	Alt. Acceptor	20.83	UP
IL17RC	HsaEX0031371	Exon	20.83	UP
KDM4A-AS1	HsaINT1017283	Intron	20.83	UP
IKBKAP	HsaALTA1005122-1/3	Alt. Acceptor	20.819999999999997	UP
IQCE	HsaEX0032099	Exon	20.799999999999997	UP
GALNT6	HsaEX0026944	Exon	20.760000000000005	UP
DDIAS	HsaEX0009085	Exon	20.75999999999999	UP
IL17RC	HsaEX0031370	Exon	20.689999999999998	UP
ZBTB21	HsaEX0073377	Exon	20.680000000000007	UP
PIGW	HsaEX0047483	Exon	20.67	UP
BTN2A1	HsaEX0008680	Exon	20.66	UP
NUP43	HsaEX0044365	Exon	20.65	UP
MINK1	HsaEX0039305	Exon	20.569999999999993	UP
TRMT2B	HsaEX0067303	Exon	20.560000000000002	UP
ERCC6L2	HsaEX0011591	Exon	20.550000000000004	UP
EHMT1	HsaEX0021877	Exon	20.549999999999997	UP
KYAT1	HsaINT0028665	Intron	20.54	UP
CXorf23	HsaALTD1036637-1/3	Alt. Donor	20.520000000000003	UP
KDM4B	HsaEX0033287	Exon	20.519999999999996	UP
P4HA2	HsaALTD0004529-1/3	Alt. Donor	20.490000000000002	UP
ANKRD29	HsaALTD1028162-2/2	Alt. Donor	20.39	UP
ZNF124	HsaALTA0009731-2/2	Alt. Acceptor	20.37	UP
DENND4B	HsaINT0046838	Intron	20.269999999999996	UP
PGAP2	HsaEX0046784	Exon	20.250000000000007	UP
WRN	HsaEX0071621	Exon	20.25	UP
LINC01138	HsaALTA1062784-1/3	Alt. Acceptor	20.240000000000002	UP
MDM1	HsaEX0038394	Exon	20.17	UP
LRRC41	HsaINT0096890	Intron	20.159999999999997	UP
CTA-292E10.6	HsaEX0017650	Exon	20.150000000000006	UP
MPHOSPH9	HsaALTA0005307-1/2	Alt. Acceptor	20.099999999999998	UP
POC1A	HsaEX6056343	Exon	20.099999999999994	UP
KLHL22	HsaEX0034813	Exon	20.069999999999993	UP
SMARCAD1	HsaALTA0008030-3/5	Alt. Acceptor	20.049999999999997	UP
ZFP69B	HsaALTA0009874-1/4	Alt. Acceptor	20.04	UP
OCIAD2	HsaEX0044577	Exon	20.03	UP
IFI27L1	HsaALTA0004182-1/2	Alt. Acceptor	20	UP
KIAA1217	HsaALTA0004551-2/2	Alt. Acceptor	20	UP
PCNX1	HsaALTA1010711-2/3	Alt. Acceptor	20	UP
RP4-536B24.4	HsaALTA1061622-1/2	Alt. Acceptor	20	UP
ENTPD1-AS1	HsaALTD0005489-2/2	Alt. Donor	20	UP
TTLL1	HsaALTD0006888-1/3	Alt. Donor	20	UP
HECTD4	HsaALTD1036404-2/2	Alt. Donor	20	UP
CLTCL1	HsaEX0000820	Exon	20	UP
PARP16	HsaEX0045597	Exon	20	UP
TAF1C	HsaEX0063455	Exon	20	UP
SLC29A2	HsaINT0152228	Intron	20	UP
METTL17	HsaINT1022844	Intron	20	UP
NRGN	HsaALTA0005833-1/3	Alt. Acceptor	19.990000000000002	UP
RC3H1	HsaALTD1052484-3/4	Alt. Donor	19.990000000000002	UP
ACBD5	HsaALTA0000151-1/2	Alt. Acceptor	19.97	UP
USP28	HsaEX0069687	Exon	19.97	UP
EPC1	HsaALTA1020378-3/3	Alt. Acceptor	19.960000000000008	UP
TRAPPC8	HsaALTA1036284-2/2	Alt. Acceptor	19.95	UP
DAPK3	HsaINT0044953	Intron	19.919999999999995	UP
CDK19	HsaEX0014040	Exon	19.919999999999987	UP
UBAP2L	HsaALTA0009214-2/3	Alt. Acceptor	19.900000000000002	UP
PUS10	HsaEX0051305	Exon	19.86	UP
PRUNE1	HsaALTD1024759-1/5	Alt. Donor	19.849999999999994	UP
ANKHD1	HsaALTD1054013-2/2	Alt. Donor	19.840000000000003	UP
PTPRS	HsaEX0051225	Exon	19.840000000000003	UP
SERGEF	HsaEX0057334	Exon	19.819999999999993	UP
PHLDB1	HsaALTA0006256-2/2	Alt. Acceptor	19.77000000000001	UP
MED24	HsaALTA0005109-1/4	Alt. Acceptor	19.740000000000002	UP
LINC00857	HsaINT1019018	Intron	19.72	UP
SNRNP70	HsaALTD0006106-3/4	Alt. Donor	19.71	UP
ZNF79	HsaALTD1041337-1/2	Alt. Donor	19.709999999999994	UP
NEBL	HsaEX0042378	Exon	19.699999999999996	UP
ZDHHC20	HsaEX0072502	Exon	19.67	UP
FAM111A	HsaALTA0003089-1/3	Alt. Acceptor	19.660000000000004	UP
SUN1	HsaEX0062909	Exon	19.659999999999997	UP
ZKSCAN4	HsaEX0072832	Exon	19.659999999999997	UP
ADAMTSL4	HsaALTA1032179-1/6	Alt. Acceptor	19.64	UP
PLCXD1	HsaALTA1049955-3/3	Alt. Acceptor	19.610000000000003	UP
KRBA1	HsaALTA0004641-2/2	Alt. Acceptor	19.61	UP
BDP1	HsaEX0007978	Exon	19.590000000000003	UP
SLC9A3R2	HsaALTA0008008-1/3	Alt. Acceptor	19.559999999999995	UP
KIAA0430	HsaALTA0004521-4/4	Alt. Acceptor	19.54	UP
ADGRG2	HsaALTD1036644-1/2	Alt. Donor	19.53	UP
ARHGAP5	HsaALTA0000616-2/2	Alt. Acceptor	19.49000000000001	UP
RPAIN	HsaEX0055410	Exon	19.489999999999995	UP
CIC	HsaALTA1006916-2/4	Alt. Acceptor	19.439999999999998	UP
BX322557.10	HsaALTD1044571-2/2	Alt. Donor	19.43	UP
GUSBP11	HsaEX7010791	Exon	19.42	UP
TCF25	HsaEX0064161	Exon	19.400000000000002	UP
NOD1	HsaALTD1010476-1/2	Alt. Donor	19.380000000000003	UP
PLXNA1	HsaINT0127899	Intron	19.36	UP
PRMT2	HsaEX0050277	Exon	19.35	UP
LCOR	HsaEX0035521	Exon	19.320000000000004	UP
ZRANB2-AS2	HsaEX0054740	Exon	19.319999999999993	UP
GOLGA1	HsaALTD1021771-4/4	Alt. Donor	19.310000000000002	UP
HOOK2	HsaEX0030342	Exon	19.299999999999997	UP
HINT2	HsaINT0076163	Intron	19.29	UP
PILRB	HsaALTD1053979-2/2	Alt. Donor	19.27	UP
MUS81	HsaALTA1046395-2/2	Alt. Acceptor	19.22999999999999	UP
EML6	HsaEX0022397	Exon	19.220000000000006	UP
EML3	HsaALTA0002897-2/2	Alt. Acceptor	19.22	UP
FAM227A	HsaINT0095020	Intron	19.199999999999996	UP
SEC24C	HsaEX0056915	Exon	19.189999999999998	UP
PHF6	HsaINT0124073	Intron	19.18	UP
ABLIM1	HsaEX0000726	Exon	19.160000000000004	UP
TEAD1	HsaEX0064367	Exon	19.159999999999997	UP
GABRE	HsaINT0067150	Intron	19.150000000000006	UP
ZNF215	HsaEX0073193	Exon	19.14999999999999	UP
PLEKHA5	HsaALTD0004835-2/2	Alt. Donor	19.14	UP
PCNX3	HsaINT0121501	Intron	19.14	UP
PRDM15	HsaINT1027927	Intron	19.129999999999995	UP
ACADVL	HsaALTD1004122-1/2	Alt. Donor	19.110000000000003	UP
