EXPERIMENT	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	AS_TYPE	Sample	PSI	dPSI_SRRM2_HeLa	Quality_Score_Value	DIRECTION
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_SRRM2_B	100	59.26	VLOW	BOTH
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_SRRM2_C	100	59.26	VLOW	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_CNTRL	50.7	49.3	VLOW	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_CNTRL_A	18.6	49.3	N	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_CNTRL_B	100	49.3	N	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_CNTRL_C	100	49.3	N	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_SRRM2	100	49.3	VLOW	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_SRRM2_A	100	49.3	N	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_SRRM2_B	100	49.3	N	BOTH
HeLa-SRRM2-KD	IRF3	HsaALTA1022671-1/2	chr19:-49659833	0	chr19:49660713,-49659833+49660031	Alt3	Alt. Acceptor	HeLa_SRRM2_C	100	49.3	N	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_CNTRL	56.25	43.75	OK	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_CNTRL_A	100	43.75	N	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_CNTRL_B	100	43.75	VLOW	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_CNTRL_C	31.37	43.75	VLOW	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_SRRM2	100	43.75	LOW	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_SRRM2_A	100	43.75	N	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_SRRM2_B	100	43.75	N	BOTH
HeLa-SRRM2-KD	MEN1	HsaALTA1026174-3/4	chr11:64807552-64807680	19	chr11:64807891,64807552-64807661+64807678+64807680+64807778	Alt3	Alt. Acceptor	HeLa_SRRM2_C	100	43.75	VLOW	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_CNTRL	2.44	43.010000000000005	OK	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_CNTRL_A	10	43.010000000000005	N	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_CNTRL_B	0	43.010000000000005	VLOW	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_CNTRL_C	0	43.010000000000005	N	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_SRRM2	45.45	43.010000000000005	OK	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_SRRM2_A	50.72	43.010000000000005	VLOW	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_SRRM2_B	0	43.010000000000005	VLOW	BOTH
HeLa-SRRM2-KD	E2F2	HsaALTA1000837-2/3	chr1:23520913-23521069	4	chr1:23521837,23520913-23521065+23521069+23521071	Alt3	Alt. Acceptor	HeLa_SRRM2_C	68.63	43.010000000000005	N	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_CNTRL	39.02	42.99	VLOW	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_CNTRL_A	32.43	42.99	N	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_CNTRL_B	48.98	42.99	N	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_CNTRL_C	0	42.99	N	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_SRRM2	82.01	42.99	VLOW	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_SRRM2_A	74.23	42.99	N	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_SRRM2_B	85.21	42.99	N	BOTH
HeLa-SRRM2-KD	SLC38A6	HsaALTA0007958-2/3	chr14:61083550-	5	chr14:61078927,61083555+61083550+61083426-	Alt3	Alt. Acceptor	HeLa_SRRM2_C	82.76	42.99	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_CNTRL	47.19	42.760000000000005	VLOW	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_CNTRL_A	100	42.760000000000005	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_CNTRL_B	100	42.760000000000005	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_CNTRL_C	21.95	42.760000000000005	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_SRRM2	89.95	42.760000000000005	VLOW	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_SRRM2_A	100	42.760000000000005	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_SRRM2_B	78.08	42.760000000000005	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004608-3/4	chr14:96332501-96332655	129	chr14:96333688,96332501-96332526+96332652+96332655+96332670	Alt3	Alt. Acceptor	HeLa_SRRM2_C	100	42.760000000000005	N	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_CNTRL	46.15	40.059999999999995	LOW	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_CNTRL_A	55.56	40.059999999999995	N	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_CNTRL_B	33.33	40.059999999999995	N	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_CNTRL_C	50	40.059999999999995	N	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_SRRM2	86.21	40.059999999999995	LOW	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_SRRM2_A	92.31	40.059999999999995	N	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_SRRM2_B	80	40.059999999999995	N	BOTH
HeLa-SRRM2-KD	KIAA1549	HsaALTA0004565-2/2	chr7:-138838160	48	chr7:138840133,-138838112+138838160	Alt3	Alt. Acceptor	HeLa_SRRM2_C	83.33	40.059999999999995	N	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_CNTRL	0	39.77	OK	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_CNTRL_A	0	39.77	LOW	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_CNTRL_B	0	39.77	VLOW	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_CNTRL_C	0	39.77	VLOW	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_SRRM2	39.77	39.77	OK	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_SRRM2_A	0	39.77	VLOW	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_SRRM2_B	74.47	39.77	N	BOTH
HeLa-SRRM2-KD	EIF2D	HsaALTA1032275-2/4	chr1:206591642-206591842	59	chr1:206593619,206591642-206591783+206591842+206591845+206592243	Alt3	Alt. Acceptor	HeLa_SRRM2_C	0	39.77	LOW	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_CNTRL	63.37	36.63	OK	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_CNTRL_A	40.68	36.63	LOW	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_CNTRL_B	91.67	36.63	VLOW	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_CNTRL_C	100	36.63	VLOW	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_SRRM2	100	36.63	OK	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_SRRM2_A	100	36.63	N	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_SRRM2_B	100	36.63	LOW	BOTH
HeLa-SRRM2-KD	SNRNP48	HsaALTA1044342-2/2	chr6:7601336-7601524	99	chr6:7595101,7601435+7601336-7601524	Alt3	Alt. Acceptor	HeLa_SRRM2_C	100	36.63	VLOW	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_CNTRL	22.22	36.480000000000004	LOW	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_CNTRL_A	10.53	36.480000000000004	VLOW	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_CNTRL_B	44.44	36.480000000000004	N	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_CNTRL_C	25	36.480000000000004	N	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_SRRM2	58.7	36.480000000000004	OK	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_SRRM2_A	60	36.480000000000004	VLOW	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_SRRM2_B	66.67	36.480000000000004	N	BOTH
HeLa-SRRM2-KD	KIF7	HsaALTA1043040-1/2	chr15:89645013-89645162	0	chr15:89645336,89645013-89645162+89645165	Alt3	Alt. Acceptor	HeLa_SRRM2_C	52.94	36.480000000000004	VLOW	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_CNTRL	19.99	36.400000000000006	LOW	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_CNTRL_A	36.16	36.400000000000006	N	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_CNTRL_B	0	36.400000000000006	N	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_CNTRL_C	16.66	36.400000000000006	N	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_SRRM2	56.39	36.400000000000006	VLOW	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_SRRM2_A	39.76	36.400000000000006	N	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_SRRM2_B	54.55	36.400000000000006	N	BOTH
HeLa-SRRM2-KD	POLR2J3	HsaALTA1063617-5/13	chr7:102543568-102543702	41	chr7:102544706,102543568-102543661+102543685+102543692+102543697+102543702+102543712+102543809+102543830+102544050+102544064+102544100+102544120+102544124	Alt3	Alt. Acceptor	HeLa_SRRM2_C	71.31	36.400000000000006	N	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_CNTRL	56.41	36.10000000000001	VLOW	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_CNTRL_A	52.34	36.10000000000001	N	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_CNTRL_B	52.34	36.10000000000001	N	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_CNTRL_C	71.19	36.10000000000001	N	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_SRRM2	92.51	36.10000000000001	VLOW	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_SRRM2_A	100	36.10000000000001	N	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_SRRM2_B	76.71	36.10000000000001	N	BOTH
HeLa-SRRM2-KD	ZNF780B	HsaALTA1064029-1/2	chr19:40047406-40047470	0	chr19:40048670,40047406-40047470+40047473	Alt3	Alt. Acceptor	HeLa_SRRM2_C	100	36.10000000000001	N	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_CNTRL	64.29	35.709999999999994	VLOW	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_CNTRL_A	100	35.709999999999994	N	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_CNTRL_B	40.68	35.709999999999994	N	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_CNTRL_C	100	35.709999999999994	N	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_SRRM2	100	35.709999999999994	VLOW	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_SRRM2_A	100	35.709999999999994	N	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_SRRM2_B	100	35.709999999999994	N	BOTH
HeLa-SRRM2-KD	SIK3	HsaALTA1039019-2/2	chr11:116870331-116870401	4	chr11:116873481,116870331-116870397+116870401	Alt3	Alt. Acceptor	HeLa_SRRM2_C	100	35.709999999999994	N	BOTH
HeLa-SRRM2-KD	ANKRD18B	HsaALTA1058282-2/2	chr9:33543182-33543255	3	chr9:33541227,33543185+33543182-33543255	Alt3	Alt. Acceptor	HeLa_CNTRL	12.5	34.87	VLOW	BOTH
HeLa-SRRM2-KD	ANKRD18B	HsaALTA1058282-2/2	chr9:33543182-33543255	3	chr9:33541227,33543185+33543182-33543255	Alt3	Alt. Acceptor	HeLa_CNTRL_A	20	34.87	N	BOTH
HeLa-SRRM2-KD	ANKRD18B	HsaALTA1058282-2/2	chr9:33543182-33543255	3	chr9:33541227,33543185+33543182-33543255	Alt3	Alt. Acceptor	HeLa_CNTRL_B	0	34.87	N	BOTH
HeLa-SRRM2-KD	ANKRD18B	HsaALTA1058282-2/2	chr9:33543182-33543255	3	chr9:33541227,33543185+33543182-33543255	Alt3	Alt. Acceptor	HeLa_CNTRL_C	11.11	34.87	N	BOTH
HeLa-SRRM2-KD	ANKRD18B	HsaALTA1058282-2/2	chr9:33543182-33543255	3	chr9:33541227,33543185+33543182-33543255	Alt3	Alt. Acceptor	HeLa_SRRM2	47.37	34.87	VLOW	BOTH
