GENE	EVENT	AS_TYPE	dPSI_SRRM2_HepG2	direction_SRRM2_HepG2
ZSCAN22	HsaALTD0007541-1/4	Alt. Donor	26.01	UP
RP11-705C15.5	HsaALTD1049548-1/3	Alt. Donor	26	UP
SAE1	HsaINT0144646	Intron	26	UP
NA	HsaEX1000119	Exon	25.96	UP
ZNF19	HsaALTA1064144-2/2	Alt. Acceptor	25.939999999999998	UP
MYO9B	HsaALTD0004139-2/3	Alt. Donor	25.929999999999996	UP
TMEM184A	HsaALTD1032380-3/4	Alt. Donor	25.919999999999998	UP
NA	HsaEX1001076	Exon	25.919999999999998	UP
FIRRE	HsaINT1013666	Intron	25.9	UP
MYO9B	HsaALTA0005513-1/2	Alt. Acceptor	25.87	UP
NBEA	HsaALTA1046509-1/2	Alt. Acceptor	25.820000000000004	UP
KCNG3	HsaALTD1051586-2/2	Alt. Donor	25.810000000000002	UP
DNASE1	HsaALTA0002571-2/3	Alt. Acceptor	25.71	UP
OSBPL3	HsaALTD0004505-2/2	Alt. Donor	25.71	UP
BOLA1	HsaALTA0000963-2/3	Alt. Acceptor	25.68	UP
ADGRG6	HsaEX0028282	Exon	25.659999999999997	UP
C4orf33	HsaEX0011037	Exon	25.560000000000002	UP
FBXO48	HsaALTA1056188-1/2	Alt. Acceptor	25.54	UP
FAM45A	HsaEX0024459	Exon	25.490000000000002	UP
TTC6	HsaEX0067982	Exon	25.47	UP
ZC3H12A	HsaALTA0009624-2/2	Alt. Acceptor	25.46	UP
EDA	HsaALTD0002110-2/2	Alt. Donor	25.440000000000005	UP
RASAL2	HsaALTA0007008-2/2	Alt. Acceptor	25.439999999999998	UP
RP3-395M20.8	HsaINT1039336	Intron	25.42	UP
C18orf54	HsaALTD0000866-2/2	Alt. Donor	25.4	UP
ROM1	HsaALTD1026905-1/2	Alt. Donor	25.259999999999998	UP
COX17	HsaALTA1029468-1/2	Alt. Acceptor	25.239999999999995	UP
PRSS36	HsaINT1028210	Intron	25.21	UP
LINC01091	HsaEX1020521	Exon	25.18	UP
RP11-798K3.2	HsaALTA1061427-1/2	Alt. Acceptor	25.16	UP
LINC01348	HsaALTA1063116-2/2	Alt. Acceptor	25.08	UP
CDK3	HsaALTD1047456-7/9	Alt. Donor	25.03	UP
ATG16L2	HsaALTA1043949-2/2	Alt. Acceptor	25	UP
ATG16L2	HsaALTD1034234-1/3	Alt. Donor	25	UP
NOXA1	HsaALTD1041116-1/2	Alt. Donor	25	UP
RP11-479O9.4	HsaALTD1049523-2/2	Alt. Donor	24.95	UP
ZNF138	HsaEX0073045	Exon	24.93	UP
LRRC8E	HsaEX0036712	Exon	24.92	UP
SLC22A7	HsaALTD1021928-1/2	Alt. Donor	24.89	UP
ZNF614	HsaALTD1024406-1/2	Alt. Donor	24.87	UP
POLR2E	HsaALTD1052335-2/4	Alt. Donor	24.87	UP
ZNF606	HsaEX0074026	Exon	24.86	UP
POLR2E	HsaALTA0006524-1/4	Alt. Acceptor	24.849999999999998	UP
RP3-326I13.1	HsaEX1035155	Exon	24.800000000000004	UP
PIH1D1	HsaALTA1012882-2/2	Alt. Acceptor	24.790000000000006	UP
CTD-2325M2.1	HsaALTA1062343-3/5	Alt. Acceptor	24.759999999999998	UP
C19orf57	HsaEX0010019	Exon	24.689999999999998	UP
LINC00959	HsaEX0054943	Exon	24.66	UP
TMEM164	HsaALTD0006610-2/2	Alt. Donor	24.650000000000006	UP
ALKAL2	HsaALTA0003126-2/2	Alt. Acceptor	24.61	UP
RPS15A	HsaALTA1026461-1/2	Alt. Acceptor	24.61	UP
FSD1L	HsaEX0026493	Exon	24.560000000000002	UP
OVOL2	HsaALTD1017212-1/3	Alt. Donor	24.55	UP
SGSM2	HsaALTD1023858-1/3	Alt. Donor	24.490000000000002	UP
INCENP	HsaEX0031646	Exon	24.48	UP
SNURF	HsaEX1038338	Exon	24.48	UP
ZNF782	HsaALTA0009922-1/2	Alt. Acceptor	24.47	UP
GSTO1	HsaALTD0002914-2/2	Alt. Donor	24.450000000000003	UP
MALAT1	HsaALTA1060474-3/4	Alt. Acceptor	24.4	UP
XRCC4	HsaALTD0007258-2/4	Alt. Donor	24.39	UP
CLN8	HsaEX0015736	Exon	24.39	UP
SAAL1	HsaALTA1043020-1/2	Alt. Acceptor	24.34	UP
SAAL1	HsaALTD1033459-2/2	Alt. Donor	24.32	UP
FXYD3	HsaEX0026649	Exon	24.32	UP
CEP192	HsaALTA1011368-1/2	Alt. Acceptor	24.28	UP
FIGNL1	HsaEX0025802	Exon	24.20000000000001	UP
ATP11C	HsaEX0006799	Exon	24.200000000000003	UP
CCDC189	HsaALTA1052839-2/3	Alt. Acceptor	24.189999999999998	UP
ZNF7	HsaEX0074219	Exon	24.189999999999998	UP
SMUG1	HsaALTD0006091-2/2	Alt. Donor	24.180000000000003	UP
IFNGR2	HsaEX0030973	Exon	24.18	UP
CCDC144NL	HsaEX7009269	Exon	24.15	UP
SLC16A5	HsaALTA1045214-1/4	Alt. Acceptor	24.14999999999999	UP
B3GNTL1	HsaALTA1047838-2/4	Alt. Acceptor	24.13	UP
PACRGL	HsaEX0045172	Exon	24.11	UP
WDR73	HsaALTD1037664-1/2	Alt. Donor	24.080000000000013	UP
DMD	HsaEX0019963	Exon	24.08	UP
TTPA	HsaEX0068254	Exon	24.08	UP
MIR130B	HsaINT1023018	Intron	24.08	UP
TNFRSF25	HsaALTA0008842-1/2	Alt. Acceptor	24.06	UP
PCBP1-AS1	HsaEX0001614	Exon	24.050000000000004	UP
RP11-488L18.8	HsaEX1033855	Exon	24.040000000000006	UP
TXNL4B	HsaEX0068484	Exon	24.04	UP
LINC01169	HsaEX1020643	Exon	24.019999999999996	UP
C17orf53	HsaEX0009765	Exon	24	UP
MTCP1	HsaALTD1044471-2/2	Alt. Donor	23.979999999999997	UP
LSM12	HsaALTD1030561-2/2	Alt. Donor	23.959999999999994	UP
ARHGAP11B	HsaEX0005401	Exon	23.950000000000003	UP
HSF2BP	HsaALTD0003127-1/2	Alt. Donor	23.930000000000007	UP
CD79A	HsaALTD0001281-3/4	Alt. Donor	23.929999999999993	UP
PTK2	HsaEX0050845	Exon	23.869999999999997	UP
NPHP3	HsaEX0043533	Exon	23.860000000000007	UP
TM6SF2	HsaEX6094110	Exon	23.860000000000007	UP
GMIP	HsaALTD1006350-1/3	Alt. Donor	23.86	UP
RCL1	HsaALTA1020283-2/2	Alt. Acceptor	23.85	UP
RP4-635E18.6	HsaALTD1045575-2/4	Alt. Donor	23.85	UP
CTD-2571L23.8	HsaALTD1049308-1/2	Alt. Donor	23.839999999999996	UP
LRP5	HsaALTA1039613-2/2	Alt. Acceptor	23.820000000000007	UP
BTRC	HsaEX0008704	Exon	23.79	UP
LPIN1	HsaEX0036266	Exon	23.78	UP
ZNF497	HsaEX0073793	Exon	23.750000000000007	UP
SRGAP1	HsaEX0061698	Exon	23.740000000000002	UP
GALK2	HsaEX1015155	Exon	23.72	UP
LINC02163	HsaEX0054432	Exon	23.69999999999999	UP
KLHL24	HsaEX0034823	Exon	23.680000000000007	UP
LSM12	HsaEX0036840	Exon	23.64	UP
GMDS-AS1	HsaALTA1060379-2/2	Alt. Acceptor	23.629999999999995	UP
NOD1	HsaALTD0004342-2/3	Alt. Donor	23.61	UP
EEF1B2	HsaALTA0002756-1/2	Alt. Acceptor	23.580000000000005	UP
ALPK2	HsaINT0007332	Intron	23.580000000000002	UP
FANCB	HsaEX0024744	Exon	23.560000000000002	UP
MSH5	HsaINT1048166	Intron	23.519999999999996	UP
ARHGAP11B	HsaEX1004426	Exon	23.49	UP
AASDH	HsaEX0000185	Exon	23.440000000000012	UP
DCST1-AS1	HsaALTD1050921-2/2	Alt. Donor	23.43	UP
EZH1	HsaINT0059058	Intron	23.400000000000002	UP
CYP39A1	HsaEX6047517	Exon	23.39	UP
TM4SF19	HsaEX0065178	Exon	23.380000000000003	UP
AZIN2	HsaEX0002665	Exon	23.349999999999994	UP
THRA	HsaALTA0008640-3/4	Alt. Acceptor	23.320000000000007	UP
PCSK4	HsaINT0121571	Intron	23.310000000000002	UP
MCM9	HsaALTD1012530-1/2	Alt. Donor	23.309999999999995	UP
SRP54-AS1	HsaEX1038956	Exon	23.29	UP
EPOR	HsaALTA1052024-1/3	Alt. Acceptor	23.269999999999996	UP
FAM8A1	HsaALTA1028588-2/2	Alt. Acceptor	23.260000000000005	UP
PDXDC1	HsaEX0046486	Exon	23.189999999999998	UP
GSDMB	HsaEX0028806	Exon	23.17	UP
ZNF514	HsaEX0073832	Exon	23.17	UP
CNTROB	HsaALTA1045152-1/4	Alt. Acceptor	23.16	UP
CACNB4	HsaEX0012070	Exon	23.16	UP
DZANK1	HsaEX0010424	Exon	23.159999999999997	UP
KANTR	HsaEX1018260	Exon	23.14	UP
DMXL2	HsaALTA0002547-2/2	Alt. Acceptor	23.13000000000001	UP
PRDM10	HsaALTD0005032-1/2	Alt. Donor	23.080000000000002	UP
AC098617.1	HsaEX1002261	Exon	23.080000000000002	UP
SYN3	HsaALTA0008393-2/2	Alt. Acceptor	23.08	UP
NEK11	HsaEX0042511	Exon	23.08	UP
MUTYH	HsaALTD1019783-1/3	Alt. Donor	23.07	UP
MYO6	HsaEX0041242	Exon	23.059999999999995	UP
NBPF15	HsaINT1024524	Intron	23.049999999999997	UP
WT1	HsaEX0071650	Exon	23.009999999999998	UP
MROH6	HsaALTD1043771-1/2	Alt. Donor	23	UP
SLC26A10	HsaEX0059157	Exon	22.989999999999995	UP
MYL5	HsaALTA1057099-1/2	Alt. Acceptor	22.939999999999998	UP
GATSL3	HsaALTA1064398-2/2	Alt. Acceptor	22.93	UP
BRCA1	HsaALTD0000736-2/3	Alt. Donor	22.909999999999997	UP
MYL6B	HsaALTA1053181-2/4	Alt. Acceptor	22.900000000000002	UP
FAM136A	HsaEX1013836	Exon	22.830000000000005	UP
IST1	HsaALTA0004511-2/2	Alt. Acceptor	22.8	UP
U2SURP	HsaALTA0008199-1/2	Alt. Acceptor	22.8	UP
U2SURP	HsaALTD0006195-3/3	Alt. Donor	22.8	UP
NPEPL1	HsaALTD1054272-2/2	Alt. Donor	22.770000000000003	UP
MOCS1	HsaEX0039765	Exon	22.770000000000003	UP
NLGN4Y	HsaEX0043083	Exon	22.769999999999996	UP
CC2D1A	HsaINT0028525	Intron	22.700000000000003	UP
TRAF3IP2-AS1	HsaEX1041796	Exon	22.7	UP
AGO4	HsaINT0055009	Intron	22.68	UP
HAGH	HsaALTD1002941-3/3	Alt. Donor	22.669999999999995	UP
CASP10	HsaEX6017793	Exon	22.639999999999993	UP
CENPC	HsaALTA1033153-2/2	Alt. Acceptor	22.63	UP
LRRC37B	HsaALTD1039910-1/2	Alt. Donor	22.629999999999995	UP
SLC9A7	HsaALTD0006051-1/2	Alt. Donor	22.619999999999997	UP
ZNF84	HsaALTD0007526-2/2	Alt. Donor	22.59	UP
AC008440.10	HsaALTA1058522-1/2	Alt. Acceptor	22.58	UP
DAG1	HsaEX1010975	Exon	22.58	UP
HAGH	HsaALTA1004092-1/4	Alt. Acceptor	22.549999999999997	UP
SLC39A9	HsaALTD1001584-4/4	Alt. Donor	22.540000000000006	UP
SLC9A5	HsaEX0060047	Exon	22.540000000000006	UP
SPIRE1	HsaEX0061442	Exon	22.540000000000003	UP
MROH2A	HsaEX6019287	Exon	22.520000000000003	UP
ZNF623	HsaEX1045332	Exon	22.52	UP
ZNF107	HsaALTA1052984-1/4	Alt. Acceptor	22.519999999999996	UP
SMARCA1	HsaEX0060260	Exon	22.509999999999998	UP
NA	HsaEX1000794	Exon	22.5	UP
RCBTB1	HsaALTD1052486-2/2	Alt. Donor	22.489999999999995	UP
GOLGA2P5	HsaEX0001027	Exon	22.489999999999995	UP
PTCHD4	HsaEX1029879	Exon	22.489999999999995	UP
bP-21264C1.2	HsaALTD1049857-2/3	Alt. Donor	22.47	UP
KIAA0100	HsaALTA1000743-1/2	Alt. Acceptor	22.43	UP
CCT8	HsaALTD1050616-1/2	Alt. Donor	22.42	UP
MFGE8	HsaEX0038973	Exon	22.42	UP
DNHD1	HsaEX0020428	Exon	22.400000000000006	UP
KIAA0100	HsaALTD1000560-2/2	Alt. Donor	22.38	UP
AFDN	HsaEX0039566	Exon	22.38	UP
ELOA-AS1	HsaALTD1046344-2/3	Alt. Donor	22.35	UP
KMT5A	HsaALTD1039523-2/2	Alt. Donor	22.33	UP
DBH-AS1	HsaALTD1050914-2/3	Alt. Donor	22.33	UP
NOC2L	HsaALTA0005760-4/4	Alt. Acceptor	22.32999999999999	UP
SRP14-AS1	HsaALTA1060038-3/3	Alt. Acceptor	22.32	UP
RP11-268G12.1	HsaEX1032728	Exon	22.299999999999997	UP
ZNF81	HsaALTD0007521-1/2	Alt. Donor	22.269999999999996	UP
TAOK1	HsaALTA1039005-1/3	Alt. Acceptor	22.240000000000002	UP
COPZ2	HsaEX0016809	Exon	22.230000000000004	UP
ZNF529	HsaEX0073869	Exon	22.230000000000004	UP
SHROOM1	HsaEX0058239	Exon	22.220000000000006	UP
HHAT	HsaEX0029909	Exon	22.22	UP
TMEM169	HsaALTD0006612-2/4	Alt. Donor	22.18	UP
NRIP1	HsaEX0043828	Exon	22.169999999999995	UP
RP11-706O15.3	HsaEX1034557	Exon	22.160000000000004	UP
MTRF1L	HsaALTA0005432-1/2	Alt. Acceptor	22.16	UP
ZMYND11	HsaALTD0007367-1/2	Alt. Donor	22.14	UP
KIAA1109	HsaEX0033932	Exon	22.120000000000005	UP
DCAF1	HsaALTA0009418-1/2	Alt. Acceptor	22.11	UP
EDA2R	HsaALTA1024707-1/2	Alt. Acceptor	22.07999999999999	UP
KLHL42	HsaEX0034749	Exon	22.07	UP
NR4A1	HsaALTD0004385-1/4	Alt. Donor	22.03	UP
CCDC57	HsaALTA1047979-1/2	Alt. Acceptor	22.02000000000001	UP
LRRC37B	HsaEX0036592	Exon	21.97	UP
PPARG	HsaEX0049292	Exon	21.96	UP
FBXO16	HsaINT0062767	Intron	21.95	UP
LINC01484	HsaALTA1060585-1/2	Alt. Acceptor	21.91	UP
