GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
ELMOD3	HsaEX0022179	chr2:85387098-85387225	128	chr2:85377474,85387098-85387225,85389751	S	UP_EXONS_HeLa_SRRM2-KD	chr2	85387098	85387225	+	85377474	85389751	ENSG00000115459
ANKRD33B	HsaEX0004471	chr5:10618333-10618462	130	chr5:10564833,10618333-10618462,10637958+10638028	C1	UP_EXONS_HeLa_SRRM2-KD	chr5	10618333	10618462	+	10564833	10638028	ENSG00000164236
AC034220.3	HsaEX0001239	chr5:132349815-132349957	143	chr5:132360080,132349815-132349957,132334926	C2	UP_EXONS_HeLa_SRRM2-KD	chr5	132349815	132349957	-	132360080	132334926	ENSG00000233006
OPN3	HsaEX0044778	chr1:241604260-241604579	320	chr1:241639882,241604260-241604579,241597997	C1	UP_EXONS_HeLa_SRRM2-KD	chr1	241604260	241604579	-	241639882	241597997	ENSG00000054277
FBF1	HsaEX0024991	chr17:75929997-75930040	44	chr17:75931229,75929997-75930040+75930047+75930352,75928193	S	UP_EXONS_HeLa_SRRM2-KD	chr17	75929997	75930040	-	75931229	75928193	NA
GMPPB	HsaEX0027801	chr3:49722972-49723114	143	chr3:49723254,49722972-49723114,49722754	S	UP_EXONS_HeLa_SRRM2-KD	chr3	49722972	49723114	-	49723254	49722754	ENSG00000173540
LAMA3	HsaEX0035238	chr18:23775792-23775923	132	chr18:23773587,23775792-23775923,23777557	S	UP_EXONS_HeLa_SRRM2-KD	chr18	23775792	23775923	+	23773587	23777557	ENSG00000053747
UBR4	HsaEX0068992	chr1:19174319-19174447	129	chr1:19174954,19174319-19174447,19173621	C2	UP_EXONS_HeLa_SRRM2-KD	chr1	19174319	19174447	-	19174954	19173621	ENSG00000127481
DCTD	HsaEX0018759	chr4:182916419-182916539	121	chr4:182916673,182916419-182916539,182915888	C2	UP_EXONS_HeLa_SRRM2-KD	chr4	182916419	182916539	-	182916673	182915888	ENSG00000129187
ADGRD1	HsaEX0028297	chr12:130987095-130987349	255	chr12:130971580,130987095-130987349+130987353,130991014	C2	UP_EXONS_HeLa_SRRM2-KD	chr12	130987095	130987349	+	130971580	130991014	ENSG00000111452
POMT2	HsaEX0049171	chr14:77299455-77299515	61	chr14:77304692,77299455-77299515+77299561,77296273	C3	UP_EXONS_HeLa_SRRM2-KD	chr14	77299455	77299515	-	77304692	77296273	ENSG00000009830
RBM26-AS1	HsaEX0054615	chr13:79412682-79412907	226	chr13:79406477,79412682-79412907,79415111	C3	UP_EXONS_HeLa_SRRM2-KD	chr13	79412682	79412907	+	79406477	79415111	ENSG00000227354
CLASP1	HsaEX0015477	chr2:121445449-121445496	48	chr2:121447337,121445449-121445496,121430177	C1	UP_EXONS_HeLa_SRRM2-KD	chr2	121445449	121445496	-	121447337	121430177	ENSG00000074054
RBL1	HsaEX0052594	chr20:37067233-37067297	65	chr20:37067986,37067233-37067297,37067021+37067121	S	UP_EXONS_HeLa_SRRM2-KD	chr20	37067233	37067297	-	37067986	37067021	ENSG00000080839
SARAF	HsaEX0065944	chr8:30066777-30066918	142	chr8:30069642,30066777-30066918,30066139	C1	UP_EXONS_HeLa_SRRM2-KD	chr8	30066777	30066918	-	30069642	30066139	ENSG00000133872
NEBL	HsaEX0042365	chr10:20835513-20835623	111	chr10:20840739,20835504+20835513-20835623,20812940	C3	UP_EXONS_HeLa_SRRM2-KD	chr10	20835513	20835623	-	20840739	20812940	ENSG00000078114
DDIAS	HsaEX0009086	chr11:82930157-82930274	118	chr11:82928938,82930157-82930274,82931732	S	UP_EXONS_HeLa_SRRM2-KD	chr11	82930157	82930274	+	82928938	82931732	ENSG00000165490
DMXL2	HsaEX0020055	chr15:51451645-51451697	53	chr15:51453550,51451645-51451697+51451999,51450346	S	UP_EXONS_HeLa_SRRM2-KD	chr15	51451645	51451697	-	51453550	51450346	ENSG00000104093
MPP3	HsaEX0039967	chr17:43816677-43816697	21	chr17:43818046,43816677-43816697,43816079	S	UP_EXONS_HeLa_SRRM2-KD	chr17	43816677	43816697	-	43818046	43816079	ENSG00000161647
POMT2	HsaEX0049172	chr14:77298689-77298771	83	chr14:77304692,77298689-77298771,77296273	C2	UP_EXONS_HeLa_SRRM2-KD	chr14	77298689	77298771	-	77304692	77296273	ENSG00000009830
NA	HsaEX1000538	chr2:81570322-81570413	92	chr2:81548747,81570322-81570413,81579532	S	UP_EXONS_HeLa_SRRM2-KD	chr2	81570322	81570413	+	81548747	81579532	NA
DCP2	HsaEX0018731	chr5:113003942-113004077	136	chr5:113001674,113003942-113004077,113007938	S	UP_EXONS_HeLa_SRRM2-KD	chr5	113003942	113004077	+	113001674	113007938	ENSG00000172795
TMEM120B	HsaEX0065421	chr12:121774658-121774722	65	chr12:121773513,121774658-121774722,121775022+121775062	S	UP_EXONS_HeLa_SRRM2-KD	chr12	121774658	121774722	+	121773513	121775062	ENSG00000188735
PAFAH2	HsaEX0045237	chr1:25988231-25988327	97	chr1:25989448+25989452,25988231-25988327,25984528	C1	UP_EXONS_HeLa_SRRM2-KD	chr1	25988231	25988327	-	25989452	25984528	ENSG00000158006
KDM4B	HsaEX0033286	chr19:5039836-5040011	176	chr19:5033031,5039836-5040011,5047476	C3	UP_EXONS_HeLa_SRRM2-KD	chr19	5039836	5040011	+	5033031	5047476	ENSG00000127663
SLC38A7	HsaEX0059588	chr16:58678333-58678474	142	chr16:58678696,58678333-58678474,58677424	S	UP_EXONS_HeLa_SRRM2-KD	chr16	58678333	58678474	-	58678696	58677424	ENSG00000103042
NEBL	HsaEX0042367	chr10:20831196-20831306	111	chr10:20831473+20831533,20831196-20831306,20812940	C3	UP_EXONS_HeLa_SRRM2-KD	chr10	20831196	20831306	-	20831533	20812940	ENSG00000078114
JOSD2	HsaEX6096383	chr19:50510286-50510448	163	chr19:50511117,50510286-50510448,50507699	C1	UP_EXONS_HeLa_SRRM2-KD	chr19	50510286	50510448	-	50511117	50507699	ENSG00000161677
ZNF283	HsaEX0073353	chr19:43830100-43830217	118	chr19:43828281,43830100-43830217,43833505	C3	UP_EXONS_HeLa_SRRM2-KD	chr19	43830100	43830217	+	43828281	43833505	ENSG00000167637
NA	HsaEX1000573	chr2:37523969-37524159	191	chr2:37455873,37523969-37524159,37536995	C2	UP_EXONS_HeLa_SRRM2-KD	chr2	37523969	37524159	+	37455873	37536995	NA
PLEKHM2	HsaEX6028633	chr1:15717893-15717992	100	chr1:15716816,15717893-15717992,15725317	C3	UP_EXONS_HeLa_SRRM2-KD	chr1	15717893	15717992	+	15716816	15725317	ENSG00000116786
BAZ2A	HsaEX0007723	chr12:56617395-56617532	138	chr12:56630125,56617395-56617532,56615607	C2	UP_EXONS_HeLa_SRRM2-KD	chr12	56617395	56617532	-	56630125	56615607	ENSG00000076108
CHKA	HsaEX0015190	chr11:68081818-68081848	31	chr11:68082491,68081818-68081848,68081457	C3	UP_EXONS_HeLa_SRRM2-KD	chr11	68081818	68081848	-	68082491	68081457	ENSG00000110721
PDE4D	HsaEX1027451	chr5:59042320-59042415	96	chr5:59180595,59042320-59042415,59038971	S	UP_EXONS_HeLa_SRRM2-KD	chr5	59042320	59042415	-	59180595	59038971	ENSG00000113448
ZNF133	HsaEX0073028	chr20:18305008-18305178	171	chr20:18298464,18305008-18305178,18305681	C3	UP_EXONS_HeLa_SRRM2-KD	chr20	18305008	18305178	+	18298464	18305681	ENSG00000125846
BRAT1	HsaEX0011421	chr7:2538893-2538944	52	chr7:2539179,2538893-2538944,2538764	S	UP_EXONS_HeLa_SRRM2-KD	chr7	2538893	2538944	-	2539179	2538764	ENSG00000106009
ST5	HsaEX0062006	chr11:8711126-8711231	106	chr11:8712551,8711122+8711126-8711231,8707854	C2	UP_EXONS_HeLa_SRRM2-KD	chr11	8711126	8711231	-	8712551	8707854	ENSG00000166444
IL1RAP	HsaEX0031421	chr3:190556130-190556216	87	chr3:190514219,190556130-190556216,190564289	C1	UP_EXONS_HeLa_SRRM2-KD	chr3	190556130	190556216	+	190514219	190564289	ENSG00000196083
EDRF1	HsaEX0008795	chr10:125729003-125729104	102	chr10:125725838,125729003-125729104,125729358	S	UP_EXONS_HeLa_SRRM2-KD	chr10	125729003	125729104	+	125725838	125729358	ENSG00000107938
DLG5	HsaEX0019912	chr10:77869129-77869197	69	chr10:77926217,77869129-77869197,77856892	S	UP_EXONS_HeLa_SRRM2-KD	chr10	77869129	77869197	-	77926217	77856892	ENSG00000151208
ATP6V0A4	HsaEX6010767	chr7:138762900-138763025	126	chr7:138768780,138762900-138763025,138762434	S	UP_EXONS_HeLa_SRRM2-KD	chr7	138762900	138763025	-	138768780	138762434	ENSG00000105929
AC005154.6	HsaEX1001620	chr7:30584711-30584808	98	chr7:30585330,30584711-30584808,30579314	C2	UP_EXONS_HeLa_SRRM2-KD	chr7	30584711	30584808	-	30585330	30579314	ENSG00000196295
SLC25A26	HsaEX0059049	chr3:66346364-66346408	45	chr3:66263379,66346364-66346408,66369478	C3	UP_EXONS_HeLa_SRRM2-KD	chr3	66346364	66346408	+	66263379	66369478	ENSG00000144741
ARHGAP27P1-BPTFP1-KPNA2P3	HsaEX1004491	chr17:64778433-64779079	647	chr17:64779184+64779263,64778397+64778433-64779079,64764548	C1	UP_EXONS_HeLa_SRRM2-KD	chr17	64778433	64779079	-	64779263	64764548	ENSG00000214176
TANGO2	HsaEX6025851	chr22:20036760-20036854	95	chr22:20021246,20036760-20036854,20043355	C2	UP_EXONS_HeLa_SRRM2-KD	chr22	20036760	20036854	+	20021246	20043355	ENSG00000183597
CBFA2T2	HsaEX0012711	chr20:33623115-33623296	182	chr20:33619606,33623115-33623296,33640341+33640344+33640347	C2	UP_EXONS_HeLa_SRRM2-KD	chr20	33623115	33623296	+	33619606	33640347	ENSG00000078699
ZNF772	HsaEX0074327	chr19:57476634-57476672	39	chr19:57477277,57476634-57476672,57475786	ANN	UP_EXONS_HeLa_SRRM2-KD	chr19	57476634	57476672	-	57477277	57475786	NA
CLTCL1	HsaEX0000824	chr22:19235696-19235869	174	chr22:19239275,19235696-19235869,19234553+19234706	S	UP_EXONS_HeLa_SRRM2-KD	chr22	19235696	19235869	-	19239275	19234553	ENSG00000070371
SLC25A51	HsaEX0038180	chr9:37881518-37881631	114	chr9:37899829,37881518-37881631,37860490	C2	UP_EXONS_HeLa_SRRM2-KD	chr9	37881518	37881631	-	37899829	37860490	ENSG00000122696
BFSP1	HsaEX0008056	chr20:17508889-17508996	108	chr20:17511976,17508889-17508996,17499040	S	UP_EXONS_HeLa_SRRM2-KD	chr20	17508889	17508996	-	17511976	17499040	NA
EML6	HsaEX0022392	chr2:54948006-54948014	9	chr2:54928751,54948006-54948014,54948882	S	UP_EXONS_HeLa_SRRM2-KD	chr2	54948006	54948014	+	54928751	54948882	ENSG00000214595
CH17-360D5.2	HsaEX1008596	chr10:47987657-47987742	86	chr10:47991680,47987657-47987742,47956164+47956168	C2	UP_EXONS_HeLa_SRRM2-KD	chr10	47987657	47987742	-	47991680	47956164	ENSG00000276850
MFSD14C	HsaEX1023496	chr9:96933799-96933915	117	chr9:96949057+96949555,96933784+96933795+96933799-96933915,96918826	C3	UP_EXONS_HeLa_SRRM2-KD	chr9	96933799	96933915	-	96949555	96918826	ENSG00000196312
ZSCAN25	HsaEX0073797	chr7:99619048-99619132	85	chr7:99616989+99617016+99617058+99617241,99619048-99619132,99619561	C3	UP_EXONS_HeLa_SRRM2-KD	chr7	99619048	99619132	+	99616989	99619561	ENSG00000197037
NEBL	HsaEX0042366	chr10:20831533-20831579	47	chr10:20835504+20835513,20831473+20831533-20831579+20831583,20812940	C3	UP_EXONS_HeLa_SRRM2-KD	chr10	20831533	20831579	-	20835513	20812940	ENSG00000078114
ARL15	HsaEX0005859	chr5:54171784-54171928	145	chr5:54310295+54310432,54171784-54171928,54154639	S	UP_EXONS_HeLa_SRRM2-KD	chr5	54171784	54171928	-	54310432	54154639	ENSG00000185305
VWA8	HsaEX0033738	chr13:41949936-41950013	78	chr13:41960853,41949936-41950013,41912168	S	UP_EXONS_HeLa_SRRM2-KD	chr13	41949936	41950013	-	41960853	41912168	ENSG00000102763
COL13A1	HsaEX0016310	chr10:69932560-69932604	45	chr10:69930552,69932560-69932604,69935350	C2	UP_EXONS_HeLa_SRRM2-KD	chr10	69932560	69932604	+	69930552	69935350	ENSG00000197467
FANK1	HsaEX0024855	chr10:126009054-126009131	78	chr10:126008550,126009054-126009131,126009373	C2	UP_EXONS_HeLa_SRRM2-KD	chr10	126009054	126009131	+	126008550	126009373	ENSG00000203780
SLC35B4	HsaEX0059406	chr7:134306672-134306774	103	chr7:134309366,134306672-134306774,134304854	S	UP_EXONS_HeLa_SRRM2-KD	chr7	134306672	134306774	-	134309366	134304854	ENSG00000205060
AC091878.1	HsaEX0001381	chr5:17182370-17182432	63	chr5:17216077,17182370-17182432,17162565	S	UP_EXONS_HeLa_SRRM2-KD	chr5	17182370	17182432	-	17216077	17162565	ENSG00000215196
ENOSF1	HsaEX0022479	chr18:677345-677444	100	chr18:683246,677345-677444,675402	C2	UP_EXONS_HeLa_SRRM2-KD	chr18	677345	677444	-	683246	675402	ENSG00000132199
FAM208B	HsaEX0008813	chr10:5720260-5720397	138	chr10:5717750,5720260-5720397,5720544+5720566+5720630	C2	UP_EXONS_HeLa_SRRM2-KD	chr10	5720260	5720397	+	5717750	5720630	ENSG00000108021
SEC24B	HsaEX0056909	chr4:109481677-109481781	105	chr4:109473186,109481677-109481781,109491327	S	UP_EXONS_HeLa_SRRM2-KD	chr4	109481677	109481781	+	109473186	109491327	ENSG00000138802
TPM3	HsaEX0066692	chr1:154169305-154169383	79	chr1:154170400,154169305-154169383,154167940	C1	UP_EXONS_HeLa_SRRM2-KD	chr1	154169305	154169383	-	154170400	154167940	ENSG00000143549
RREB1	HsaEX1035698	chr6:7226467-7226656	190	chr6:7211709,7226467-7226656,7228997	S	UP_EXONS_HeLa_SRRM2-KD	chr6	7226467	7226656	+	7211709	7228997	ENSG00000124782
SLC27A4	HsaEX0059221	chr9:128348545-128348703	159	chr9:128345549,128348545-128348703,128352638	C2	UP_EXONS_HeLa_SRRM2-KD	chr9	128348545	128348703	+	128345549	128352638	ENSG00000167114
CCDC138	HsaEX0013034	chr2:108873451-108873589	139	chr2:108856970,108873451-108873589,108876088	C1	UP_EXONS_HeLa_SRRM2-KD	chr2	108873451	108873589	+	108856970	108876088	ENSG00000163006
RP11-849H4.2	HsaEX1034888	chr11:71923309-71923475	167	chr11:71928365+71928449+71928548,71922967+71922981+71923309-71923475,71919026	C1	UP_EXONS_HeLa_SRRM2-KD	chr11	71923309	71923475	-	71928548	71919026	ENSG00000254469
DECR1	HsaEX0019047	chr8:90017124-90017326	203	chr8:90001561,90017124-90017326,90018909	S	UP_EXONS_HeLa_SRRM2-KD	chr8	90017124	90017326	+	90001561	90018909	ENSG00000104325
LRIG1	HsaEX0036374	chr3:66410129-66410272	144	chr3:66412871,66410129-66410272,66407491	S	UP_EXONS_HeLa_SRRM2-KD	chr3	66410129	66410272	-	66412871	66407491	ENSG00000144749
RHEBL1	HsaEX0053494	chr12:49066972-49067035	64	chr12:49069035,49066956+49066968+49066972-49067035,49066690+49066701	S	UP_EXONS_HeLa_SRRM2-KD	chr12	49066972	49067035	-	49069035	49066690	ENSG00000167550
NSD3	HsaEX0071501	chr8:38299444-38299590	147	chr8:38304587,38299444-38299590,38295952	C1	UP_EXONS_HeLa_SRRM2-KD	chr8	38299444	38299590	-	38304587	38295952	ENSG00000147548
GPATCH2	HsaEX0028107	chr1:217498356-217498395	40	chr1:217514822,217498356-217498395,217449337	C2	UP_EXONS_HeLa_SRRM2-KD	chr1	217498356	217498395	-	217514822	217449337	ENSG00000092978
SLC25A12	HsaEX0058973	chr2:171815121-171815199	79	chr2:171826798,171815121-171815199+171815202,171809686	C3	UP_EXONS_HeLa_SRRM2-KD	chr2	171815121	171815199	-	171826798	171809686	ENSG00000115840
TXNDC11	HsaEX0068438	chr16:11721577-11721670	94	chr16:11730645,11721577-11721670,11698325	C2	UP_EXONS_HeLa_SRRM2-KD	chr16	11721577	11721670	-	11730645	11698325	ENSG00000153066
VPS13D	HsaEX0070524	chr1:12358459-12358601	143	chr1:12356524,12358459-12358601,12362720	S	UP_EXONS_HeLa_SRRM2-KD	chr1	12358459	12358601	+	12356524	12362720	ENSG00000048707
DOCK11	HsaEX0020547	chrX:118616202-118616240	39	chrX:118615711,118616202-118616240,118618550	S	UP_EXONS_HeLa_SRRM2-KD	chrX	118616202	118616240	+	118615711	118618550	ENSG00000147251
ANO2	HsaEX0004644	chr12:5799507-5799571	65	chr12:5806052,5799507-5799571,5750966+5750970	S	UP_EXONS_HeLa_SRRM2-KD	chr12	5799507	5799571	-	5806052	5750966	ENSG00000047617
SERTAD4	HsaEX1036614	chr1:210237264-210237468	205	chr1:210233011,210237264-210237468,210237944	S	UP_EXONS_HeLa_SRRM2-KD	chr1	210237264	210237468	+	210233011	210237944	ENSG00000082497
RNF146	HsaEX0053917	chr6:127286050-127286177	128	chr6:127280340,127286050-127286177,127286616	C1	UP_EXONS_HeLa_SRRM2-KD	chr6	127286050	127286177	+	127280340	127286616	ENSG00000118518
RP11-706O15.1	HsaEX1034556	chrX:3822073-3822285	213	chrX:3822374,3822073-3822285,3821582	C3	UP_EXONS_HeLa_SRRM2-KD	chrX	3822073	3822285	-	3822374	3821582	ENSG00000205664
BICC1	HsaEX0008075	chr10:58823226-58823304	79	chr10:58820468,58823226-58823304,58828761	S	UP_EXONS_HeLa_SRRM2-KD	chr10	58823226	58823304	+	58820468	58828761	ENSG00000122870
CEP112	HsaEX0013287	chr17:66053736-66053879	144	chr17:66062963,66053736-66053879,66030023	C1	UP_EXONS_HeLa_SRRM2-KD	chr17	66053736	66053879	-	66062963	66030023	ENSG00000154240
C16orf70	HsaEX6044302	chr16:67145570-67145628	59	chr16:67145419,67145570-67145628,67146278	ANN	UP_EXONS_HeLa_SRRM2-KD	chr16	67145570	67145628	+	67145419	67146278	ENSG00000125149
STRIP2	HsaEX0024457	chr7:129462650-129462730	81	chr7:129460372+129460487+129460497+129460550,129462588+129462650-129462730,129462966	S	UP_EXONS_HeLa_SRRM2-KD	chr7	129462650	129462730	+	129460372	129462966	ENSG00000128578
MEIS1	HsaEX0038792	chr2:66569050-66569145	96	chr2:66568756,66569050-66569145,66571246	S	UP_EXONS_HeLa_SRRM2-KD	chr2	66569050	66569145	+	66568756	66571246	ENSG00000143995
SIPA1L1	HsaEX0058387	chr14:71698981-71699127	147	chr14:71685587+71685631,71698981-71699127,71702381	S	UP_EXONS_HeLa_SRRM2-KD	chr14	71698981	71699127	+	71685587	71702381	ENSG00000197555
RHOD	HsaEX0053518	chr11:67070425-67070559	135	chr11:67066847,67070289+67070425-67070559,67071435	S	UP_EXONS_HeLa_SRRM2-KD	chr11	67070425	67070559	+	67066847	67071435	ENSG00000173156
KDM4B	HsaEX0033285	chr19:5032866-5033031	166	chr19:5016339,5032866-5033031,5039836	S	UP_EXONS_HeLa_SRRM2-KD	chr19	5032866	5033031	+	5016339	5039836	ENSG00000127663
SFXN5	HsaEX0057755	chr2:72961131-72961248	118	chr2:72968448+72968495,72961131-72961248,72945099	C1	UP_EXONS_HeLa_SRRM2-KD	chr2	72961131	72961248	-	72968495	72945099	ENSG00000144040
MFSD14C	HsaEX1023495	chr9:96942603-96942752	150	chr9:96949057+96949555,96942603-96942752+96943090+96943154,96918826	C3	UP_EXONS_HeLa_SRRM2-KD	chr9	96942603	96942752	-	96949555	96918826	ENSG00000196312
ATP6V0A4	HsaEX6010768	chr7:138762340-138762434	95	chr7:138762900,138762340-138762434,138759878	ANN	UP_EXONS_HeLa_SRRM2-KD	chr7	138762340	138762434	-	138762900	138759878	ENSG00000105929
STK19	HsaEX0062457	chr6:31979414-31979553	140	chr6:31978998+31979010,31979414-31979553+31979577,31980451	S	UP_EXONS_HeLa_SRRM2-KD	chr6	31979414	31979553	+	31978998	31980451	ENSG00000204344
HPS4	HsaEX0030427	chr22:26457859-26457967	109	chr22:26458445,26457859-26457967,26453404	C1	UP_EXONS_HeLa_SRRM2-KD	chr22	26457859	26457967	-	26458445	26453404	ENSG00000100099
MORC4	HsaEX0039807	chrX:106985096-106985223	128	chrX:106993230,106985096-106985223+106985243,106981477	C3	UP_EXONS_HeLa_SRRM2-KD	chrX	106985096	106985223	-	106993230	106981477	ENSG00000133131
DENND3	HsaEX0019164	chr8:141163333-141163429	97	chr8:141160787,141163333-141163429,141165186+141165223	C1	UP_EXONS_HeLa_SRRM2-KD	chr8	141163333	141163429	+	141160787	141165223	ENSG00000105339
ZCCHC11	HsaEX0072328	chr1:52463673-52463777	105	chr1:52465070,52463673-52463777,52461769	C1	UP_EXONS_HeLa_SRRM2-KD	chr1	52463673	52463777	-	52465070	52461769	ENSG00000134744
SLC27A4	HsaEX6063225	chr9:128352638-128352747	110	chr9:128343281+128343293,128352638-128352747,128355053+128355178	C3	UP_EXONS_HeLa_SRRM2-KD	chr9	128352638	128352747	+	128343281	128355178	ENSG00000167114
PEX26	HsaEX0046657	chr22:18085112-18085258	147	chr22:18083732,18085112-18085258,18087972	S	UP_EXONS_HeLa_SRRM2-KD	chr22	18085112	18085258	+	18083732	18087972	ENSG00000215193
ARAP3	HsaEX0005293	chr5:141664533-141664689	157	chr5:141664922,141664533-141664689,141662255	C1	UP_EXONS_HeLa_SRRM2-KD	chr5	141664533	141664689	-	141664922	141662255	ENSG00000120318
LTBP4	HsaEX0036951	chr19:40616889-40617020	132	chr19:40614446,40616889-40617020,40617100	C1	UP_EXONS_HeLa_SRRM2-KD	chr19	40616889	40617020	+	40614446	40617100	ENSG00000090006
ZCWPW1	HsaEX0072402	chr7:100405013-100405093	81	chr7:100406694,100405013-100405093,100404244	S	UP_EXONS_HeLa_SRRM2-KD	chr7	100405013	100405093	-	100406694	100404244	ENSG00000078487
SLC43A1	HsaEX0059688	chr11:57491716-57491862	147	chr11:57493993,57491716-57491862,57489392+57489480	C3	UP_EXONS_HeLa_SRRM2-KD	chr11	57491716	57491862	-	57493993	57489392	ENSG00000149150
PCNX1	HsaEX0045976	chr14:71050652-71050760	109	chr14:71047984,71050652-71050760,71051883	C1	UP_EXONS_HeLa_SRRM2-KD	chr14	71050652	71050760	+	71047984	71051883	ENSG00000100731
RASA4	HsaEX1030691	chr7:102605858-102605980	123	chr7:102608761,102605858-102605980+102605987,102600388	C2	UP_EXONS_HeLa_SRRM2-KD	chr7	102605858	102605980	-	102608761	102600388	NA
PCBP1-AS1	HsaEX0001613	chr2:70083538-70083634	97	chr2:70085547,70083507+70083538-70083634+70083687,70051305	C1	UP_EXONS_HeLa_SRRM2-KD	chr2	70083538	70083634	-	70085547	70051305	ENSG00000179818
NBPF4	HsaEX1025208	chr1:108243899-108244054	156	chr1:108246602,108243899-108244054,108243796	S	UP_EXONS_HeLa_SRRM2-KD	chr1	108243899	108244054	-	108246602	108243796	ENSG00000196427
TUBD1	HsaEX0068311	chr17:59874539-59874703	165	chr17:59878103,59874539-59874703,59866749	C1	UP_EXONS_HeLa_SRRM2-KD	chr17	59874539	59874703	-	59878103	59866749	ENSG00000108423
NAA16	HsaEX0041468	chr13:41355144-41355216	73	chr13:41336756,41355144-41355216,41358304	C1	UP_EXONS_HeLa_SRRM2-KD	chr13	41355144	41355216	+	41336756	41358304	ENSG00000172766
IL17RC	HsaEX0031371	chr3:9918535-9918598	64	chr3:9918075+9918111,9918500+9918535-9918598+9918609,9920467+9920491+9920560	C2	UP_EXONS_HeLa_SRRM2-KD	chr3	9918535	9918598	+	9918075	9920560	ENSG00000163702
IQCE	HsaEX0032099	chr7:2568954-2568999	46	chr7:2567163,2568954-2568999,2571526	C1	UP_EXONS_HeLa_SRRM2-KD	chr7	2568954	2568999	+	2567163	2571526	ENSG00000106012
GALNT6	HsaEX0026944	chr12:51365430-51365579	150	chr12:51377190+51377195,51365430-51365579,51364350+51364355	S	UP_EXONS_HeLa_SRRM2-KD	chr12	51365430	51365579	-	51377195	51364350	ENSG00000139629
DDIAS	HsaEX0009085	chr11:82928777-82928938	162	chr11:82914851+82914866,82928777-82928938,82931732	C2	UP_EXONS_HeLa_SRRM2-KD	chr11	82928777	82928938	+	82914851	82931732	ENSG00000165490
IL17RC	HsaEX0031370	chr3:9918335-9918409	75	chr3:9918075+9918111,9918335-9918409,9918500+9918535	S	UP_EXONS_HeLa_SRRM2-KD	chr3	9918335	9918409	+	9918075	9918535	ENSG00000163702
ZBTB21	HsaEX0073377	chr21:41992493-41994108	1616	chr21:42002350,41992493-41994108,41991889	C2	UP_EXONS_HeLa_SRRM2-KD	chr21	41992493	41994108	-	42002350	41991889	ENSG00000173276
PIGW	HsaEX0047483	chr17:36535318-36535592	275	chr17:36535054,36535318-36535592+36535601,36537094	S	UP_EXONS_HeLa_SRRM2-KD	chr17	36535318	36535592	+	36535054	36537094	ENSG00000277161
BTN2A1	HsaEX0008680	chr6:26462797-26462897	101	chr6:26459828,26462769+26462797-26462897,26463244+26463406	S	UP_EXONS_HeLa_SRRM2-KD	chr6	26462797	26462897	+	26459828	26463406	ENSG00000112763
NUP43	HsaEX0044365	chr6:149728379-149728478	100	chr6:149731613,149728379-149728478+149728560,149727198+149727226	S	UP_EXONS_HeLa_SRRM2-KD	chr6	149728379	149728478	-	149731613	149727198	ENSG00000120253
