FEATURE	UP_EXONS_HeLa_SRRM2-KD_N_DATAPOINTS	UP_EXONS_HeLa_SRRM2-KD_N_NA	UP_EXONS_HeLa_SRRM2-KD_MEAN	UP_EXONS_HeLa_SRRM2-KD_MEDIAN	DOWN_EXONS_HeLa_SRRM2-KD_N_DATAPOINTS	DOWN_EXONS_HeLa_SRRM2-KD_N_NA	DOWN_EXONS_HeLa_SRRM2-KD_MEAN	DOWN_EXONS_HeLa_SRRM2-KD_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_DOWN_EXONS_HeLa_SRRM2-KD	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_DOWN_EXONS_HeLa_SRRM2-KD	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CR	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CR	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CS	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CS	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CR	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CR	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CS	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CS	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC
UPINTRON_GCC	365	2	0.45349951102739	0.434108527131783	432	2	0.504814858217201	0.50369656090048	990	0	0.42614255122463	0.408785299748713	971	0	0.436937528759894	0.415065976281944	965	1	0.446226110426147	0.429278661930467	4.16369761554796e-09	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	1.79071839901217e-07	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.00036756034519192	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.151029128541781	UP_EXONS_HeLa_SRRM2-KD = AS_NC	3.73801805799997e-30	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	1.34455915542212e-22	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	8.52179817893394e-17	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.0926441571221139	CR = CS	7.78529476937034e-07	*** : CR < AS_NC	0.00380414889573146	**  : CS < AS_NC
UPEXON_GCC	365	2	0.528820457563226	0.520833333333333	432	2	0.549508741533298	0.559868421052631	990	0	0.502311305594116	0.480869044450359	971	0	0.49402093050701	0.478260869565217	965	1	0.535779955462722	0.527027027027027	0.00301665799382634	**  : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	7.97155874866115e-06	*** : UP_EXONS_HeLa_SRRM2-KD > CR	2.54192708892962e-07	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.483056697870146	UP_EXONS_HeLa_SRRM2-KD = AS_NC	2.40493361414783e-13	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	4.19294145207878e-17	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	0.0219541767047955	*   : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.399116480673174	CR = CS	1.07672856875506e-09	*** : CR < AS_NC	4.97403046729513e-13	*** : CS < AS_NC
DOINTRON_GCC	366	1	0.438929947139982	0.424670152493917	434	0	0.495064680149119	0.497362812723436	990	0	0.414595233106535	0.401106646551334	971	0	0.434244840509937	0.410975720651087	966	0	0.429166539063307	0.413333630405712	4.7103714976511e-12	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	4.17529232817114e-06	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.0770303979920568	UP_EXONS_HeLa_SRRM2-KD = CS	0.0293447089340346	*   : UP_EXONS_HeLa_SRRM2-KD > AS_NC	4.4109208834518e-34	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	6.65922030068807e-20	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	8.77959719905362e-24	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.00130417528621843	**  : CR < CS	0.000982023354579275	*** : CR < AS_NC	0.845554709569756	CS = AS_NC
DOEXON_GCC	366	1	0.487846902819182	0.482758620689655	434	0	0.530138914583043	0.547472075249853	990	0	0.45774648697441	0.448489795918368	971	0	0.473126367341868	0.464566929133858	966	0	0.468620145484959	0.455012721338439	8.26254937010963e-09	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	3.00183775147609e-07	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.0111886225840098	*   : UP_EXONS_HeLa_SRRM2-KD > CS	0.00092443750821827	*** : UP_EXONS_HeLa_SRRM2-KD > AS_NC	1.39237475353821e-33	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	2.05434151534121e-21	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	6.27615762546707e-25	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.00114095444883257	**  : CR < CS	0.0130056735860902	*   : CR < AS_NC	0.386138791495997	CS = AS_NC
RATIO_UPEXON_EXON_GCC	365	2	1.08965862928913	1.03184713375796	432	2	1.03235633502677	0.990683387359815	986	4	1.10787961108995	1.06317848020434	971	0	1.04842201592299	1.02631578947368	965	1	1.14430795181131	1.07636363636364	0.000479515766342269	*** : UP_EXONS_HeLa_SRRM2-KD > DOWN_EXONS_HeLa_SRRM2-KD	0.459309341126265	UP_EXONS_HeLa_SRRM2-KD = CR	0.0283779832844384	*   : UP_EXONS_HeLa_SRRM2-KD > CS	0.00907358972004544	**  : UP_EXONS_HeLa_SRRM2-KD < AS_NC	7.96770817331472e-06	*** : DOWN_EXONS_HeLa_SRRM2-KD < CR	0.0440282446883698	*   : DOWN_EXONS_HeLa_SRRM2-KD < CS	5.594158277162e-11	*** : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	0.00014574818945418	*** : CR > CS	0.0145384771334508	*   : CR < AS_NC	2.48106341981832e-10	*** : CS < AS_NC
RATIO_UPINTRON_EXON_GCC	365	2	0.926071077027042	0.911711028751123	432	2	0.940867695638929	0.923289853920795	986	4	0.933980743333363	0.913616278516484	971	0	0.920091834471643	0.911242603550296	965	1	0.945662954653465	0.924700819406659	0.252106862417221	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	0.807743988478017	UP_EXONS_HeLa_SRRM2-KD = CR	0.726263988302582	UP_EXONS_HeLa_SRRM2-KD = CS	0.124210268062773	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.330831954315813	DOWN_EXONS_HeLa_SRRM2-KD = CR	0.0714122072409498	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.789050967740896	DOWN_EXONS_HeLa_SRRM2-KD = AS_NC	0.387911047809814	CR = CS	0.120542236745182	CR = AS_NC	0.0102160234497255	*   : CS < AS_NC
RATIO_DOINTRON_EXON_GCC	366	1	0.897101745146789	0.869436212660266	434	0	0.922207851575881	0.908130287389312	986	4	0.910179170284023	0.884853010219923	971	0	0.914511633920924	0.905538857878918	966	0	0.910720733873624	0.891696619799498	0.0170582661353435	*   : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	0.543478137653193	UP_EXONS_HeLa_SRRM2-KD = CR	0.026216042052499	*   : UP_EXONS_HeLa_SRRM2-KD < CS	0.180825055162077	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.0619560994016972	DOWN_EXONS_HeLa_SRRM2-KD = CR	0.654666670645284	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.163758100406429	DOWN_EXONS_HeLa_SRRM2-KD = AS_NC	0.0726105247542869	CR = CS	0.443967827925334	CR = AS_NC	0.263783846587146	CS = AS_NC
RATIO_DOEXON_EXON_GCC	366	1	0.998929904315469	0.990605494835612	434	0	0.994723941253735	0.985649872834366	986	4	1.01301639622497	0.989010191922914	971	0	1.00187497024068	0.992512112758773	966	0	0.997556723059357	0.981647817389963	0.477114307931001	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	0.938145359830097	UP_EXONS_HeLa_SRRM2-KD = CR	0.881796494692241	UP_EXONS_HeLa_SRRM2-KD = CS	0.58954175204897	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.441655018454326	DOWN_EXONS_HeLa_SRRM2-KD = CR	0.25619040055952	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.842737146442494	DOWN_EXONS_HeLa_SRRM2-KD = AS_NC	0.846128387998383	CR = CS	0.502389361278836	CR = AS_NC	0.286285409064262	CS = AS_NC
SF1_HIGHESTSCORE_3SS_UPINTRON	365	2	-6.18155395471714	-6.18725008909148	432	2	-6.40792992165964	-6.37142203117155	990	0	-6.1854839147584	-6.268715314834	971	0	-6.16166316583678	-6.15673922580413	965	1	-6.17500141142328	-6.16830004820521	0.00412606746988593	**  : UP_EXONS_HeLa_SRRM2-KD > DOWN_EXONS_HeLa_SRRM2-KD	0.828098641433699	UP_EXONS_HeLa_SRRM2-KD = CR	0.681026731367891	UP_EXONS_HeLa_SRRM2-KD = CS	0.749462722175989	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.000981902574004379	*** : DOWN_EXONS_HeLa_SRRM2-KD < CR	4.86795050591477e-05	*** : DOWN_EXONS_HeLa_SRRM2-KD < CS	8.71198901823785e-05	*** : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	0.337575477895988	CR = CS	0.458965133426882	CR = AS_NC	0.838499130912734	CS = AS_NC
SF1_HIGHESTSCORE_3SS_DOINTRON	366	1	-6.11141085951886	-6.14697977214889	433	1	-6.38138753072713	-6.35795167268821	990	0	-6.08105413800741	-6.07813973272914	971	0	-6.13716872532688	-6.18725008909148	966	0	-6.07294423378285	-6.12132935558306	0.000244769479928598	*** : UP_EXONS_HeLa_SRRM2-KD > DOWN_EXONS_HeLa_SRRM2-KD	0.743326283287697	UP_EXONS_HeLa_SRRM2-KD = CR	0.46365305158996	UP_EXONS_HeLa_SRRM2-KD = CS	0.722250583305928	UP_EXONS_HeLa_SRRM2-KD = AS_NC	7.47846282021954e-07	*** : DOWN_EXONS_HeLa_SRRM2-KD < CR	0.000261330886978452	*** : DOWN_EXONS_HeLa_SRRM2-KD < CS	8.14539199350311e-07	*** : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	0.144358560374964	CR = CS	0.970297324477335	CR = AS_NC	0.140508520015852	CS = AS_NC
UP_5SS_20INT10EX_GCC	365	2	0.497534246575342	0.5	432	2	0.532368827160494	0.566666666666667	990	0	0.462508417508417	0.433333333333333	971	0	0.464589769996567	0.433333333333333	965	1	0.504352331606218	0.5	0.000301789025279512	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	2.43188401886208e-05	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.000166014055435661	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.618380751618324	UP_EXONS_HeLa_SRRM2-KD = AS_NC	4.10854838499528e-15	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	4.8192405053418e-14	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	0.000897789430391848	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.636896389314527	CR = CS	5.87146681940987e-09	*** : CR < AS_NC	8.07591377769571e-08	*** : CS < AS_NC
GCC_3SS_20INT10EX	367	0	0.431789282470481	0.433333333333333	434	0	0.496697388632872	0.5	990	0	0.404343434343434	0.4	971	0	0.419258496395469	0.4	966	0	0.416597653554175	0.4	3.86971213177833e-10	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	0.00168597800429532	**  : UP_EXONS_HeLa_SRRM2-KD > CR	0.131352219908372	UP_EXONS_HeLa_SRRM2-KD = CS	0.0793659766837553	UP_EXONS_HeLa_SRRM2-KD = AS_NC	2.40928158046885e-28	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	1.81944252217805e-20	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	9.83053063494749e-22	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.0324976892615764	*   : CR < CS	0.0608262280877609	CR = AS_NC	0.76868581682538	CS = AS_NC
GCC_5SS_20INT10EX	367	0	0.470663033605813	0.466666666666667	434	0	0.527880184331797	0.533333333333333	990	0	0.434747474747475	0.433333333333333	971	0	0.448266392035702	0.433333333333333	966	0	0.446135265700483	0.433333333333333	1.06119918878288e-08	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	9.419763874194e-06	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.00272399076307767	**  : UP_EXONS_HeLa_SRRM2-KD > CS	0.00130320519529435	**  : UP_EXONS_HeLa_SRRM2-KD > AS_NC	9.09896069893447e-28	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	2.64856904738936e-20	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	7.60983874615166e-22	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.111603872692028	CR = CS	0.138962242417667	CR = AS_NC	0.8984277627645	CS = AS_NC
DO_3SS_20INT10EX_GCC	366	1	0.422040072859745	0.4	434	0	0.487250384024578	0.5	990	0	0.392087542087542	0.366666666666667	971	0	0.417061448678338	0.4	966	0	0.401380262249827	0.4	1.56969393707101e-10	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	0.000851896810888934	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.610468240621405	UP_EXONS_HeLa_SRRM2-KD = CS	0.0203795742160311	*   : UP_EXONS_HeLa_SRRM2-KD > AS_NC	1.03072338427029e-31	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	1.33011752826564e-17	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	5.99553507361956e-26	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	6.14675989428257e-05	*** : CR < CS	0.175091955316287	CR = AS_NC	0.0106043193993094	*   : CS > AS_NC
MAXENTSCR_HSAMODEL_UPSTRM_5SS	365	2	8.32409589041096	8.83	432	2	8.265	8.94	990	0	8.5625303030303	8.88	971	0	8.36742533470649	8.7	965	1	8.50864248704663	8.83	0.772534296419466	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	0.245047204913921	UP_EXONS_HeLa_SRRM2-KD = CR	0.631760502579536	UP_EXONS_HeLa_SRRM2-KD = CS	0.470016695667588	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.418282579945071	DOWN_EXONS_HeLa_SRRM2-KD = CR	0.426344661213019	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.694182509283629	DOWN_EXONS_HeLa_SRRM2-KD = AS_NC	0.0253438861714383	*   : CR > CS	0.557574531195827	CR = AS_NC	0.10759912076565	CS = AS_NC
